,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
13,p9,1,0.0,228.397137,[41 59] ; [586  31],[87.44769874 12.55230126] ; [539.55230126  77.44769874],1
3,n5,1,0.0,34.000413,[56 48] ; [492 122],[79.37604457 24.62395543] ; [468.62395543 145.37604457],1
9,p3,1,1e-06,24.383126,[29 75] ; [333 283],[52.28888889 51.71111111] ; [309.71111111 306.28888889],1
10,p4,1,2e-06,22.931247,[41 63] ; [395 220],[63.06536857 40.93463143] ; [372.93463143 242.06536857],1
12,p8,1,7e-06,20.087923,[36 66] ; [360 249],[56.81012658 45.18987342] ; [339.18987342 269.81012658],1
0,a5,1,1.6e-05,18.636675,[58 46] ; [470 148],[76.05540166 27.94459834] ; [451.94459834 166.05540166],1
6,s6,1,3.3e-05,17.221677,[49 54] ; [415 190],[67.50282486 35.49717514] ; [396.49717514 208.50282486],1
4,n6,1,4.7e-05,16.552445,[75 28] ; [540  74],[88.34728033 14.65271967] ; [526.65271967  87.34728033],1
8,p2,1,0.00012,14.796896,[76 28] ; [538  77],[88.81223922 15.18776078] ; [525.18776078  89.81223922],1
11,p7,1,0.000125,14.713667,[51 52] ; [414 187],[68.03267045 34.96732955] ; [396.96732955 204.03267045],1
5,s2,1,0.000554,11.925871,[34 68] ; [317 295],[50.14285714 51.85714286] ; [300.85714286 311.14285714],1
7,s7,1,0.00061,11.745725,[32 68] ; [300 294],[47.83861671 52.16138329] ; [284.16138329 309.83861671],1
1,d5,1,0.000663,11.588999,[70 34] ; [504 112],[82.91111111 21.08888889] ; [491.08888889 124.91111111],1
2,r4,1,0.000854,11.119246,[84 20] ; [565  53],[93.48476454 10.51523546] ; [555.51523546  62.48476454],1
