,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
9,s8,1,1e-06,25.077694,[12  1] ; [26 82],[4.08264463 8.91735537] ; [33.91735537 74.08264463],1
11,p12,1,4e-06,21.206777,[4 9] ; [  2 109],[ 0.62903226 12.37096774] ; [  5.37096774 105.62903226],1
10,p5,1,3.2e-05,17.295218,[5 7] ; [  6 104],[ 1.08196721 10.91803279] ; [  9.91803279 100.08196721],1
0,b2,1,4.4e-05,16.697409,[12  1] ; [21 46],[5.3625 7.6375] ; [27.6375 39.3625],1
1,b3,1,4.4e-05,16.697409,[12  1] ; [21 46],[5.3625 7.6375] ; [27.6375 39.3625],1
8,s7,1,0.000117,14.84347,[11  2] ; [30 70],[4.71681416 8.28318584] ; [36.28318584 63.71681416],1
5,v3,1,0.000148,14.392271,[8 1] ; [29 77],[2.89565217 6.10434783] ; [34.10434783 71.89565217],1
6,s2,1,0.000366,12.6976,[11  2] ; [37 73],[5.07317073 7.92682927] ; [42.92682927 67.07317073],1
7,s3,1,0.000441,12.35165,[12  1] ; [45 65],[6.02439024 6.97560976] ; [50.97560976 59.02439024],1
2,a2,1,0.000593,11.797337,[8 5] ; [21 90],[3.04032258 9.95967742] ; [25.95967742 85.04032258],1
3,d1,1,0.00081,11.21736,[12  1] ; [48 63],[6.29032258 6.70967742] ; [53.70967742 57.29032258],1
4,v1,1,0.00087,11.086321,[9 1] ; [40 71],[4.04958678 5.95041322] ; [44.95041322 66.04958678],1
