,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
11,p9,1,0.0,115.107659,[44 67] ; [497  84],[86.77890173 24.22109827] ; [454.22109827 126.77890173],1
12,p11,1,0.0,31.545554,[64 50] ; [478 116],[87.27118644 26.72881356] ; [454.72881356 139.27118644],1
6,p2,1,2.4e-05,17.816792,[74 40] ; [485 104],[90.64864865 23.35135135] ; [468.35135135 120.64864865],1
3,n6,1,3e-05,17.43437,[76 35] ; [497  88],[91.38362069 19.61637931] ; [481.61637931 103.38362069],1
4,s6,1,4.2e-05,16.779513,[50 64] ; [375 208],[69.51219512 44.48780488] ; [355.48780488 227.51219512],1
0,v4,1,7.3e-05,15.728149,[94 19] ; [553  35],[104.29529244   8.70470756] ; [542.70470756  45.29529244],1
10,p8,1,0.000152,14.350527,[35 77] ; [295 286],[53.33333333 58.66666667] ; [276.66666667 304.33333333],1
9,p7,1,0.000182,14.010887,[45 67] ; [339 232],[62.96925329 49.03074671] ; [321.03074671 249.96925329],1
8,p4,1,0.000226,13.600835,[41 72] ; [323 262],[58.92836676 54.07163324] ; [305.07163324 279.92836676],1
7,p3,1,0.00025,13.410538,[28 85] ; [255 335],[45.48933144 67.51066856] ; [237.51066856 352.48933144],1
5,s8,1,0.000326,12.916523,[25 89] ; [234 356],[41.94034091 72.05965909] ; [217.05965909 372.94034091],1
2,n5,1,0.000784,11.277966,[62 50] ; [417 167],[77.08045977 34.91954023] ; [401.91954023 182.08045977],1
1,r4,1,0.000893,11.037343,[87 27] ; [523  71],[98.22033898 15.77966102] ; [511.77966102  82.22033898],1
