,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
19,p9,1,0.0,192.323413,[32 75] ; [631  91],[85.57418577 21.42581423] ; [577.42581423 144.57418577],1
15,p2,1,0.0,66.10352,[59 52] ; [620 105],[90.15430622 20.84569378] ; [588.84569378 136.15430622],1
8,r3,1,0.0,61.411793,[85 26] ; [701  28],[103.86428571   7.13571429] ; [682.13571429  46.86428571],1
11,n6,1,0.0,48.998384,[65 46] ; [624 103],[91.26372315 19.73627685] ; [597.73627685 129.26372315],1
9,r4,1,0.0,48.550037,[72 39] ; [656  78],[95.63076923 15.36923077] ; [632.36923077 101.63076923],1
5,v4,1,0.0,34.717818,[88 22] ; [692  35],[102.50896057   7.49103943] ; [677.49103943  49.50896057],1
18,p8,1,0.0,30.593337,[30 79] ; [401 316],[56.87530266 52.12469734] ; [374.12469734 342.87530266],1
10,n5,1,2e-06,22.526751,[61 50] ; [554 172],[81.55913978 29.44086022] ; [533.44086022 192.55913978],1
17,p7,1,5e-06,20.734692,[48 62] ; [469 240],[69.43833944 40.56166056] ; [447.56166056 261.43833944],1
7,r2,1,1e-05,19.538795,[89 21] ; [676  48],[100.89928058   9.10071942] ; [664.10071942  59.89928058],1
16,p4,1,3.3e-05,17.255998,[44 67] ; [439 286],[64.13038278 46.86961722] ; [418.86961722 306.13038278],1
6,r1,1,7.1e-05,15.788445,[69 42] ; [579 152],[85.42517815 25.57482185] ; [562.57482185 168.42517815],1
14,s8,1,0.000118,14.817673,[26 82] ; [317 410],[44.36407186 63.63592814] ; [298.63592814 428.36407186],1
4,v2,1,0.00017,14.141596,[41 67] ; [404 301],[59.11439114 48.88560886] ; [385.88560886 319.11439114],1
2,a7,1,0.000182,14.012097,[59 52] ; [518 213],[76.06532067 34.93467933] ; [500.93467933 230.06532067],1
1,a6,1,0.000188,13.950361,[55 55] ; [498 233],[72.33055886 37.66944114] ; [480.66944114 250.33055886],1
3,v1,1,0.000385,12.602942,[40 71] ; [386 327],[57.38592233 53.61407767] ; [368.61407767 344.38592233],1
0,a5,1,0.000913,10.996752,[64 47] ; [535 198],[78.77843602 32.22156398] ; [520.22156398 212.77843602],1
13,s7,1,0.000956,10.911692,[30 70] ; [334 368],[45.38653367 54.61346633] ; [318.61346633 383.38653367],1
12,s6,1,0.000957,10.909226,[53 55] ; [469 247],[68.41747573 39.58252427] ; [453.58252427 262.41747573],1
