,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
19,p9,1,0.0,254.662755,[17 49] ; [399  13],[57.43933054  8.56066946] ; [358.56066946  53.43933054],1
8,r3,1,0.0,78.227897,[47 21] ; [402  10],[63.60833333  4.39166667] ; [385.39166667  26.60833333],1
15,p2,1,0.0,76.328203,[31 37] ; [366  46],[56.24166667 11.75833333] ; [340.75833333  71.24166667],1
5,v4,1,0.0,62.013274,[49 18] ; [399  10],[63.05882353  3.94117647] ; [384.94117647  24.05882353],1
9,r4,1,0.0,59.758395,[40 28] ; [381  32],[59.51767152  8.48232848] ; [361.48232848  51.51767152],1
10,n6,1,0.0,57.855262,[38 30] ; [371  38],[58.30607966  9.69392034] ; [350.69392034  58.30607966],1
18,p8,1,0.0,39.131415,[11 56] ; [234 172],[34.70401691 32.29598309] ; [210.29598309 195.70401691],1
7,r2,1,1e-06,24.977718,[53 14] ; [391  18],[62.49579832  4.50420168] ; [381.50420168  27.49579832],1
17,p7,1,1e-06,23.736673,[24 44] ; [266 135],[42.04690832 25.95309168] ; [247.95309168 153.04690832],1
4,v2,1,2e-06,22.958162,[20 47] ; [243 154],[37.9762931 29.0237069] ; [225.0237069 171.9762931],1
6,r1,1,6e-06,20.574316,[38 30] ; [332  79],[52.52609603 15.47390397] ; [317.47390397  93.52609603],1
3,v1,1,1.6e-05,18.578733,[20 48] ; [231 170],[36.39232409 31.60767591] ; [214.60767591 186.39232409],1
14,s8,1,3.7e-05,17.008413,[12 54] ; [185 225],[27.31512605 38.68487395] ; [169.68487395 240.31512605],1
16,p4,1,4.8e-05,16.528963,[25 43] ; [258 152],[40.25941423 27.74058577] ; [242.74058577 167.25941423],1
0,a6,1,0.000212,13.724861,[32 35] ; [291 121],[45.17954071 21.82045929] ; [277.82045929 134.17954071],1
13,s6,1,0.000332,12.878478,[32 34] ; [288 119],[44.65116279 21.34883721] ; [275.34883721 131.65116279],1
2,d3,1,0.000455,12.292829,[34 33] ; [297 115],[46.29853862 20.70146138] ; [284.70146138 127.29853862],1
1,a7,1,0.000615,11.728953,[38 30] ; [313 100],[49.62162162 18.37837838] ; [301.37837838 111.62162162],1
11,s2,1,0.000847,11.135275,[20 47] ; [212 197],[32.65546218 34.34453782] ; [199.34453782 209.65546218],1
12,s5,1,0.00085,11.129189,[10 56] ; [144 256],[21.8111588 44.1888412] ; [132.1888412 267.8111588],1
