,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
17,p9,1,0.0,235.241959,[43 67] ; [451  17],[94.01384083 15.98615917] ; [399.98615917  68.01384083],1
18,p11,1,0.0,56.411903,[63 50] ; [407  62],[91.25429553 21.74570447] ; [378.74570447  90.25429553],1
2,v4,1,0.0,32.591348,[93 19] ; [451  14],[105.59445407   6.40554593] ; [438.40554593  26.59445407],1
7,n6,1,0.0,30.404412,[75 35] ; [414  51],[93.54782609 16.45217391] ; [395.45217391  69.54782609],1
12,p2,1,0.0,27.870231,[74 39] ; [405  63],[93.16179002 19.83820998] ; [385.83820998  82.16179002],1
10,s6,1,0.0,27.335484,[49 64] ; [321 140],[72.83972125 40.16027875] ; [297.16027875 163.83972125],1
4,r4,1,3e-06,21.979481,[86 27] ; [430  39],[100.18556701  12.81443299] ; [415.81443299  53.18556701],1
15,p7,1,4e-06,21.108648,[45 66] ; [293 162],[66.28621908 44.71378092] ; [271.71378092 183.28621908],1
16,p8,1,8e-06,20.048634,[35 76] ; [255 207],[56.17801047 54.82198953] ; [233.82198953 228.17801047],1
14,p4,1,8e-06,19.995406,[41 71] ; [279 186],[62.11438475 49.88561525] ; [257.88561525 207.11438475],1
3,r3,1,1.1e-05,19.340544,[96 15] ; [452  15],[105.23875433   5.76124567] ; [442.76124567  24.23875433],1
13,p3,1,1.2e-05,19.226195,[28 84] ; [224 244],[48.66206897 63.33793103] ; [203.33793103 264.66206897],1
6,n5,1,1.3e-05,19.003977,[61 50] ; [352 113],[79.58854167 31.41145833] ; [333.41145833 131.58854167],1
11,s8,1,1.7e-05,18.494093,[25 88] ; [206 260],[45.08290155 67.91709845] ; [185.91709845 280.08290155],1
8,s2,1,0.000141,14.483915,[35 76] ; [240 225],[52.99479167 58.00520833] ; [222.00520833 242.99479167],1
5,n4,1,0.000167,14.174795,[66 45] ; [361 108],[81.71896552 29.28103448] ; [345.28103448 123.71896552],1
1,v1,1,0.00032,12.952167,[40 70] ; [254 204],[56.93661972 53.06338028] ; [237.06338028 220.93661972],1
0,d5,1,0.000425,12.417109,[77 36] ; [388  80],[90.43889845 22.56110155] ; [374.56110155  93.43889845],1
9,s5,1,0.000736,11.39514,[21 89] ; [162 289],[35.88235294 74.11764706] ; [147.11764706 303.88235294],1
