,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
11,p9,1,0.0,95.060754,[250  28] ; [44 59],[214.51968504  63.48031496] ; [79.48031496 23.51968504],1
7,p3,1,0.0,31.107122,[163 114] ; [29 78],[138.5 138.5] ; [53.5 53.5],1
2,n5,1,0.0,30.276082,[227  51] ; [58 49],[205.79220779  72.20779221] ; [79.20779221 27.79220779],1
8,p4,1,2e-06,22.965643,[182  97] ; [41 66],[161.18393782 117.81606218] ; [61.81606218 45.18393782],1
1,a5,1,3.2e-05,17.292154,[216  63] ; [60 47],[199.49222798  79.50777202] ; [76.50777202 30.49222798],1
9,p7,1,7.7e-05,15.636923,[192  81] ; [51 54],[175.5  97.5] ; [67.5 37.5],1
3,s2,1,8.9e-05,15.354142,[154 122] ; [35 70],[136.91338583 139.08661417] ; [52.08661417 52.91338583],1
5,s7,1,9.3e-05,15.27469,[145 120] ; [33 70],[128.17934783 136.82065217] ; [49.82065217 53.17934783],1
10,p8,1,0.000121,14.783745,[156 121] ; [36 69],[139.22513089 137.77486911] ; [52.77486911 52.22513089],1
6,s8,1,0.000155,14.310315,[141 137] ; [31 75],[124.52083333 153.47916667] ; [47.47916667 58.52083333],1
0,a3,1,0.000221,13.64659,[218  60] ; [64 43],[203.62597403  74.37402597] ; [78.37402597 28.62597403],1
4,s6,1,0.000683,11.535198,[181  89] ; [51 55],[166.59574468 103.40425532] ; [65.40425532 40.59574468],1
