Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.002844,8.905014,[1 6] ; [8 1],[3.9375 3.0625] ; [5.0625 3.9375],0
p7,1,0.004574,8.040497,[1 6] ; [7 1],[3.73333333 3.26666667] ; [4.26666667 3.73333333],0
p3,1,0.03615,4.390023,[1 6] ; [6 3],[3.0625 3.9375] ; [3.9375 5.0625],0
v1,1,0.03615,4.390023,[1 6] ; [6 3],[3.0625 3.9375] ; [3.9375 5.0625],0
p9,1,0.049039,3.874024,[2 5] ; [7 2],[3.9375 3.0625] ; [5.0625 3.9375],0
a5,1,0.049039,3.874024,[2 5] ; [7 2],[3.9375 3.0625] ; [5.0625 3.9375],0
d3,1,0.049039,3.874024,[2 5] ; [7 2],[3.9375 3.0625] ; [5.0625 3.9375],0
s2,1,0.09073,2.861376,[1 6] ; [5 4],[2.625 4.375] ; [3.375 5.625],0
r4,1,0.09073,2.861376,[1 6] ; [5 4],[2.625 4.375] ; [3.375 5.625],0
p11,1,0.13057,2.285714,[2 5] ; [6 3],[3.5 3.5] ; [4.5 4.5],0
p6,1,0.13057,2.285714,[2 5] ; [6 3],[3.5 3.5] ; [4.5 4.5],0
r1,1,0.13057,2.285714,[2 5] ; [6 3],[3.5 3.5] ; [4.5 4.5],0
n6,1,0.145729,2.116402,[4 3] ; [8 1],[5.25 1.75] ; [6.75 2.25],0
d1,1,0.152338,2.048677,[3 4] ; [7 2],[4.375 2.625] ; [5.625 3.375],0
p2,1,0.152338,2.048677,[3 4] ; [7 2],[4.375 2.625] ; [5.625 3.375],0
n1,1,0.270289,1.215278,[1 2] ; [3 1],[1.71428571 1.28571429] ; [2.28571429 1.71428571],0
v3,1,0.280425,1.165029,[2 5] ; [5 4],[3.0625 3.9375] ; [3.9375 5.0625],0
n4,1,0.377026,0.780375,[4 3] ; [7 2],[4.8125 2.1875] ; [6.1875 2.8125],0
s3,1,0.382733,0.761905,[1 6] ; [3 6],[1.75 5.25] ; [2.25 6.75],0
s5,1,0.382733,0.761905,[1 6] ; [3 6],[1.75 5.25] ; [2.25 6.75],0
s8,1,0.382733,0.761905,[1 6] ; [3 6],[1.75 5.25] ; [2.25 6.75],0
b1,1,0.382733,0.761905,[6 1] ; [6 3],[5.25 1.75] ; [6.75 2.25],0
r2,1,0.464214,0.535714,[4 3] ; [6 2],[4.66666667 2.33333333] ; [5.33333333 2.66666667],0
d2,1,0.614295,0.253968,[3 4] ; [5 4],[3.5 3.5] ; [4.5 4.5],0
a4,1,0.614295,0.253968,[3 4] ; [5 4],[3.5 3.5] ; [4.5 4.5],0
a6,1,0.614295,0.253968,[3 4] ; [5 4],[3.5 3.5] ; [4.5 4.5],0
n3,1,0.659243,0.194444,[2 1] ; [2 2],[1.71428571 1.28571429] ; [2.28571429 1.71428571],0
s7,1,0.666955,0.185185,[2 4] ; [4 5],[2.4 3.6] ; [3.6 5.4],0
b3,1,0.678845,0.171429,[2 2] ; [3 5],[1.66666667 2.33333333] ; [3.33333333 4.66666667],0
b2,1,0.678845,0.171429,[2 2] ; [3 5],[1.66666667 2.33333333] ; [3.33333333 4.66666667],0
s4,1,0.686591,0.1628,[1 6] ; [2 7],[1.3125 5.6875] ; [1.6875 7.3125],0
u1,1,0.686591,0.1628,[1 6] ; [2 7],[1.3125 5.6875] ; [1.6875 7.3125],0
d4,1,0.771084,0.084656,[5 2] ; [7 2],[5.25 1.75] ; [6.75 2.25],0
a3,1,0.771084,0.084656,[5 2] ; [7 2],[5.25 1.75] ; [6.75 2.25],0
a2,1,0.771084,0.084656,[2 5] ; [2 7],[1.75 5.25] ; [2.25 6.75],0
b4,1,0.838464,0.041558,[5 2] ; [6 3],[4.8125 2.1875] ; [6.1875 2.8125],0
d5,1,0.848936,0.036281,[6 1] ; [8 1],[6.125 0.875] ; [7.875 1.125],0
p1,1,0.848936,0.036281,[1 6] ; [1 8],[0.875 6.125] ; [1.125 7.875],0
s6,1,0.949375,0.004031,[3 4] ; [4 5],[3.0625 3.9375] ; [3.9375 5.0625],0
a7,1,0.949375,0.004031,[4 3] ; [5 4],[3.9375 3.0625] ; [5.0625 3.9375],0
u3,1,1.0,0.0,[1 1] ; [1 1],[1. 1.] ; [1. 1.],0
