Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,28.316168,[41  1] ; [1 4],[37.53191489  4.46808511] ; [4.46808511 0.53191489],1
s6,1,0.000814,11.209582,[39  3] ; [2 3],[36.63829787  5.36170213] ; [4.36170213 0.63829787],1
n6,1,0.003147,8.719986,[37  4] ; [2 3],[34.76086957  6.23913043] ; [4.23913043 0.76086957],0
r3,1,0.0076,7.125471,[40  2] ; [3 2],[38.42553191  3.57446809] ; [4.57446809 0.42553191],0
p10,1,0.010731,6.509321,[31 10] ; [1 4],[28.52173913 12.47826087] ; [3.47826087 1.52173913],0
p9,1,0.010731,6.509321,[31 10] ; [1 4],[28.52173913 12.47826087] ; [3.47826087 1.52173913],0
n4,1,0.042435,4.117752,[28 14] ; [1 4],[25.91489362 16.08510638] ; [3.08510638 1.91489362],0
r2,1,0.065023,3.404392,[41  1] ; [4 1],[40.21276596  1.78723404] ; [4.78723404 0.21276596],0
b5,1,0.115615,2.47574,[24 18] ; [1 4],[22.34042553 19.65957447] ; [2.65957447 2.34042553],0
n2,1,0.182422,1.777778,[10  2] ; [2 2],[9. 3.] ; [3. 1.],0
n1,1,0.184708,1.759334,[4 7] ; [3 1],[5.13333333 5.86666667] ; [1.86666667 2.13333333],0
p1,1,0.210026,1.571248,[ 7 35] ; [2 3],[ 8.04255319 33.95744681] ; [0.95744681 4.04255319],0
d1,1,0.240284,1.378929,[22 20] ; [4 1],[23.23404255 18.76595745] ; [2.76595745 2.23404255],0
n5,1,0.240748,1.376209,[28 14] ; [2 3],[26.80851064 15.19148936] ; [3.19148936 1.80851064],0
p11,1,0.290957,1.115189,[27 15] ; [2 3],[25.91489362 16.08510638] ; [3.08510638 1.91489362],0
d3,1,0.311151,1.025784,[26 15] ; [2 3],[24.95652174 16.04347826] ; [3.04347826 1.95652174],0
p7,1,0.32486,0.96928,[18 24] ; [1 4],[16.9787234 25.0212766] ; [2.0212766 2.9787234],0
a7,1,0.345426,0.89019,[26 16] ; [2 3],[25.0212766 16.9787234] ; [2.9787234 2.0212766],0
p3,1,0.353195,0.861943,[17 24] ; [1 4],[16.04347826 24.95652174] ; [1.95652174 3.04347826],0
a6,1,0.368485,0.808767,[25 16] ; [2 3],[24.06521739 16.93478261] ; [2.93478261 2.06521739],0
p6,1,0.373265,0.792766,[17 25] ; [1 4],[16.08510638 25.91489362] ; [1.91489362 3.08510638],0
s4,1,0.405388,0.692287,[16 25] ; [1 4],[15.15217391 25.84782609] ; [1.84782609 3.15217391],0
r1,1,0.432534,0.616009,[32 10] ; [3 2],[31.27659574 10.72340426] ; [3.72340426 1.27659574],0
n3,1,0.437558,0.602679,[7 5] ; [1 2],[6.4 5.6] ; [1.6 1.4],0
s7,1,0.457807,0.55125,[23 17] ; [2 3],[22.22222222 17.77777778] ; [2.77777778 2.22222222],0
a1,1,0.472627,0.515828,[ 4 38] ; [1 4],[ 4.46808511 37.53191489] ; [0.53191489 4.46808511],0
a4,1,0.672403,0.178804,[21 21] ; [3 2],[21.44680851 20.55319149] ; [2.55319149 2.44680851],0
b1,1,0.672403,0.178804,[21 21] ; [3 2],[21.44680851 20.55319149] ; [2.55319149 2.44680851],0
a3,1,0.681606,0.168323,[29 13] ; [3 2],[28.59574468 13.40425532] ; [3.40425532 1.59574468],0
d5,1,0.742668,0.107795,[30 11] ; [4 1],[30.30434783 10.69565217] ; [3.69565217 1.30434783],0
a5,1,0.851283,0.03515,[35  7] ; [4 1],[34.85106383  7.14893617] ; [4.14893617 0.85106383],0
p4,1,0.91502,0.011387,[17 23] ; [2 3],[16.88888889 23.11111111] ; [2.11111111 2.88888889],0
b4,1,0.93399,0.00686,[26 16] ; [3 2],[25.91489362 16.08510638] ; [3.08510638 1.91489362],0
v2,1,0.946967,0.004424,[24 15] ; [3 2],[23.93181818 15.06818182] ; [3.06818182 1.93181818],0
s3,1,0.949971,0.003937,[24 17] ; [3 2],[24.06521739 16.93478261] ; [2.93478261 2.06521739],0
b2,1,0.97598,0.000907,[11 17] ; [2 3],[11.03030303 16.96969697] ; [1.96969697 3.03030303],0
b3,1,0.97598,0.000907,[11 17] ; [2 3],[11.03030303 16.96969697] ; [1.96969697 3.03030303],0
