Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a1,1,9e-06,19.614459,[ 12 457] ; [2 4],[ 13.82315789 455.17684211] ; [0.17684211 5.82315789],1
a8,1,0.006187,7.495042,[ 55 372] ; [2 1],[ 56.60232558 370.39767442] ; [0.39767442 2.60232558],0
b3,1,0.029431,4.74224,[106 164] ; [5 1],[108.58695652 161.41304348] ; [2.41304348 3.58695652],0
b2,1,0.029431,4.74224,[106 164] ; [5 1],[108.58695652 161.41304348] ; [2.41304348 3.58695652],0
p5,1,0.050473,3.825691,[ 54 413] ; [2 3],[ 55.40677966 411.59322034] ; [0.59322034 4.40677966],0
d2,1,0.052595,3.756757,[204 262] ; [5 1],[206.34322034 259.65677966] ; [2.65677966 3.34322034],0
s8,1,0.055442,3.668736,[206 260] ; [5 1],[208.31779661 257.68220339] ; [2.68220339 3.31779661],0
s7,1,0.093653,2.810428,[220 230] ; [5 1],[222.03947368 227.96052632] ; [2.96052632 3.03947368],0
a2,1,0.093859,2.806902,[101 368] ; [3 3],[102.68631579 366.31368421] ; [1.31368421 4.68631579],0
s3,1,0.159113,1.982635,[252 210] ; [5 1],[253.70512821 208.29487179] ; [3.29487179 2.70512821],0
a4,1,0.200962,1.635369,[191 277] ; [4 2],[192.53164557 275.46835443] ; [2.46835443 3.53164557],0
p4,1,0.245775,1.347159,[279 186] ; [5 1],[280.38216561 184.61783439] ; [3.61783439 2.38216561],0
d1,1,0.252027,1.312031,[283 186] ; [5 1],[284.36210526 184.63789474] ; [3.63789474 2.36210526],0
u1,1,0.303228,1.059942,[ 81 388] ; [2 4],[ 81.95157895 387.04842105] ; [1.04842105 4.95157895],0
p7,1,0.335067,0.929213,[293 162] ; [5 1],[294.12147505 160.87852495] ; [3.87852495 2.12147505],0
p3,1,0.359673,0.839033,[224 244] ; [4 2],[225.11392405 242.88607595] ; [2.88607595 3.11392405],0
p6,1,0.463375,0.53773,[165 299] ; [3 3],[165.85531915 298.14468085] ; [2.14468085 3.85531915],0
s2,1,0.463408,0.53765,[240 225] ; [4 2],[240.89171975 224.10828025] ; [3.10828025 2.89171975],0
p12,1,0.56207,0.336132,[ 45 423] ; [1 5],[ 45.41772152 422.58227848] ; [0.58227848 5.41772152],0
p8,1,0.574386,0.315399,[255 207] ; [4 2],[255.67948718 206.32051282] ; [3.32051282 2.67948718],0
a7,1,0.580582,0.305295,[358 111] ; [4 2],[357.42736842 111.57263158] ; [4.57263158 1.42736842],0
b4,1,0.706494,0.141804,[277 192] ; [4 2],[277.45052632 191.54947368] ; [3.54947368 2.45052632],0
n4,1,0.712724,0.135571,[361 108] ; [5 1],[361.37684211 107.62315789] ; [4.62315789 1.37684211],0
b5,1,0.824838,0.048986,[292 177] ; [4 2],[292.26105263 176.73894737] ; [3.73894737 2.26105263],0
a6,1,0.837416,0.042107,[330 138] ; [4 2],[329.7721519 138.2278481] ; [4.2278481 1.7721519],0
r1,1,0.862363,0.030056,[376  91] ; [5 1],[376.16701903  90.83298097] ; [4.83298097 1.16701903],0
s5,1,0.895593,0.017222,[162 289] ; [2 4],[161.84682713 289.15317287] ; [2.15317287 3.84682713],0
d5,1,0.977955,0.000764,[388  80] ; [5 1],[388.02531646  79.97468354] ; [4.97468354 1.02531646],0
