Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,7e-06,20.096556,[10 28] ; [63 28],[21.50387597 16.49612403] ; [51.49612403 39.50387597],1
n4,1,0.009427,6.740055,[20 18] ; [69 22],[26.21705426 11.78294574] ; [62.78294574 28.21705426],0
u3,1,0.034843,4.452847,[12  2] ; [21 18],[8.71698113 5.28301887] ; [24.28301887 14.71698113],0
s6,1,0.045948,3.983502,[14 24] ; [50 39],[19.1496063 18.8503937] ; [44.8503937 44.1496063],0
s7,1,0.050493,3.825015,[ 6 27] ; [32 55],[10.45 22.55] ; [27.55 59.45],0
a7,1,0.075822,3.152256,[21 17] ; [65 26],[25.33333333 12.66666667] ; [60.66666667 30.33333333],0
u2,1,0.087495,2.919877,[10  4] ; [17 21],[7.26923077 6.73076923] ; [19.73076923 18.26923077],0
s5,1,0.101243,2.685849,[ 4 33] ; [21 68],[ 7.34126984 29.65873016] ; [17.65873016 71.34126984],0
u1,1,0.122833,2.380816,[ 3 35] ; [17 74],[ 5.89147287 32.10852713] ; [14.10852713 76.89147287],0
s8,1,0.132067,2.268044,[ 7 31] ; [28 61],[10.47244094 27.52755906] ; [24.52755906 64.47244094],0
r2,1,0.152563,2.046435,[36  2] ; [90  1],[37.11627907  0.88372093] ; [88.88372093  2.11627907],0
d1,1,0.154778,2.024515,[14 24] ; [46 45],[17.6744186 20.3255814] ; [42.3255814 48.6744186],0
n1,1,0.156929,2.003571,[3 9] ; [11 11],[4.94117647 7.05882353] ; [ 9.05882353 12.94117647],0
b3,1,0.181525,1.785092,[ 4 20] ; [18 40],[ 6.43902439 17.56097561] ; [15.56097561 42.43902439],0
b2,1,0.181525,1.785092,[ 4 20] ; [18 40],[ 6.43902439 17.56097561] ; [15.56097561 42.43902439],0
p10,1,0.204102,1.612776,[ 7 31] ; [26 63],[ 9.87401575 28.12598425] ; [23.12598425 65.87401575],0
p11,1,0.274425,1.194496,[19 19] ; [55 36],[21.79844961 16.20155039] ; [52.20155039 38.79844961],0
b5,1,0.274425,1.194496,[19 19] ; [55 36],[21.79844961 16.20155039] ; [52.20155039 38.79844961],0
p4,1,0.3289,0.953223,[15 23] ; [44 46],[17.515625 20.484375] ; [41.484375 48.515625],0
p7,1,0.342446,0.901251,[17 21] ; [48 41],[19.4488189 18.5511811] ; [45.5511811 43.4488189],0
s3,1,0.374101,0.789996,[21 17] ; [42 48],[18.703125 19.296875] ; [44.296875 45.703125],0
n3,1,0.376363,0.782547,[10  2] ; [16  7],[8.91428571 3.08571429] ; [17.08571429  5.91428571],0
v4,1,0.380837,0.767998,[33  3] ; [87  4],[34.01574803  1.98425197] ; [85.98425197  5.01574803],0
s2,1,0.450152,0.57027,[12 26] ; [34 54],[13.87301587 24.12698413] ; [32.12698413 55.87301587],0
p2,1,0.459019,0.548286,[26 12] ; [56 35],[24.15503876 13.84496124] ; [57.84496124 33.15503876],0
d2,1,0.474174,0.512233,[17 21] ; [47 44],[18.85271318 19.14728682] ; [45.14728682 45.85271318],0
p6,1,0.481165,0.496222,[ 7 30] ; [22 67],[ 8.51587302 28.48412698] ; [20.48412698 68.51587302],0
v1,1,0.493147,0.469653,[13 25] ; [37 54],[14.72868217 23.27131783] ; [35.27131783 55.72868217],0
a3,1,0.526736,0.400684,[24 14] ; [52 39],[22.3875969 15.6124031] ; [53.6124031 37.3875969],0
b4,1,0.531863,0.390831,[26 12] ; [57 34],[24.4496124 13.5503876] ; [58.5503876 32.4496124],0
a8,1,0.554193,0.349858,[ 3 32] ; [10 71],[ 3.92241379 31.07758621] ; [ 9.07758621 71.92241379],0
r1,1,0.565001,0.331119,[34  4] ; [78 13],[32.99224806  5.00775194] ; [79.00775194 11.99224806],0
d5,1,0.571254,0.320588,[27 11] ; [69 22],[28.27906977  9.72093023] ; [67.72093023 23.27906977],0
v3,1,0.581926,0.303131,[11 24] ; [33 57],[12.32 22.68] ; [31.68 58.32],0
p3,1,0.58796,0.293541,[15 23] ; [31 59],[13.65625 24.34375] ; [32.34375 57.65625],0
b1,1,0.638881,0.220208,[23 15] ; [51 40],[21.79844961 16.20155039] ; [52.20155039 38.79844961],0
p1,1,0.646411,0.210455,[ 2 35] ; [ 7 84],[ 2.6015625 34.3984375] ; [ 6.3984375 84.6015625],0
a5,1,0.648864,0.207335,[25 13] ; [56 35],[23.86046512 14.13953488] ; [57.13953488 33.86046512],0
n2,1,0.693012,0.155844,[10  4] ; [17  5],[10.5  3.5] ; [16.5  5.5],0
a2,1,0.695672,0.153014,[ 6 32] ; [17 74],[ 6.7751938 31.2248062] ; [16.2248062 74.7751938],0
d3,1,0.699606,0.148882,[22 16] ; [56 35],[22.97674419 15.02325581] ; [55.02325581 35.97674419],0
s1,1,0.790367,0.070668,[ 2 35] ; [ 6 84],[ 2.33070866 34.66929134] ; [ 5.66929134 84.33070866],0
a4,1,0.79132,0.070012,[13 25] ; [33 57],[13.65625 24.34375] ; [32.34375 57.65625],0
d4,1,0.837217,0.042212,[27 10] ; [68 23],[27.4609375  9.5390625] ; [67.5390625 23.4609375],0
v2,1,0.858223,0.031911,[16 20] ; [38 51],[15.552 20.448] ; [38.448 50.552],0
s4,1,0.918921,0.010362,[ 5 33] ; [11 77],[ 4.82539683 33.17460317] ; [11.17460317 76.82539683],0
a6,1,0.955536,0.003109,[24 14] ; [57 34],[23.86046512 14.13953488] ; [57.13953488 33.86046512],0
p8,1,0.987401,0.000249,[13 25] ; [31 60],[12.96124031 25.03875969] ; [31.03875969 59.96124031],0
