Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.007382,7.177496,[11 16] ; [18  5],[15.66 11.34] ; [13.34  9.66],0
p3,1,0.010656,6.521739,[ 9 18] ; [16  7],[13.5 13.5] ; [11.5 11.5],0
s8,1,0.012762,6.201865,[ 6 21] ; [13 10],[10.26 16.74] ; [ 8.74 14.26],0
p7,1,0.012776,6.199836,[10 16] ; [17  6],[14.32653061 11.67346939] ; [12.67346939 10.32653061],0
p8,1,0.016558,5.742614,[ 7 19] ; [14  9],[11.14285714 14.85714286] ; [ 9.85714286 13.14285714],0
d5,1,0.019352,5.46939,[17 10] ; [21  2],[20.52  6.48] ; [17.48  5.52],0
r4,1,0.029708,4.72612,[16 11] ; [20  3],[19.44  7.56] ; [16.56  6.44],0
p10,1,0.029995,4.709578,[17  9] ; [21  2],[20.16326531  5.83673469] ; [17.83673469  5.16326531],0
v2,1,0.032798,4.55628,[ 8 18] ; [13  8],[11.61702128 14.38297872] ; [ 9.38297872 11.61702128],0
p11,1,0.040968,4.177323,[15 12] ; [19  4],[18.36  8.64] ; [15.64  7.36],0
a5,1,0.052505,3.759617,[14 13] ; [18  5],[17.28  9.72] ; [14.72  8.28],0
u2,1,0.061369,3.5,[6 8] ; [6 1],[8. 6.] ; [4. 3.],0
p1,1,0.082103,3.022779,[ 2 24] ; [ 6 17],[ 4.24489796 21.75510204] ; [ 3.75510204 19.24489796],0
a6,1,0.08424,2.981131,[11 16] ; [15  8],[14.04 12.96] ; [11.96 11.04],0
b5,1,0.08424,2.981131,[16 11] ; [ 8 15],[12.96 14.04] ; [11.04 11.96],0
s7,1,0.096136,2.768508,[11 14] ; [15  7],[13.82978723 11.17021277] ; [12.17021277  9.82978723],0
a1,1,0.1455,2.11881,[ 2 25] ; [ 5 18],[ 3.78 23.22] ; [ 3.22 19.78],0
d3,1,0.151127,2.060836,[16 11] ; [18  5],[18.36  8.64] ; [15.64  7.36],0
d1,1,0.155969,2.012882,[11 16] ; [14  9],[13.5 13.5] ; [11.5 11.5],0
a3,1,0.16433,1.933921,[13 13] ; [16  7],[15.3877551 10.6122449] ; [13.6122449  9.3877551],0
r2,1,0.174058,1.847643,[20  6] ; [21  2],[21.75510204  4.24489796] ; [19.24489796  3.75510204],0
r3,1,0.193493,1.690821,[21  6] ; [21  2],[22.68  4.32] ; [19.32  3.68],0
n1,1,0.197796,1.658574,[2 6] ; [6 5],[3.36842105 4.63157895] ; [4.63157895 6.36842105],0
u1,1,0.225026,1.47203,[ 1 26] ; [ 3 20],[ 2.16 24.84] ; [ 1.84 21.16],0
s1,1,0.225026,1.47203,[ 1 26] ; [ 3 20],[ 2.16 24.84] ; [ 1.84 21.16],0
d2,1,0.309064,1.034669,[12 15] ; [ 7 16],[10.26 16.74] ; [ 8.74 14.26],0
b3,1,0.3785,0.775567,[ 5 11] ; [7 8],[6.19354839 9.80645161] ; [5.80645161 9.19354839],0
b2,1,0.3785,0.775567,[ 5 11] ; [7 8],[6.19354839 9.80645161] ; [5.80645161 9.19354839],0
b1,1,0.441074,0.593486,[10 17] ; [11 12],[11.34 15.66] ; [ 9.66 13.34],0
s2,1,0.526106,0.401907,[19  8] ; [18  5],[19.98  7.02] ; [17.02  5.98],0
p9,1,0.558678,0.341999,[21  5] ; [20  3],[21.75510204  4.24489796] ; [19.24489796  3.75510204],0
d4,1,0.598667,0.277011,[22  5] ; [20  3],[22.68  4.32] ; [19.32  3.68],0
s6,1,0.622135,0.242878,[20  6] ; [19  4],[20.69387755  5.30612245] ; [18.30612245  4.69387755],0
a8,1,0.653594,0.201399,[ 2 24] ; [ 1 21],[ 1.625 24.375] ; [ 1.375 20.625],0
a7,1,0.665308,0.18714,[16 11] ; [15  8],[16.74 10.26] ; [14.26  8.74],0
n6,1,0.670379,0.181159,[21  6] ; [19  4],[21.6  5.4] ; [18.4  4.6],0
a4,1,0.670379,0.181159,[ 9 18] ; [ 9 14],[ 9.72 17.28] ; [ 8.28 14.72],0
n5,1,0.70436,0.143976,[15 12] ; [14  9],[15.66 11.34] ; [13.34  9.66],0
n2,1,0.718904,0.129545,[6 2] ; [9 2],[6.31578947 1.68421053] ; [8.68421053 2.31578947],0
v1,1,0.772638,0.083478,[12 13] ; [12 11],[12.5 12.5] ; [11.5 11.5],0
p2,1,0.806822,0.059794,[20  6] ; [17  6],[19.63265306  6.36734694] ; [17.36734694  5.63265306],0
p5,1,0.827878,0.047273,[ 5 21] ; [ 5 18],[ 5.30612245 20.69387755] ; [ 4.69387755 18.30612245],0
n3,1,0.844674,0.038384,[4 4] ; [5 6],[3.78947368 4.21052632] ; [5.21052632 5.78947368],0
a2,1,0.867096,0.028005,[ 2 25] ; [ 2 21],[ 2.16 24.84] ; [ 1.84 21.16],0
s3,1,0.879192,0.023102,[17 10] ; [14  9],[16.74 10.26] ; [14.26  8.74],0
v4,1,0.898137,0.016388,[24  2] ; [21  2],[23.87755102  2.12244898] ; [21.12244898  1.87755102],0
s4,1,0.914138,0.011625,[ 9 18] ; [ 8 15],[ 9.18 17.82] ; [ 7.82 15.18],0
b4,1,0.917645,0.010692,[22  5] ; [19  4],[22.14  4.86] ; [18.86  4.14],0
n4,1,0.945311,0.004705,[15 12] ; [13 10],[15.12 11.88] ; [12.88 10.12],0
v3,1,0.987964,0.000228,[ 6 19] ; [ 5 16],[ 5.97826087 19.02173913] ; [ 5.02173913 15.97826087],0
