Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.009195,6.784615,[ 2 11] ; [4 1],[4.33333333 8.66666667] ; [1.66666667 3.33333333],0
s2,1,0.026494,4.923477,[ 3 10] ; [4 1],[5.05555556 7.94444444] ; [1.94444444 3.05555556],0
v3,1,0.057398,3.611014,[ 3 10] ; [3 1],[4.58823529 8.41176471] ; [1.41176471 2.58823529],0
s5,1,0.057398,3.611014,[ 3 10] ; [3 1],[4.58823529 8.41176471] ; [1.41176471 2.58823529],0
a2,1,0.099481,2.713846,[ 1 12] ; [2 3],[ 2.16666667 10.83333333] ; [0.83333333 4.16666667],0
p2,1,0.114404,2.492308,[5 8] ; [4 1],[6.5 6.5] ; [2.5 2.5],0
a4,1,0.136641,2.215385,[ 3 10] ; [3 2],[4.33333333 8.66666667] ; [1.66666667 3.33333333],0
s8,1,0.136641,2.215385,[ 3 10] ; [3 2],[4.33333333 8.66666667] ; [1.66666667 3.33333333],0
v1,1,0.149073,2.081713,[5 7] ; [4 1],[6.35294118 5.64705882] ; [2.64705882 2.35294118],0
n5,1,0.195539,1.675385,[6 7] ; [4 1],[7.22222222 5.77777778] ; [2.77777778 2.22222222],0
d2,1,0.195539,1.675385,[6 7] ; [4 1],[7.22222222 5.77777778] ; [2.77777778 2.22222222],0
r4,1,0.254524,1.298302,[4 9] ; [3 2],[5.05555556 7.94444444] ; [1.94444444 3.05555556],0
p8,1,0.301409,1.067949,[ 2 10] ; [2 3],[2.82352941 9.17647059] ; [1.17647059 3.82352941],0
n4,1,0.30797,1.039361,[7 6] ; [4 1],[7.94444444 5.05555556] ; [3.05555556 1.94444444],0
b1,1,0.30797,1.039361,[7 6] ; [4 1],[7.94444444 5.05555556] ; [3.05555556 1.94444444],0
r2,1,0.394344,0.725505,[7 5] ; [4 1],[7.76470588 4.23529412] ; [3.23529412 1.76470588],0
a6,1,0.410117,0.678462,[5 8] ; [3 2],[5.77777778 7.22222222] ; [2.22222222 2.77777778],0
p5,1,0.45675,0.553846,[ 1 12] ; [1 4],[ 1.44444444 11.55555556] ; [0.55555556 4.44444444],0
p10,1,0.45675,0.553846,[8 5] ; [4 1],[8.66666667 4.33333333] ; [3.33333333 1.66666667],0
r1,1,0.598725,0.276923,[7 6] ; [2 3],[6.5 6.5] ; [2.5 2.5],0
d3,1,0.598725,0.276923,[7 6] ; [2 3],[6.5 6.5] ; [2.5 2.5],0
d1,1,0.598725,0.276923,[6 7] ; [3 2],[6.5 6.5] ; [2.5 2.5],0
b5,1,0.598725,0.276923,[6 7] ; [3 2],[6.5 6.5] ; [2.5 2.5],0
d5,1,0.647743,0.208757,[9 4] ; [4 1],[9.38888889 3.61111111] ; [3.61111111 1.38888889],0
b4,1,0.647743,0.208757,[9 4] ; [4 1],[9.38888889 3.61111111] ; [3.61111111 1.38888889],0
b2,1,0.70663,0.141667,[6 6] ; [2 3],[5.64705882 6.35294118] ; [2.35294118 2.64705882],0
b3,1,0.70663,0.141667,[6 6] ; [2 3],[5.64705882 6.35294118] ; [2.35294118 2.64705882],0
s4,1,0.709815,0.138462,[4 9] ; [2 3],[4.33333333 8.66666667] ; [1.66666667 3.33333333],0
p11,1,0.709815,0.138462,[9 4] ; [3 2],[8.66666667 4.33333333] ; [3.33333333 1.66666667],0
p1,1,0.813945,0.055385,[ 2 11] ; [1 4],[ 2.16666667 10.83333333] ; [0.83333333 4.16666667],0
a7,1,0.813945,0.055385,[6 7] ; [2 3],[5.77777778 7.22222222] ; [2.22222222 2.77777778],0
n6,1,0.824745,0.049038,[9 3] ; [4 1],[9.17647059 2.82352941] ; [3.82352941 1.17647059],0
d4,1,0.888153,0.01978,[10  3] ; [4 1],[10.11111111  2.88888889] ; [3.88888889 1.11111111],0
a8,1,0.888153,0.01978,[ 3 10] ; [1 4],[ 2.88888889 10.11111111] ; [1.11111111 3.88888889],0
