Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000492,12.144976,[ 8 19] ; [24  8],[14.6440678 12.3559322] ; [17.3559322 14.6440678],1
p4,1,0.032157,4.590126,[10 17] ; [ 4 27],[ 6.51724138 20.48275862] ; [ 7.48275862 23.51724138],0
r3,1,0.040778,4.18522,[15 12] ; [ 9 22],[11.17241379 15.82758621] ; [12.82758621 18.17241379],0
u3,1,0.055205,3.675897,[6 7] ; [ 2 13],[3.71428571 9.28571429] ; [ 4.28571429 10.71428571],0
p11,1,0.063152,3.452608,[11 16] ; [ 6 26],[ 7.77966102 19.22033898] ; [ 9.22033898 22.77966102],0
a7,1,0.07019,3.278561,[16 11] ; [11 20],[12.56896552 14.43103448] ; [14.43103448 16.56896552],0
b3,1,0.085886,2.949833,[ 2 11] ; [10 13],[4.33333333 8.66666667] ; [ 7.66666667 15.33333333],0
b2,1,0.085886,2.949833,[ 2 11] ; [10 13],[4.33333333 8.66666667] ; [ 7.66666667 15.33333333],0
p8,1,0.092799,2.825128,[ 9 17] ; [ 5 27],[ 6.27586207 19.72413793] ; [ 7.72413793 24.27586207],0
p10,1,0.103416,2.652055,[ 8 19] ; [ 4 28],[ 5.49152542 21.50847458] ; [ 6.50847458 25.49152542],0
a1,1,0.131207,2.278167,[ 1 26] ; [ 5 27],[ 2.74576271 24.25423729] ; [ 3.25423729 28.74576271],0
p7,1,0.135916,2.223603,[11 16] ; [ 7 24],[ 8.37931034 18.62068966] ; [ 9.62068966 21.37931034],0
p6,1,0.143164,2.143612,[ 5 21] ; [ 2 29],[ 3.19298246 22.80701754] ; [ 3.80701754 27.19298246],0
s8,1,0.22412,1.477794,[ 3 24] ; [ 1 31],[ 1.83050847 25.16949153] ; [ 2.16949153 29.83050847],0
n3,1,0.241374,1.372549,[9 8] ; [ 6 12],[7.28571429 9.71428571] ; [ 7.71428571 10.28571429],0
d4,1,0.330703,0.946141,[19  8] ; [18 13],[17.22413793  9.77586207] ; [19.77586207 11.22413793],0
r2,1,0.369712,0.804632,[13 14] ; [18 12],[14.68421053 12.31578947] ; [16.31578947 13.68421053],0
b4,1,0.388494,0.743649,[13 14] ; [19 13],[14.6440678 12.3559322] ; [17.3559322 14.6440678],0
a4,1,0.468022,0.526643,[ 8 19] ; [12 19],[ 9.31034483 17.68965517] ; [10.68965517 20.31034483],0
n1,1,0.4795,0.5,[ 5 13] ; [ 7 11],[ 6. 12.] ; [ 6. 12.],0
s6,1,0.481352,0.495798,[ 9 18] ; [ 8 24],[ 7.77966102 19.22033898] ; [ 9.22033898 22.77966102],0
d2,1,0.483433,0.491108,[11 16] ; [15 15],[12.31578947 14.68421053] ; [13.68421053 16.31578947],0
v3,1,0.48786,0.481243,[ 4 23] ; [ 7 25],[ 5.03389831 21.96610169] ; [ 5.96610169 26.03389831],0
v4,1,0.506394,0.441511,[15 12] ; [15 17],[13.72881356 13.27118644] ; [16.27118644 15.72881356],0
s4,1,0.507627,0.438955,[ 7 20] ; [ 6 26],[ 5.94915254 21.05084746] ; [ 7.05084746 24.94915254],0
p1,1,0.519073,0.415735,[ 2 25] ; [ 4 28],[ 2.74576271 24.25423729] ; [ 3.25423729 28.74576271],0
s1,1,0.519738,0.414412,[ 4 23] ; [ 3 29],[ 3.20338983 23.79661017] ; [ 3.79661017 28.20338983],0
p3,1,0.530628,0.393189,[ 4 22] ; [ 7 25],[ 4.93103448 21.06896552] ; [ 6.06896552 25.93103448],0
n6,1,0.585783,0.296979,[12 15] ; [16 15],[13.03448276 13.96551724] ; [14.96551724 16.03448276],0
d1,1,0.601011,0.273473,[10 17] ; [14 18],[10.98305085 16.01694915] ; [13.01694915 18.98305085],0
p2,1,0.614433,0.253769,[11 16] ; [11 21],[10.06779661 16.93220339] ; [11.93220339 20.06779661],0
d3,1,0.670293,0.18126,[12 15] ; [16 16],[12.81355932 14.18644068] ; [15.18644068 16.81355932],0
b5,1,0.703234,0.14513,[14 13] ; [15 17],[13.27118644 13.72881356] ; [15.72881356 16.27118644],0
s2,1,0.715567,0.13278,[ 7 20] ; [ 7 25],[ 6.40677966 20.59322034] ; [ 7.59322034 24.40677966],0
n2,1,0.738494,0.111455,[ 8 10] ; [9 9],[8.5 9.5] ; [8.5 9.5],0
a5,1,0.767396,0.087488,[12 15] ; [13 19],[11.44067797 15.55932203] ; [13.55932203 18.44067797],0
u2,1,0.816334,0.053946,[5 8] ; [6 8],[5.2962963 7.7037037] ; [5.7037037 8.2962963],0
a3,1,0.820056,0.051744,[14 13] ; [17 14],[14.43103448 12.56896552] ; [16.56896552 14.43103448],0
s7,1,0.830536,0.045802,[ 6 20] ; [ 6 23],[ 5.67272727 20.32727273] ; [ 6.32727273 22.67272727],0
a2,1,0.869447,0.027015,[ 3 24] ; [ 4 28],[ 3.20338983 23.79661017] ; [ 3.79661017 28.20338983],0
a6,1,0.922276,0.009519,[13 14] ; [15 17],[12.81355932 14.18644068] ; [15.18644068 16.81355932],0
b1,1,0.922276,0.009519,[14 13] ; [17 15],[14.18644068 12.81355932] ; [16.81355932 15.18644068],0
r1,1,0.932889,0.007091,[ 9 18] ; [11 21],[ 9.15254237 17.84745763] ; [10.84745763 21.15254237],0
v2,1,0.932889,0.007091,[ 9 18] ; [11 21],[ 9.15254237 17.84745763] ; [10.84745763 21.15254237],0
s3,1,0.960238,0.002485,[ 8 19] ; [ 9 22],[ 7.9137931 19.0862069] ; [ 9.0862069 21.9137931],0
v1,1,0.974426,0.001028,[ 6 21] ; [ 7 25],[ 5.94915254 21.05084746] ; [ 7.05084746 24.94915254],0
s5,1,0.979939,0.000632,[ 4 22] ; [ 5 27],[ 4.03448276 21.96551724] ; [ 4.96551724 27.03448276],0
d5,1,0.992806,8.1e-05,[16 11] ; [19 13],[16.01694915 10.98305085] ; [18.98305085 13.01694915],0
