Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,55.206536,[63  5] ; [ 8 29],[45.98095238 22.01904762] ; [25.01904762 11.98095238],1
v4,1,0.0,55.191773,[65  3] ; [10 27],[48.57142857 19.42857143] ; [26.42857143 10.57142857],1
r1,1,2e-06,22.652216,[51 17] ; [10 27],[39.5047619 28.4952381] ; [21.4952381 15.5047619],1
r2,1,2e-06,22.457085,[64  3] ; [21 15],[55.29126214 11.70873786] ; [29.70873786  6.29126214],1
n6,1,3e-06,21.553241,[54 14] ; [12 24],[43.15384615 24.84615385] ; [22.84615385 13.15384615],1
p11,1,8e-06,20.032346,[42 26] ; [ 6 31],[31.08571429 36.91428571] ; [16.91428571 20.08571429],1
s6,1,1.2e-05,19.091213,[36 30] ; [ 4 33],[25.63106796 40.36893204] ; [14.36893204 22.63106796],1
u3,1,0.000397,12.548148,[19  8] ; [ 2 13],[13.5 13.5] ; [7.5 7.5],1
a1,1,0.001839,9.704,[ 2 66] ; [ 8 29],[ 6.47619048 61.52380952] ; [ 3.52380952 33.47619048],0
n3,1,0.00202,9.53108,[18  4] ; [ 7 13],[13.0952381  8.9047619] ; [11.9047619  8.0952381],0
n2,1,0.002184,9.387931,[21  4] ; [ 8 12],[16.11111111  8.88888889] ; [12.88888889  7.11111111],0
s8,1,0.003113,8.740083,[23 44] ; [ 3 34],[16.75 50.25] ; [ 9.25 27.75],0
s2,1,0.004606,8.028058,[27 40] ; [ 5 32],[20.61538462 46.38461538] ; [11.38461538 25.61538462],0
p9,1,0.005476,7.715106,[38 28] ; [10 25],[31.36633663 34.63366337] ; [16.63366337 18.36633663],0
p4,1,0.007784,7.082562,[23 43] ; [ 4 33],[17.30097087 48.69902913] ; [ 9.69902913 27.30097087],0
b5,1,0.009727,6.684221,[47 21] ; [16 21],[40.8 27.2] ; [22.2 14.8],0
s5,1,0.01648,5.75087,[15 47] ; [ 2 35],[10.64646465 51.35353535] ; [ 6.35353535 30.64646465],0
p10,1,0.033493,4.520381,[32 34] ; [10 27],[26.91262136 39.08737864] ; [15.08737864 21.91262136],0
p3,1,0.034856,4.452224,[22 46] ; [ 5 32],[17.48571429 50.51428571] ; [ 9.51428571 27.48571429],0
p6,1,0.041881,4.140002,[11 57] ; [ 1 35],[ 7.84615385 60.15384615] ; [ 4.15384615 31.84615385],0
u2,1,0.071488,3.248513,[15 12] ; [ 4 11],[12.21428571 14.78571429] ; [6.78571429 8.21428571],0
p1,1,0.075156,3.166653,[ 5 63] ; [ 7 30],[ 7.77142857 60.22857143] ; [ 4.22857143 32.77142857],0
s7,1,0.090854,2.85917,[21 41] ; [ 6 28],[17.4375 44.5625] ; [ 9.5625 24.4375],0
u1,1,0.109416,2.562631,[11 57] ; [ 2 35],[ 8.41904762 59.58095238] ; [ 4.58095238 32.41904762],0
v1,1,0.146228,2.111159,[23 42] ; [ 8 29],[19.75490196 45.24509804] ; [11.24509804 25.75490196],0
d5,1,0.201816,1.629184,[43 24] ; [19 18],[39.94230769 27.05769231] ; [22.05769231 14.94230769],0
b1,1,0.224541,1.475108,[32 36] ; [22 15],[34.97142857 33.02857143] ; [19.02857143 17.97142857],0
p7,1,0.227521,1.456294,[18 48] ; [ 6 30],[15.52941176 50.47058824] ; [ 8.47058824 27.52941176],0
d3,1,0.252986,1.30674,[35 32] ; [15 22],[32.21153846 34.78846154] ; [17.78846154 19.21153846],0
a7,1,0.263031,1.252733,[39 29] ; [17 20],[36.26666667 31.73333333] ; [19.73333333 17.26666667],0
d1,1,0.299708,1.075493,[31 37] ; [13 24],[28.4952381 39.5047619] ; [15.5047619 21.4952381],0
v3,1,0.361902,0.831282,[17 46] ; [ 7 30],[15.12 47.88] ; [ 8.88 28.12],0
a6,1,0.406091,0.690216,[36 31] ; [23 14],[38.00961538 28.99038462] ; [20.99038462 16.00961538],0
s4,1,0.435858,0.607163,[11 56] ; [ 4 33],[ 9.66346154 57.33653846] ; [ 5.33653846 31.66346154],0
n5,1,0.43641,0.605705,[42 25] ; [26 11],[43.80769231 23.19230769] ; [24.19230769 12.80769231],0
d4,1,0.502198,0.450289,[46 21] ; [23 14],[44.45192308 22.54807692] ; [24.54807692 12.45192308],0
s1,1,0.521509,0.410909,[ 8 60] ; [ 6 31],[ 9.06666667 58.93333333] ; [ 4.93333333 32.06666667],0
b3,1,0.527918,0.398397,[17 29] ; [12 15],[18.2739726 27.7260274] ; [10.7260274 16.2739726],0
b2,1,0.527918,0.398397,[17 29] ; [12 15],[18.2739726 27.7260274] ; [10.7260274 16.2739726],0
s3,1,0.545177,0.366029,[26 40] ; [12 24],[24.58823529 41.41176471] ; [13.41176471 22.58823529],0
b4,1,0.554643,0.349065,[39 29] ; [19 18],[37.56190476 30.43809524] ; [20.43809524 16.56190476],0
p12,1,0.659045,0.194686,[ 1 67] ; [ 1 36],[ 1.2952381 66.7047619] ; [ 0.7047619 36.2952381],0
d2,1,0.660282,0.193182,[30 36] ; [18 18],[31.05882353 34.94117647] ; [16.94117647 19.05882353],0
a8,1,0.698405,0.150136,[ 7 60] ; [ 3 34],[ 6.44230769 60.55769231] ; [ 3.55769231 33.44230769],0
a2,1,0.712185,0.136104,[13 55] ; [ 6 31],[12.3047619 55.6952381] ; [ 6.6952381 30.3047619],0
a5,1,0.723463,0.125199,[38 30] ; [22 15],[38.85714286 29.14285714] ; [21.14285714 15.85714286],0
n4,1,0.753466,0.098641,[42 26] ; [24 13],[42.74285714 25.25714286] ; [23.25714286 13.74285714],0
p5,1,0.879487,0.022989,[ 6 59] ; [ 3 33],[ 5.79207921 59.20792079] ; [ 3.20792079 32.79207921],0
a4,1,0.892828,0.018151,[27 40] ; [15 21],[27.32038835 39.67961165] ; [14.67961165 21.32038835],0
p8,1,0.899946,0.015808,[12 56] ; [ 6 30],[11.76923077 56.23076923] ; [ 6.23076923 29.76923077],0
a3,1,0.993431,6.8e-05,[41 26] ; [22 14],[40.98058252 26.01941748] ; [22.01941748 13.98058252],0
n1,1,1.0,0.0,[12 12] ; [10 10],[12. 12.] ; [10. 10.],0
