Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.000317,12.964286,[13  1] ; [1 6],[9.33333333 4.66666667] ; [4.66666667 2.33333333],1
p10,1,0.013449,6.109091,[ 4 10] ; [6 1],[6.66666667 7.33333333] ; [3.33333333 3.66666667],0
n6,1,0.040424,4.2,[ 2 12] ; [4 3],[ 4. 10.] ; [2. 5.],0
r2,1,0.084978,2.967033,[6 7] ; [6 1],[7.8 5.2] ; [4.2 2.8],0
p11,1,0.101707,2.678571,[ 3 11] ; [4 3],[4.66666667 9.33333333] ; [2.33333333 4.66666667],0
p7,1,0.111017,2.539683,[ 4 10] ; [4 2],[5.6 8.4] ; [2.4 3.6],0
p9,1,0.122398,2.386364,[5 9] ; [5 2],[6.66666667 7.33333333] ; [3.33333333 3.66666667],0
d4,1,0.147299,2.1,[12  2] ; [4 3],[10.66666667  3.33333333] ; [5.33333333 1.66666667],0
d1,1,0.19043,1.714286,[6 8] ; [1 6],[4.66666667 9.33333333] ; [2.33333333 4.66666667],0
p3,1,0.203737,1.615385,[ 4 10] ; [4 3],[5.33333333 8.66666667] ; [2.66666667 4.33333333],0
n4,1,0.305507,1.05,[5 9] ; [1 6],[ 4. 10.] ; [2. 5.],0
p4,1,0.305507,1.05,[ 3 11] ; [3 4],[ 4. 10.] ; [2. 5.],0
a6,1,0.305507,1.05,[5 9] ; [1 6],[ 4. 10.] ; [2. 5.],0
n3,1,0.342782,0.9,[4 2] ; [1 2],[3.33333333 2.66666667] ; [1.66666667 1.33333333],0
v4,1,0.349575,0.875,[7 7] ; [5 2],[8. 6.] ; [4. 3.],0
d5,1,0.349575,0.875,[9 5] ; [3 4],[8. 6.] ; [4. 3.],0
a3,1,0.349575,0.875,[9 5] ; [3 4],[8. 6.] ; [4. 3.],0
s2,1,0.431923,0.617647,[ 2 12] ; [2 5],[ 2.66666667 11.33333333] ; [1.33333333 5.66666667],0
s6,1,0.468717,0.525,[ 4 10] ; [1 6],[ 3.33333333 10.66666667] ; [1.66666667 5.33333333],0
d2,1,0.468717,0.525,[ 4 10] ; [1 6],[ 3.33333333 10.66666667] ; [1.66666667 5.33333333],0
r1,1,0.52511,0.403846,[6 8] ; [2 5],[5.33333333 8.66666667] ; [2.66666667 4.33333333],0
v1,1,0.52511,0.403846,[6 8] ; [2 5],[5.33333333 8.66666667] ; [2.66666667 4.33333333],0
a5,1,0.52511,0.403846,[6 8] ; [2 5],[5.33333333 8.66666667] ; [2.66666667 4.33333333],0
s1,1,0.599126,0.276316,[ 1 13] ; [1 6],[ 1.33333333 12.66666667] ; [0.66666667 6.33333333],0
s8,1,0.599126,0.276316,[ 1 13] ; [1 6],[ 1.33333333 12.66666667] ; [0.66666667 6.33333333],0
r4,1,0.599126,0.276316,[ 1 13] ; [1 6],[ 1.33333333 12.66666667] ; [0.66666667 6.33333333],0
b3,1,0.621014,0.244444,[2 4] ; [1 4],[1.63636364 4.36363636] ; [1.36363636 3.63636364],0
b2,1,0.621014,0.244444,[2 4] ; [1 4],[1.63636364 4.36363636] ; [1.36363636 3.63636364],0
u3,1,0.635256,0.225,[3 2] ; [3 1],[3.33333333 1.66666667] ; [2.66666667 1.33333333],0
u2,1,0.635256,0.225,[3 2] ; [3 1],[3.33333333 1.66666667] ; [2.66666667 1.33333333],0
s4,1,0.694354,0.154412,[ 3 11] ; [1 6],[ 2.66666667 11.33333333] ; [1.33333333 5.66666667],0
v3,1,0.71714,0.13125,[ 3 11] ; [2 5],[ 3.33333333 10.66666667] ; [1.66666667 5.33333333],0
d3,1,0.743421,0.107143,[9 5] ; [5 2],[9.33333333 4.66666667] ; [4.66666667 2.33333333],0
s3,1,0.750042,0.101496,[ 3 10] ; [1 5],[ 2.73684211 10.26315789] ; [1.26315789 4.73684211],0
b4,1,0.750679,0.100962,[9 5] ; [4 3],[8.66666667 5.33333333] ; [4.33333333 2.66666667],0
p2,1,0.757354,0.095455,[7 7] ; [4 3],[7.33333333 6.66666667] ; [3.66666667 3.33333333],0
a7,1,0.757354,0.095455,[7 7] ; [4 3],[7.33333333 6.66666667] ; [3.66666667 3.33333333],0
b5,1,1.0,0.0,[8 6] ; [4 3],[8. 6.] ; [4. 3.],0
s7,1,1.0,0.0,[ 2 10] ; [1 5],[ 2. 10.] ; [1. 5.],0
n1,1,1.0,0.0,[2 4] ; [1 2],[2. 4.] ; [1. 2.],0
