Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1.8e-05,18.343251,[57  1] ; [6 4],[53.73529412  4.26470588] ; [9.26470588 0.73529412],1
r1,1,0.000422,12.433943,[44 13] ; [3 9],[38.82608696 18.17391304] ; [8.17391304 3.82608696],1
r2,1,0.000886,11.05173,[57  1] ; [8 3],[54.63768116  3.36231884] ; [10.36231884  0.63768116],1
s6,1,0.006652,7.364734,[52  6] ; [7 5],[48.88571429  9.11428571] ; [10.11428571  1.88571429],0
p10,1,0.025895,4.963014,[48  9] ; [6 5],[45.26470588 11.73529412] ; [8.73529412 2.26470588],0
a3,1,0.052675,3.754214,[39 19] ; [4 7],[36.14492754 21.85507246] ; [6.85507246 4.14492754],0
a5,1,0.053853,3.717256,[41 17] ; [5 7],[38.11428571 19.88571429] ; [7.88571429 4.11428571],0
s4,1,0.086793,2.932866,[25 33] ; [ 2 10],[22.37142857 35.62857143] ; [4.62857143 7.37142857],0
n2,1,0.099438,2.714533,[17  5] ; [2 3],[15.48148148  6.51851852] ; [3.51851852 1.48148148],0
v3,1,0.099807,2.708626,[19 37] ; [ 1 10],[16.71641791 39.28358209] ; [3.28358209 7.71641791],0
s8,1,0.113549,2.504112,[29 29] ; [3 9],[26.51428571 31.48571429] ; [5.48571429 6.51428571],0
p9,1,0.116251,2.46712,[48  8] ; [8 4],[46.11764706  9.88235294] ; [9.88235294 2.11764706],0
p7,1,0.130845,2.282453,[33 21] ; [4 7],[30.73846154 23.26153846] ; [6.26153846 4.73846154],0
p8,1,0.151001,2.062112,[29 28] ; [3 8],[26.82352941 30.17647059] ; [5.17647059 5.82352941],0
s2,1,0.164841,1.929248,[41 17] ; [6 6],[38.94285714 19.05714286] ; [8.05714286 3.94285714],0
b3,1,0.198203,1.655568,[13 15] ; [2 7],[11.35135135 16.64864865] ; [3.64864865 5.35135135],0
b2,1,0.198203,1.655568,[13 15] ; [2 7],[11.35135135 16.64864865] ; [3.64864865 5.35135135],0
p6,1,0.240177,1.379553,[19 37] ; [ 2 10],[17.29411765 38.70588235] ; [3.70588235 8.29411765],0
a4,1,0.243926,1.357759,[25 33] ; [3 9],[23.2 34.8] ; [4.8 7.2],0
b5,1,0.245934,1.346255,[30 28] ; [4 8],[28.17142857 29.82857143] ; [5.82857143 6.17142857],0
p3,1,0.318821,0.993777,[28 29] ; [4 8],[26.43478261 30.56521739] ; [5.56521739 6.43478261],0
b1,1,0.332613,0.938697,[16 42] ; [5 7],[17.4 40.6] ; [3.6 8.4],0
a7,1,0.332613,0.938697,[42 16] ; [7 5],[40.6 17.4] ; [8.4 3.6],0
s3,1,0.352287,0.865204,[40 18] ; [6 5],[38.66666667 19.33333333] ; [7.33333333 3.66666667],0
u3,1,0.365416,0.819195,[13  6] ; [4 4],[11.96296296  7.03703704] ; [5.03703704 2.96296296],0
d3,1,0.401308,0.704404,[41 17] ; [7 5],[39.77142857 18.22857143] ; [8.22857143 3.77142857],0
p2,1,0.416604,0.659876,[43 14] ; [7 4],[41.91176471 15.08823529] ; [8.08823529 2.91176471],0
n5,1,0.430809,0.620641,[16 42] ; [ 2 10],[14.91428571 43.08571429] ; [3.08571429 8.91428571],0
u2,1,0.472423,0.516303,[10  9] ; [3 5],[9.14814815 9.85185185] ; [3.85185185 4.14814815],0
a6,1,0.507846,0.438502,[35 23] ; [6 6],[33.97142857 24.02857143] ; [7.02857143 4.97142857],0
u1,1,0.517406,0.419061,[ 9 49] ; [ 1 11],[ 8.28571429 49.71428571] ; [ 1.71428571 10.28571429],0
d1,1,0.582804,0.301724,[34 24] ; [6 6],[33.14285714 24.85714286] ; [6.85714286 5.14285714],0
v1,1,0.586886,0.295233,[26 31] ; [6 5],[26.82352941 30.17647059] ; [5.17647059 5.82352941],0
n6,1,0.620865,0.244654,[42 15] ; [8 4],[41.30434783 15.69565217] ; [8.69565217 3.30434783],0
p1,1,0.657743,0.196277,[ 8 49] ; [ 1 10],[ 7.54411765 49.45588235] ; [1.45588235 9.54411765],0
d5,1,0.658743,0.195054,[45 13] ; [10  2],[45.57142857 12.42857143] ; [9.42857143 2.57142857],0
d2,1,0.661534,0.191666,[25 33] ; [6 6],[25.68571429 32.31428571] ; [5.31428571 6.68571429],0
d4,1,0.711208,0.137074,[51  7] ; [11  1],[51.37142857  6.62857143] ; [10.62857143  1.37142857],0
s7,1,0.729866,0.119235,[25 28] ; [5 7],[24.46153846 28.53846154] ; [5.53846154 6.46153846],0
p5,1,0.809387,0.058186,[ 4 53] ; [ 1 10],[ 4.19117647 52.80882353] ; [ 0.80882353 10.19117647],0
p11,1,0.875917,0.024382,[40 18] ; [8 4],[39.77142857 18.22857143] ; [8.22857143 3.77142857],0
v2,1,0.910569,0.012616,[29 27] ; [6 6],[28.82352941 27.17647059] ; [6.17647059 5.82352941],0
b4,1,0.939135,0.00583,[38 20] ; [8 4],[38.11428571 19.88571429] ; [7.88571429 4.11428571],0
p4,1,0.955945,0.003052,[29 28] ; [6 6],[28.91304348 28.08695652] ; [6.08695652 5.91304348],0
n1,1,0.97021,0.001395,[ 9 13] ; [2 3],[ 8.96296296 13.03703704] ; [2.03703704 2.96296296],0
