Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,59.058435,[1 9] ; [110   7],[8.74015748 1.25984252] ; [102.25984252  14.74015748],1
v4,1,0.0,26.026803,[4 6] ; [107   8],[8.88 1.12] ; [102.12  12.88],1
r2,1,0.000242,13.475141,[6 4] ; [110   7],[9.13385827 0.86614173] ; [106.86614173  10.13385827],1
p2,1,0.000345,12.810485,[2 8] ; [86 30],[6.98412698 3.01587302] ; [81.01587302 34.98412698],1
a1,1,0.00148,10.103697,[2 8] ; [  2 115],[0.31496063 9.68503937] ; [  3.68503937 113.31496063],0
s6,1,0.006095,7.521976,[1 9] ; [64 52],[5.15873016 4.84126984] ; [59.84126984 56.15873016],0
p11,1,0.008878,6.847257,[2 8] ; [73 44],[5.90551181 4.09448819] ; [69.09448819 47.90551181],0
p9,1,0.02077,5.34601,[3 7] ; [76 38],[6.37096774 3.62903226] ; [72.62903226 41.37096774],0
p4,1,0.030656,4.672119,[1 9] ; [52 63],[4.24 5.76] ; [48.76 66.24],0
a4,1,0.038874,4.266349,[7 3] ; [43 74],[3.93700787 6.06299213] ; [46.06299213 70.93700787],0
b1,1,0.039861,4.223798,[8 2] ; [54 63],[4.88188976 5.11811024] ; [57.11811024 59.88188976],0
s2,1,0.050813,3.81442,[1 9] ; [48 68],[3.88888889 6.11111111] ; [45.11111111 70.88888889],0
n1,1,0.129252,2.30147,[4 3] ; [10 26],[2.27906977 4.72093023] ; [11.72093023 24.27906977],0
v3,1,0.132562,2.262243,[1 9] ; [35 71],[3.10344828 6.89655172] ; [32.89655172 73.10344828],0
s8,1,0.13912,2.187671,[1 9] ; [38 79],[3.07086614 6.92913386] ; [35.92913386 81.07086614],0
a3,1,0.142213,2.153846,[8 1] ; [76 41],[6. 3.] ; [78. 39.],0
p8,1,0.148515,2.087438,[2 8] ; [50 65],[4.16 5.84] ; [47.84 67.16],0
d5,1,0.183585,1.768359,[6 4] ; [91 25],[7.6984127 2.3015873] ; [89.3015873 26.6984127],0
p10,1,0.205937,1.599763,[4 6] ; [69 45],[5.88709677 4.11290323] ; [67.11290323 46.88709677],0
n3,1,0.214974,1.53761,[3 4] ; [23 11],[4.43902439 2.56097561] ; [21.56097561 12.43902439],0
p3,1,0.238359,1.390275,[2 8] ; [45 71],[3.73015873 6.26984127] ; [43.26984127 72.73015873],0
a6,1,0.243926,1.357759,[5 5] ; [79 37],[6.66666667 3.33333333] ; [77.33333333 38.66666667],0
p7,1,0.26397,1.247815,[3 6] ; [59 53],[4.61157025 4.38842975] ; [57.38842975 54.61157025],0
a2,1,0.309059,1.034691,[3 7] ; [20 97],[1.81102362 8.18897638] ; [21.18897638 95.81102362],0
s7,1,0.309631,1.032248,[1 6] ; [35 72],[2.21052632 4.78947368] ; [33.78947368 73.21052632],0
p5,1,0.317052,1.001067,[1 9] ; [  4 110],[0.40322581 9.59677419] ; [  4.59677419 109.40322581],0
v1,1,0.326492,0.962761,[3 7] ; [53 62],[4.48 5.52] ; [51.52 63.48],0
u2,1,0.372875,0.794063,[1 1] ; [31  9],[1.52380952 0.47619048] ; [30.47619048  9.52380952],0
s5,1,0.408961,0.681818,[1 9] ; [23 87],[2. 8.] ; [22. 88.],0
s3,1,0.428425,0.62709,[4 6] ; [61 54],[5.2 4.8] ; [59.8 55.2],0
b5,1,0.439678,0.597122,[5 5] ; [73 44],[6.14173228 3.85826772] ; [71.85826772 45.14173228],0
a7,1,0.506936,0.440387,[6 4] ; [82 35],[6.92913386 3.07086614] ; [81.07086614 35.92913386],0
n2,1,0.525086,0.403892,[4 3] ; [25 11],[4.72093023 2.27906977] ; [24.27906977 11.72093023],0
b4,1,0.527474,0.399256,[7 3] ; [70 47],[6.06299213 3.93700787] ; [70.93700787 46.06299213],0
u3,1,0.550457,0.356499,[1 1] ; [28 12],[1.38095238 0.61904762] ; [27.61904762 12.38095238],0
d3,1,0.558951,0.341524,[6 4] ; [80 36],[6.82539683 3.17460317] ; [79.17460317 36.82539683],0
d2,1,0.582731,0.30184,[3 7] ; [45 71],[3.80952381 6.19047619] ; [44.19047619 71.80952381],0
a5,1,0.627505,0.235459,[6 4] ; [79 38],[6.69291339 3.30708661] ; [78.30708661 38.69291339],0
s1,1,0.627725,0.235159,[1 9] ; [  7 108],[0.64 9.36] ; [  7.36 107.64],0
n4,1,0.774541,0.082048,[5 5] ; [64 53],[5.43307087 4.56692913] ; [63.56692913 53.43307087],0
s4,1,0.796415,0.066558,[1 9] ; [ 15 102],[1.25984252 8.74015748] ; [ 14.74015748 102.25984252],0
b3,1,0.928612,0.008027,[2 5] ; [17 46],[1.9 5.1] ; [17.1 45.9],0
b2,1,0.928612,0.008027,[2 5] ; [17 46],[1.9 5.1] ; [17.1 45.9],0
a8,1,0.937354,0.006177,[1 8] ; [11 96],[0.93103448 8.06896552] ; [11.06896552 95.93103448],0
n5,1,0.956915,0.002919,[4 6] ; [45 70],[3.92 6.08] ; [45.08 69.92],0
d1,1,0.979303,0.000673,[5 5] ; [58 59],[4.96062992 5.03937008] ; [58.03937008 58.96062992],0
d4,1,1.0,0.0,[8 2] ; [92 23],[8. 2.] ; [92. 23.],0
