Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.157299,2.0,[1 7] ; [2 2],[2. 6.] ; [1. 3.],0
b1,1,0.236724,1.4,[4 6] ; [3 1],[5. 5.] ; [2. 2.],0
p8,1,0.236724,1.4,[4 6] ; [3 1],[5. 5.] ; [2. 2.],0
d1,1,0.236724,1.4,[4 6] ; [3 1],[5. 5.] ; [2. 2.],0
n3,1,0.342782,0.9,[2 4] ; [2 1],[2.66666667 3.33333333] ; [1.33333333 1.66666667],0
p4,1,0.393153,0.729167,[5 5] ; [3 1],[5.71428571 4.28571429] ; [2.28571429 1.71428571],0
s6,1,0.393153,0.729167,[5 5] ; [3 1],[5.71428571 4.28571429] ; [2.28571429 1.71428571],0
d2,1,0.393153,0.729167,[5 5] ; [3 1],[5.71428571 4.28571429] ; [2.28571429 1.71428571],0
u1,1,0.468717,0.525,[1 9] ; [1 3],[1.42857143 8.57142857] ; [0.57142857 3.42857143],0
p9,1,0.468717,0.525,[9 1] ; [3 1],[8.57142857 1.42857143] ; [3.42857143 0.57142857],0
v3,1,0.480478,0.497778,[3 7] ; [2 2],[3.57142857 6.42857143] ; [1.42857143 2.57142857],0
v1,1,0.480478,0.497778,[3 7] ; [2 2],[3.57142857 6.42857143] ; [1.42857143 2.57142857],0
s5,1,0.568618,0.325,[3 6] ; [2 2],[3.46153846 5.53846154] ; [1.53846154 2.46153846],0
a6,1,0.596701,0.28,[6 4] ; [3 1],[6.42857143 3.57142857] ; [2.57142857 1.42857143],0
a4,1,0.596701,0.28,[4 6] ; [1 3],[3.57142857 6.42857143] ; [1.42857143 2.57142857],0
b2,1,0.665006,0.1875,[3 5] ; [1 3],[2.66666667 5.33333333] ; [1.33333333 2.66666667],0
b3,1,0.665006,0.1875,[3 5] ; [1 3],[2.66666667 5.33333333] ; [1.33333333 2.66666667],0
p6,1,0.732678,0.116667,[4 6] ; [2 2],[4.28571429 5.71428571] ; [1.71428571 2.28571429],0
d4,1,0.836813,0.042424,[8 2] ; [3 1],[7.85714286 2.14285714] ; [3.14285714 0.85714286],0
p5,1,0.836813,0.042424,[2 8] ; [1 3],[2.14285714 7.85714286] ; [0.85714286 3.14285714],0
a2,1,0.836813,0.042424,[2 8] ; [1 3],[2.14285714 7.85714286] ; [0.85714286 3.14285714],0
p10,1,0.836813,0.042424,[8 2] ; [3 1],[7.85714286 2.14285714] ; [3.14285714 0.85714286],0
d5,1,0.851596,0.035,[7 3] ; [3 1],[7.14285714 2.85714286] ; [2.85714286 1.14285714],0
d3,1,0.851596,0.035,[7 3] ; [3 1],[7.14285714 2.85714286] ; [2.85714286 1.14285714],0
a5,1,0.851596,0.035,[7 3] ; [3 1],[7.14285714 2.85714286] ; [2.85714286 1.14285714],0
p11,1,1.0,0.0,[5 5] ; [2 2],[5. 5.] ; [2. 2.],0
