Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,35.759216,[69 95] ; [186  75],[98.4 65.6] ; [156.6 104.4],1
v3,1,0.0,34.583968,[ 42 124] ; [140 118],[71.25471698 94.74528302] ; [110.74528302 147.25471698],1
n5,1,0.000116,14.848945,[126  43] ; [236  30],[140.63908046  28.36091954] ; [221.36091954  44.63908046],1
p9,1,0.002535,9.114996,[145  25] ; [249  16],[153.97701149  16.02298851] ; [240.02298851  24.97701149],0
n4,1,0.004304,8.150784,[133  37] ; [236  31],[143.54691076  26.45308924] ; [225.45308924  41.54691076],0
d1,1,0.008018,7.029484,[98 72] ; [187  80],[110.86956522  59.13043478] ; [174.13043478  92.86956522],0
p8,1,0.015317,5.879676,[106  64] ; [193  70],[117.39030023  52.60969977] ; [181.60969977  81.39030023],0
s8,1,0.015624,5.844751,[73 96] ; [146 119],[85.27880184 83.72119816] ; [133.72119816 131.27880184],0
p10,1,0.017902,5.605758,[146  23] ; [247  18],[153.03456221  15.96543779] ; [239.96543779  25.03456221],0
u1,1,0.019055,5.496472,[ 25 145] ; [ 64 203],[ 34.62242563 135.37757437] ; [ 54.37757437 212.62242563],0
p6,1,0.023856,5.105067,[75 94] ; [146 117],[86.45601852 82.54398148] ; [134.54398148 128.45601852],0
r4,1,0.030382,4.68753,[149  21] ; [250  17],[155.2173913  14.7826087] ; [243.7826087  23.2173913],0
r1,1,0.037183,4.342021,[131  38] ; [227  39],[139.08505747  29.91494253] ; [218.91494253  47.08505747],0
n1,1,0.037909,4.309117,[10 26] ; [20 19],[14.4 21.6] ; [15.6 23.4],0
n6,1,0.042587,4.111708,[143  26] ; [242  24],[149.57471264  19.42528736] ; [235.42528736  30.57471264],0
a3,1,0.042757,4.104988,[117  53] ; [207  60],[126.04118993  43.95881007] ; [197.95881007  69.04118993],0
d5,1,0.04276,4.104871,[136  34] ; [232  34],[143.48623853  26.51376147] ; [224.51376147  41.48623853],0
a5,1,0.048143,3.904983,[126  44] ; [219  48],[134.21052632  35.78947368] ; [210.78947368  56.21052632],0
u3,1,0.048414,3.895544,[26 26] ; [41 19],[31.10714286 20.89285714] ; [35.89285714 24.10714286],0
b5,1,0.060551,3.522234,[87 83] ; [161 106],[96.47597254 73.52402746] ; [151.52402746 115.47597254],0
d4,1,0.08604,2.946942,[138  32] ; [232  34],[144.26605505  25.73394495] ; [225.73394495  40.26605505],0
s5,1,0.109232,2.565296,[ 55 110] ; [106 152],[ 62.80141844 102.19858156] ; [ 98.19858156 159.80141844],0
n2,1,0.125896,2.342394,[24 12] ; [32  7],[26.88  9.12] ; [29.12  9.88],0
a2,1,0.139801,2.180149,[ 37 133] ; [ 75 192],[ 43.56979405 126.43020595] ; [ 68.43020595 198.56979405],0
p5,1,0.140119,2.176656,[ 24 146] ; [ 52 213],[ 29.70114943 140.29885057] ; [ 46.29885057 218.70114943],0
r3,1,0.14349,2.140124,[160   9] ; [260   7],[162.79816514   6.20183486] ; [257.20183486   9.79816514],0
v4,1,0.155649,2.015998,[161   8] ; [259   6],[163.5483871   5.4516129] ; [256.4516129   8.5483871],0
s1,1,0.16367,1.939991,[  8 162] ; [  6 257],[  5.4965358 164.5034642] ; [  8.5034642 254.4965358],0
s2,1,0.167787,1.902603,[84 85] ; [148 114],[90.96983759 78.03016241] ; [141.03016241 120.96983759],0
a4,1,0.189029,1.72517,[75 95] ; [134 131],[81.67816092 88.32183908] ; [127.32183908 137.67816092],0
d2,1,0.200758,1.636849,[82 88] ; [145 121],[88.50917431 81.49082569] ; [138.49082569 127.50917431],0
s4,1,0.276907,1.18221,[ 32 135] ; [ 40 224],[ 27.89791183 139.10208817] ; [ 44.10208817 219.89791183],0
a8,1,0.289054,1.124024,[ 18 140] ; [ 36 202],[ 21.54545455 136.45454545] ; [ 32.45454545 205.54545455],0
b2,1,0.307308,1.042209,[36 65] ; [ 79 110],[40.05172414 60.94827586] ; [ 74.94827586 114.05172414],0
b3,1,0.307308,1.042209,[36 65] ; [ 79 110],[40.05172414 60.94827586] ; [ 74.94827586 114.05172414],0
r2,1,0.308063,1.038961,[155  13] ; [250  14],[157.5  10.5] ; [247.5  16.5],0
p7,1,0.321695,0.982041,[126  42] ; [208  55],[130.19025522  37.80974478] ; [203.80974478  59.19025522],0
p12,1,0.348051,0.880549,[ 15 155] ; [ 31 235],[ 17.93577982 152.06422018] ; [ 28.06422018 237.93577982],0
p2,1,0.354587,0.856975,[152  17] ; [246  20],[154.62528736  14.37471264] ; [243.37471264  22.62528736],0
d3,1,0.43993,0.596465,[121  49] ; [199  68],[124.48512586  45.51487414] ; [195.51487414  71.48512586],0
s3,1,0.44327,0.587803,[100  68] ; [145 115],[96.1682243 71.8317757] ; [148.8317757 111.1682243],0
u2,1,0.444131,0.585587,[34 18] ; [35 25],[32.03571429 19.96428571] ; [36.96428571 23.03571429],0
p3,1,0.539604,0.376273,[113  56] ; [186  81],[115.89678899  53.10321101] ; [183.10321101  83.89678899],0
a7,1,0.570772,0.321392,[125  45] ; [202  64],[127.5  42.5] ; [199.5  66.5],0
s7,1,0.581722,0.303459,[87 76] ; [142 111],[89.72836538 73.27163462] ; [139.27163462 113.72836538],0
n3,1,0.634151,0.226473,[29  8] ; [28 10],[28.12  8.88] ; [28.88  9.12],0
b4,1,0.759048,0.094084,[100  70] ; [161 106],[101.53318078  68.46681922] ; [159.46681922 107.53318078],0
a1,1,0.75924,0.09393,[  9 161] ; [ 16 251],[  9.72540046 160.27459954] ; [ 15.27459954 251.72540046],0
a6,1,0.864066,0.02931,[121  49] ; [188  79],[120.20594966  49.79405034] ; [188.79405034  78.20594966],0
b1,1,0.897777,0.016505,[ 62 108] ; [ 99 168],[ 62.63157895 107.36842105] ; [ 98.36842105 168.63157895],0
p1,1,0.959452,0.002585,[ 17 153] ; [ 27 239],[ 17.1559633 152.8440367] ; [ 26.8440367 239.1559633],0
s6,1,0.968461,0.001563,[119  47] ; [189  74],[119.17948718  46.82051282] ; [188.82051282  74.17948718],0
