Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,31.183296,[66 28] ; [230  17],[81.59530792 12.40469208] ; [214.40469208  32.59530792],1
r4,1,0.0,27.1838,[54 42] ; [207  42],[72.62608696 23.37391304] ; [188.37391304  60.62608696],1
p11,1,0.0,25.898085,[45 51] ; [188  61],[64.83478261 31.16521739] ; [168.16521739  80.83478261],1
p10,1,1e-06,24.212438,[39 54] ; [173  71],[58.50445104 34.49554896] ; [153.49554896  90.50445104],1
r3,1,1e-06,23.246434,[69 26] ; [228  19],[82.5 12.5] ; [214.5  32.5],1
p2,1,7e-06,20.314577,[50 45] ; [192  56],[67.02623907 27.97376093] ; [174.97376093  73.02623907],1
p9,1,6.3e-05,16.015769,[49 44] ; [180  59],[64.14759036 28.85240964] ; [164.85240964  74.14759036],1
r2,1,0.000586,11.81927,[75 20] ; [225  19],[84.07079646 10.92920354] ; [215.92920354  28.07079646],1
n4,1,0.000733,11.404839,[47 49] ; [170  78],[60.55813953 35.44186047] ; [156.44186047  91.55813953],1
n5,1,0.000796,11.250931,[47 48] ; [171  77],[60.37900875 34.62099125] ; [157.62099125  90.37900875],1
a1,1,0.001885,9.658534,[ 9 87] ; [  5 244],[ 3.89565217 92.10434783] ; [ 10.10434783 238.89565217],0
s5,1,0.002223,9.35528,[ 7 86] ; [ 53 190],[16.60714286 76.39285714] ; [ 43.39285714 199.60714286],0
s6,1,0.003432,8.562029,[30 66] ; [118 124],[42.03550296 53.96449704] ; [105.96449704 136.03550296],0
d1,1,0.005509,7.704262,[33 63] ; [127 122],[44.52173913 51.47826087] ; [115.47826087 133.52173913],0
p8,1,0.012164,6.286879,[20 72] ; [ 88 156],[29.57142857 62.42857143] ; [ 78.42857143 165.57142857],0
b1,1,0.018825,5.517687,[43 53] ; [ 78 171],[33.66956522 62.33043478] ; [ 87.33043478 161.66956522],0
d4,1,0.019562,5.450549,[62 32] ; [194  54],[70.3625731 23.6374269] ; [185.6374269  62.3625731],0
a5,1,0.022417,5.21313,[48 48] ; [158  91],[57.32173913 38.67826087] ; [148.67826087 100.32173913],0
v2,1,0.056768,3.629372,[31 57] ; [111 125],[38.56790123 49.43209877] ; [103.43209877 132.56790123],0
p7,1,0.059134,3.561502,[30 61] ; [107 134],[37.55120482 53.44879518] ; [ 99.44879518 141.55120482],0
d5,1,0.07482,3.173976,[60 35] ; [181  67],[66.74927114 28.25072886] ; [174.25072886  73.74927114],0
v1,1,0.077101,3.124975,[28 66] ; [ 98 146],[35.04142012 58.95857988] ; [ 90.95857988 153.04142012],0
p6,1,0.082388,3.017151,[10 82] ; [ 46 199],[15.28783383 76.71216617] ; [ 40.71216617 204.28783383],0
d3,1,0.08789,2.912594,[52 42] ; [162  86],[58.81871345 35.18128655] ; [155.18128655  92.81871345],0
s4,1,0.136038,2.222213,[ 9 87] ; [ 38 206],[13.27058824 82.72941176] ; [ 33.72941176 210.27058824],0
u2,1,0.144738,2.126849,[22 17] ; [40 54],[18.18045113 20.81954887] ; [43.81954887 50.18045113],0
s1,1,0.144876,2.125385,[ 7 87] ; [  9 235],[ 4.44970414 89.55029586] ; [ 11.55029586 232.44970414],0
n2,1,0.186047,1.748649,[26 17] ; [57 22],[29.25409836 13.74590164] ; [53.74590164 25.25409836],0
a7,1,0.193455,1.691108,[59 37] ; [170  77],[64.09329446 31.90670554] ; [164.90670554  82.09329446],0
d2,1,0.21081,1.565854,[32 63] ; [101 145],[37.05278592 57.94721408] ; [ 95.94721408 150.05278592],0
v3,1,0.218301,1.515507,[19 72] ; [ 66 174],[23.36858006 67.63141994] ; [ 61.63141994 178.36858006],0
s2,1,0.263148,1.25212,[25 71] ; [ 79 166],[29.27859238 66.72140762] ; [ 74.72140762 170.27859238],0
u1,1,0.269938,1.217064,[ 6 90] ; [ 25 224],[ 8.62608696 87.37391304] ; [ 22.37391304 226.62608696],0
r1,1,0.30092,1.070111,[61 35] ; [172  76],[65.02325581 30.97674419] ; [167.97674419  80.02325581],0
p5,1,0.319053,0.992823,[ 2 92] ; [ 11 237],[ 3.57309942 90.42690058] ; [  9.42690058 238.57309942],0
b5,1,0.324537,0.970575,[55 41] ; [157  92],[58.99130435 37.00869565] ; [153.00869565  95.99130435],0
s3,1,0.341947,0.90312,[40 55] ; [ 88 153],[36.19047619 58.80952381] ; [ 91.80952381 149.19047619],0
p12,1,0.389666,0.739984,[ 2 92] ; [ 10 237],[ 3.30791789 90.69208211] ; [  8.69208211 238.30791789],0
s7,1,0.404772,0.694104,[14 75] ; [ 48 195],[16.62048193 72.37951807] ; [ 45.37951807 197.62048193],0
p4,1,0.47886,0.501458,[25 70] ; [ 74 171],[27.66176471 67.33823529] ; [ 71.33823529 173.66176471],0
n3,1,0.491235,0.473819,[26 15] ; [55 24],[27.675 13.325] ; [53.325 25.675],0
b2,1,0.501367,0.452042,[14 35] ; [44 86],[15.87709497 33.12290503] ; [42.12290503 87.87709497],0
b3,1,0.501367,0.452042,[14 35] ; [44 86],[15.87709497 33.12290503] ; [42.12290503 87.87709497],0
a6,1,0.534131,0.386527,[58 37] ; [161  88],[60.47965116 34.52034884] ; [158.52034884  90.47965116],0
a2,1,0.606125,0.265857,[14 82] ; [ 42 207],[15.5826087 80.4173913] ; [ 40.4173913 208.5826087],0
n1,1,0.668168,0.183752,[16 27] ; [26 52],[14.92561983 28.07438017] ; [27.07438017 50.92561983],0
b4,1,0.716609,0.131765,[55 41] ; [148 101],[56.48695652 39.51304348] ; [146.51304348 102.48695652],0
a3,1,0.740907,0.109331,[57 38] ; [153  94],[58.33333333 36.66666667] ; [151.66666667  95.33333333],0
a8,1,0.774325,0.08221,[ 9 83] ; [ 25 205],[ 9.71428571 82.28571429] ; [ 24.28571429 205.71428571],0
a4,1,0.839906,0.040809,[34 62] ; [ 90 156],[34.80701754 61.19298246] ; [ 89.19298246 156.80701754],0
u4,1,0.89905,0.016094,[ 1 95] ; [  3 246],[ 1.11304348 94.88695652] ; [  2.88695652 246.11304348],0
u3,1,0.955985,0.003046,[17 21] ; [42 53],[16.85714286 21.14285714] ; [42.14285714 52.85714286],0
p1,1,1.0,0.0,[ 5 90] ; [ 13 234],[ 5. 90.] ; [ 13. 234.],0
