Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.041038,4.174444,[9 1] ; [1 2],[7.69230769 2.30769231] ; [2.30769231 0.69230769],0
s2,1,0.041038,4.174444,[9 1] ; [1 2],[7.69230769 2.30769231] ; [2.30769231 0.69230769],0
a7,1,0.124541,2.359259,[8 2] ; [1 2],[6.92307692 3.07692308] ; [2.07692308 0.92307692],0
s7,1,0.124541,2.359259,[8 2] ; [1 2],[6.92307692 3.07692308] ; [2.07692308 0.92307692],0
p1,1,0.124541,2.359259,[2 8] ; [2 1],[3.07692308 6.92307692] ; [0.92307692 2.07692308],0
p12,1,0.252244,1.310833,[3 7] ; [2 1],[3.84615385 6.15384615] ; [1.15384615 1.84615385],0
a3,1,0.325892,0.965152,[9 1] ; [2 1],[8.46153846 1.53846154] ; [2.53846154 0.46153846],0
d2,1,0.325892,0.965152,[9 1] ; [2 1],[8.46153846 1.53846154] ; [2.53846154 0.46153846],0
s1,1,0.325892,0.965152,[1 9] ; [1 2],[1.53846154 8.46153846] ; [0.46153846 2.53846154],0
v2,1,0.416448,0.660317,[6 4] ; [1 2],[5.38461538 4.61538462] ; [1.61538462 1.38461538],0
b4,1,0.611541,0.257937,[5 5] ; [2 1],[5.38461538 4.61538462] ; [1.61538462 1.38461538],0
v3,1,0.611541,0.257937,[5 5] ; [1 2],[4.61538462 5.38461538] ; [1.38461538 1.61538462],0
s3,1,0.630701,0.231111,[8 2] ; [2 1],[7.69230769 2.30769231] ; [2.30769231 0.69230769],0
a5,1,0.912637,0.012037,[7 3] ; [2 1],[6.92307692 3.07692308] ; [2.07692308 0.92307692],0
b2,1,1.0,0.0,[2 4] ; [1 2],[2. 4.] ; [1. 2.],0
b3,1,1.0,0.0,[2 4] ; [1 2],[2. 4.] ; [1. 2.],0
