Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,88.800842,[33 54] ; [280  44],[66.25547445 20.74452555] ; [246.74452555  77.25547445],1
n6,1,1.7e-05,18.506994,[62 24] ; [290  32],[74.19607843 11.80392157] ; [277.80392157  44.19607843],1
d5,1,3e-05,17.444716,[60 28] ; [282  42],[73.04854369 14.95145631] ; [268.95145631  55.04854369],1
d1,1,0.000392,12.571667,[41 47] ; [219 107],[55.26570048 32.73429952] ; [204.73429952 121.26570048],1
r2,1,0.001182,10.517606,[78  9] ; [312   8],[83.36609337  3.63390663] ; [306.63390663  13.36609337],0
r4,1,0.002148,9.418516,[75 13] ; [309  17],[81.62318841  6.37681159] ; [302.37681159  23.62318841],0
v1,1,0.002695,9.003367,[36 49] ; [193 126],[48.18069307 36.81930693] ; [180.81930693 138.18069307],0
a2,1,0.00418,8.203874,[16 72] ; [111 215],[26.99516908 61.00483092] ; [100.00483092 225.99516908],0
a8,1,0.005166,7.820525,[ 6 75] ; [ 60 227],[14.52717391 66.47282609] ; [ 51.47282609 235.52717391],0
s4,1,0.006939,7.288635,[22 66] ; [ 42 277],[13.83783784 74.16216216] ; [ 50.16216216 268.83783784],0
a6,1,0.009024,6.818075,[60 28] ; [262  61],[68.94403893 19.05596107] ; [253.05596107  69.94403893],0
p6,1,0.009697,6.689721,[31 56] ; [166 158],[41.70072993 45.29927007] ; [155.29927007 168.70072993],0
a5,1,0.017445,5.651035,[59 29] ; [258  68],[67.38164251 20.61835749] ; [249.61835749  76.38164251],0
p3,1,0.027995,4.828398,[45 43] ; [208 117],[53.90799031 34.09200969] ; [199.09200969 125.90799031],0
a4,1,0.028831,4.777702,[31 57] ; [157 168],[40.05811138 47.94188862] ; [147.94188862 177.05811138],0
a3,1,0.031189,4.642524,[58 30] ; [250  74],[65.78640777 22.21359223] ; [242.21359223  81.78640777],0
d2,1,0.032876,4.552199,[33 55] ; [163 161],[41.86407767 46.13592233] ; [154.13592233 169.86407767],0
p11,1,0.03383,4.503269,[66 22] ; [276  50],[72.69565217 15.30434783] ; [269.30434783  56.69565217],0
n2,1,0.035308,4.430222,[15  9] ; [43  8],[18.56  5.44] ; [39.44 11.56],0
u1,1,0.039876,4.223137,[13 75] ; [ 82 244],[20.19323671 67.80676329] ; [ 74.80676329 251.19323671],0
p4,1,0.049204,3.868378,[55 33] ; [238  87],[62.43099274 25.56900726] ; [230.56900726  94.43099274],0
n1,1,0.06343,3.445342,[ 4 20] ; [19 31],[ 7.45945946 16.54054054] ; [15.54054054 34.45945946],0
r1,1,0.067663,3.338834,[69 19] ; [278  44],[74.47804878 13.52195122] ; [272.52195122  49.47804878],0
p5,1,0.068558,3.317223,[ 7 80] ; [ 51 274],[12.24757282 74.75242718] ; [ 45.75242718 279.24757282],0
p10,1,0.075269,3.164217,[71 17] ; [286  39],[76.06779661 11.93220339] ; [280.93220339  44.06779661],0
p9,1,0.077028,3.12651,[73 15] ; [290  33],[77.72262774 10.27737226] ; [285.27737226  37.72262774],0
s7,1,0.079728,3.07043,[36 47] ; [168 142],[43.08396947 39.91603053] ; [160.91603053 149.08396947],0
r3,1,0.083608,2.993324,[83  5] ; [315   7],[85.42439024  2.57560976] ; [312.57560976   9.42439024],0
v3,1,0.08453,2.97557,[27 56] ; [135 179],[33.86901763 49.13098237] ; [128.13098237 185.86901763],0
p1,1,0.085149,2.963771,[ 4 82] ; [ 35 290],[ 8.16058394 77.83941606] ; [ 30.83941606 294.16058394],0
d4,1,0.108087,2.581976,[69 19] ; [277  47],[73.90291262 14.09708738] ; [272.09708738  51.90291262],0
a1,1,0.151774,2.054333,[ 2 86] ; [ 20 306],[ 4.6763285 83.3236715] ; [ 17.3236715 308.6763285],0
s5,1,0.188111,1.73235,[25 61] ; [116 200],[30.1641791 55.8358209] ; [110.8358209 205.1641791],0
s8,1,0.196418,1.668813,[35 53] ; [153 169],[40.35121951 47.64878049] ; [147.64878049 174.35121951],0
p2,1,0.250538,1.3203,[76 11] ; [298  28],[78.78450363  8.21549637] ; [295.21549637  30.78450363],0
s2,1,0.25609,1.28977,[41 47] ; [172 150],[45.71707317 42.28292683] ; [167.28292683 154.71707317],0
d3,1,0.277087,1.181323,[64 23] ; [256  68],[67.73722628 19.26277372] ; [252.26277372  71.73722628],0
v4,1,0.300035,1.074038,[83  4] ; [314   8],[84.44743276  2.55256724] ; [312.55256724   9.44743276],0
s3,1,0.334968,0.929594,[45 41] ; [186 134],[48.93103448 37.06896552] ; [182.06896552 137.93103448],0
v2,1,0.386724,0.749219,[47 35] ; [197 118],[50.39798489 31.60201511] ; [193.60201511 121.39798489],0
p12,1,0.387425,0.747008,[ 6 82] ; [ 32 294],[ 8.07729469 79.92270531] ; [ 29.92270531 296.07729469],0
p8,1,0.459276,0.547657,[57 30] ; [225  98],[59.83902439 27.16097561] ; [222.16097561 100.83902439],0
s6,1,0.490734,0.474918,[59 28] ; [227  90],[61.58910891 25.41089109] ; [224.41089109  92.58910891],0
b2,1,0.502031,0.450641,[13 28] ; [ 80 135],[14.89453125 26.10546875] ; [ 78.10546875 136.89453125],0
b3,1,0.502031,0.450641,[13 28] ; [ 80 135],[14.89453125 26.10546875] ; [ 78.10546875 136.89453125],0
u3,1,0.605638,0.266576,[15 13] ; [45 31],[16.15384615 11.84615385] ; [43.84615385 32.15384615],0
n3,1,0.760412,0.092988,[20  4] ; [41 10],[19.52  4.48] ; [41.48  9.52],0
u4,1,0.779745,0.078205,[ 1 87] ; [  5 320],[ 1.27845036 86.72154964] ; [  4.72154964 320.27845036],0
b1,1,0.876434,0.024178,[34 54] ; [123 203],[33.37198068 54.62801932] ; [123.62801932 202.37198068],0
b4,1,0.87972,0.022899,[51 37] ; [186 140],[50.37681159 37.62318841] ; [186.62318841 139.37681159],0
s1,1,0.885503,0.020735,[ 3 85] ; [ 10 312],[ 2.7902439 85.2097561] ; [ 10.2097561 311.7902439],0
b5,1,0.950683,0.003825,[57 31] ; [210 116],[56.75362319 31.24637681] ; [210.24637681 115.75362319],0
u2,1,0.962159,0.002251,[17 12] ; [43 31],[16.89320388 12.10679612] ; [43.10679612 30.89320388],0
