Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.008083,7.015062,[18  3] ; [5 7],[14.63636364  6.36363636] ; [8.36363636 3.63636364],0
u3,1,0.044045,4.054847,[1 6] ; [3 1],[2.54545455 4.45454545] ; [1.45454545 2.54545455],0
s2,1,0.0505,3.824774,[ 7 15] ; [8 4],[ 9.70588235 12.29411765] ; [5.29411765 6.70588235],0
p8,1,0.051672,3.786364,[ 4 18] ; [6 6],[ 6.47058824 15.52941176] ; [3.52941176 8.47058824],0
r4,1,0.076656,3.134411,[14  8] ; [11  1],[16.17647059  5.82352941] ; [8.82352941 3.17647059],0
s3,1,0.097298,2.749282,[10 12] ; [9 3],[12.29411765  9.70588235] ; [6.70588235 5.29411765],0
p4,1,0.11415,2.495798,[ 8 13] ; [8 4],[10.18181818 10.81818182] ; [5.81818182 6.18181818],0
n5,1,0.133288,2.253788,[15  7] ; [5 7],[12.94117647  9.05882353] ; [7.05882353 4.94117647],0
s7,1,0.138011,2.2,[ 8 14] ; [7 4],[10. 12.] ; [5. 6.],0
s6,1,0.148748,2.08504,[13  9] ; [10  2],[14.88235294  7.11764706] ; [8.11764706 3.88235294],0
b1,1,0.156929,2.003571,[11 11] ; [9 3],[12.94117647  9.05882353] ; [7.05882353 4.94117647],0
s4,1,0.197905,1.657771,[ 3 18] ; [4 8],[ 4.45454545 16.54545455] ; [2.54545455 9.45454545],0
r1,1,0.319577,0.990676,[18  4] ; [8 4],[16.82352941  5.17647059] ; [9.17647059 2.82352941],0
v2,1,0.324534,0.970588,[12 10] ; [4 7],[10.66666667 11.33333333] ; [5.33333333 5.66666667],0
d1,1,0.33068,0.946233,[13  9] ; [5 7],[11.64705882 10.35294118] ; [6.35294118 5.64705882],0
p11,1,0.349615,0.874854,[11 11] ; [8 4],[12.29411765  9.70588235] ; [6.70588235 5.29411765],0
s8,1,0.391249,0.735058,[ 6 16] ; [5 7],[ 7.11764706 14.88235294] ; [3.88235294 8.11764706],0
v1,1,0.440068,0.596104,[ 8 14] ; [6 6],[ 9.05882353 12.94117647] ; [4.94117647 7.05882353],0
p2,1,0.440068,0.596104,[14  8] ; [6 6],[12.94117647  9.05882353] ; [7.05882353 4.94117647],0
p7,1,0.458318,0.55,[ 9 13] ; [6 5],[10. 12.] ; [5. 6.],0
a4,1,0.472917,0.515152,[10 12] ; [7 5],[11. 11.] ; [6. 6.],0
n3,1,0.480478,0.497778,[7 3] ; [2 2],[6.42857143 3.57142857] ; [2.57142857 1.42857143],0
a6,1,0.492529,0.470996,[12 10] ; [8 4],[12.94117647  9.05882353] ; [7.05882353 4.94117647],0
b4,1,0.498495,0.458139,[14  8] ; [9 3],[14.88235294  7.11764706] ; [8.11764706 3.88235294],0
p5,1,0.512336,0.429293,[ 2 20] ; [ 2 10],[ 2.58823529 19.41176471] ; [ 1.41176471 10.58823529],0
p6,1,0.547045,0.362637,[ 4 18] ; [3 8],[ 4.66666667 17.33333333] ; [2.33333333 8.66666667],0
a7,1,0.553564,0.350972,[11 10] ; [5 7],[10.18181818 10.81818182] ; [5.81818182 6.18181818],0
n4,1,0.565792,0.329775,[15  7] ; [7 5],[14.23529412  7.76470588] ; [7.76470588 4.23529412],0
v3,1,0.565792,0.329775,[ 7 15] ; [5 7],[ 7.76470588 14.23529412] ; [4.23529412 7.76470588],0
n1,1,0.568618,0.325,[6 3] ; [2 2],[5.53846154 3.46153846] ; [2.46153846 1.53846154],0
b2,1,0.618757,0.247619,[ 3 15] ; [2 6],[ 3.46153846 14.53846154] ; [1.53846154 6.46153846],0
b3,1,0.618757,0.247619,[ 3 15] ; [2 6],[ 3.46153846 14.53846154] ; [1.53846154 6.46153846],0
d4,1,0.629217,0.233124,[16  5] ; [10  2],[16.54545455  4.45454545] ; [9.45454545 2.54545455],0
u1,1,0.638447,0.220779,[ 4 18] ; [3 9],[ 4.52941176 17.47058824] ; [2.47058824 9.52941176],0
a2,1,0.638447,0.220779,[ 4 18] ; [3 9],[ 4.52941176 17.47058824] ; [2.47058824 9.52941176],0
a1,1,0.653729,0.201231,[ 1 21] ; [ 1 11],[ 1.29411765 20.70588235] ; [ 0.70588235 11.29411765],0
a5,1,0.664001,0.1887,[13  9] ; [8 4],[13.58823529  8.41176471] ; [7.41176471 4.58823529],0
d5,1,0.676193,0.174443,[17  5] ; [10  2],[17.47058824  4.52941176] ; [9.52941176 2.47058824],0
p10,1,0.78443,0.07483,[ 8 13] ; [4 8],[ 7.63636364 13.36363636] ; [4.36363636 7.63636364],0
n6,1,0.885857,0.020606,[16  6] ; [9 3],[16.17647059  5.82352941] ; [8.82352941 3.17647059],0
a3,1,0.92809,0.008145,[15  7] ; [8 4],[14.88235294  7.11764706] ; [8.11764706 3.88235294],0
r2,1,0.940671,0.005539,[20  2] ; [11  1],[20.05882353  1.94117647] ; [10.94117647  1.05882353],0
d3,1,0.965787,0.00184,[13  9] ; [7 5],[12.94117647  9.05882353] ; [7.05882353 4.94117647],0
b5,1,1.0,0.0,[11 11] ; [6 6],[11. 11.] ; [6. 6.],0
u2,1,1.0,0.0,[3 3] ; [2 2],[3. 3.] ; [2. 2.],0
