Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,29.778754,[76 10] ; [10 17],[65.45132743 20.54867257] ; [20.54867257  6.45132743],1
r2,1,0.000716,11.447829,[81  5] ; [19  8],[76.10619469  9.89380531] ; [23.89380531  3.10619469],1
r3,1,0.014395,5.988983,[79  7] ; [20  7],[75.34513274 10.65486726] ; [23.65486726  3.34513274],0
s1,1,0.0281,4.821944,[ 3 83] ; [ 4 22],[ 5.375 80.625] ; [ 1.625 24.375],0
v4,1,0.044401,4.041229,[77  9] ; [20  7],[73.82300885 12.17699115] ; [23.17699115  3.82300885],0
n4,1,0.050556,3.822932,[62 24] ; [14 13],[57.84070796 28.15929204] ; [18.15929204  8.84070796],0
s3,1,0.052569,3.757574,[40 45] ; [ 7 20],[35.66964286 49.33035714] ; [11.33035714 15.66964286],0
b4,1,0.05378,3.719522,[59 27] ; [13 14],[54.79646018 31.20353982] ; [17.20353982  9.79646018],0
u3,1,0.074574,3.179348,[20 10] ; [3 6],[17.69230769 12.30769231] ; [5.30769231 3.69230769],0
s6,1,0.075681,3.155285,[45 40] ; [ 9 18],[40.98214286 44.01785714] ; [13.01785714 13.98214286],0
a5,1,0.090493,2.865589,[57 29] ; [13 14],[53.27433628 32.72566372] ; [16.72566372 10.27433628],0
s2,1,0.116531,2.463335,[29 55] ; [ 5 22],[25.72972973 58.27027027] ; [ 8.27027027 18.72972973],0
u1,1,0.1341,2.244391,[17 69] ; [ 2 25],[14.46017699 71.53982301] ; [ 4.53982301 22.46017699],0
p6,1,0.157127,2.001664,[15 69] ; [ 8 18],[17.56363636 66.43636364] ; [ 5.43636364 20.56363636],0
a2,1,0.204759,1.608102,[23 63] ; [ 4 23],[20.54867257 65.45132743] ; [ 6.45132743 20.54867257],0
p2,1,0.215552,1.533738,[56 30] ; [14 13],[53.27433628 32.72566372] ; [16.72566372 10.27433628],0
a8,1,0.236609,1.400682,[ 9 67] ; [ 1 25],[ 7.45098039 68.54901961] ; [ 2.54901961 23.45098039],0
n5,1,0.258675,1.275833,[52 34] ; [13 14],[49.46902655 36.53097345] ; [15.53097345 11.46902655],0
d4,1,0.260918,1.263878,[72 14] ; [20  7],[70.01769912 15.98230088] ; [21.98230088  5.01769912],0
n1,1,0.264069,1.247296,[14 16] ; [3 8],[12.43902439 17.56097561] ; [4.56097561 6.43902439],0
s5,1,0.290966,1.115144,[14 71] ; [ 2 23],[12.36363636 72.63636364] ; [ 3.63636364 21.36363636],0
a6,1,0.304828,1.052951,[63 23] ; [17 10],[60.88495575 25.11504425] ; [19.11504425  7.88495575],0
n2,1,0.314995,1.009615,[20 10] ; [6 6],[18.57142857 11.42857143] ; [7.42857143 4.57142857],0
p8,1,0.334678,0.93071,[32 54] ; [ 7 19],[29.94642857 56.05357143] ; [ 9.05357143 16.94642857],0
s7,1,0.363215,0.826748,[26 54] ; [ 6 20],[24.1509434 55.8490566] ; [ 7.8490566 18.1509434],0
s4,1,0.381857,0.764716,[10 74] ; [ 5 22],[11.35135135 72.64864865] ; [ 3.64864865 23.35135135],0
p10,1,0.466976,0.529123,[25 60] ; [ 6 21],[23.52678571 61.47321429] ; [ 7.47321429 19.52678571],0
v1,1,0.472446,0.516248,[32 54] ; [ 8 19],[30.44247788 55.55752212] ; [ 9.55752212 17.44247788],0
b5,1,0.505774,0.442801,[57 29] ; [16 11],[55.55752212 30.44247788] ; [17.44247788  9.55752212],0
u2,1,0.529249,0.395833,[15 15] ; [3 5],[14.21052632 15.78947368] ; [3.78947368 4.21052632],0
p11,1,0.542446,0.371024,[44 42] ; [12 15],[42.61946903 43.38053097] ; [13.38053097 13.61946903],0
p7,1,0.554266,0.34973,[35 49] ; [13 14],[36.32432432 47.67567568] ; [11.67567568 15.32432432],0
d1,1,0.554717,0.348934,[47 39] ; [13 14],[45.66371681 40.33628319] ; [14.33628319 12.66371681],0
p3,1,0.563311,0.334005,[28 57] ; [ 7 19],[26.8018018 58.1981982] ; [ 8.1981982 17.8018018],0
b2,1,0.582323,0.302494,[16 37] ; [ 6 10],[16.89855072 36.10144928] ; [ 5.10144928 10.89855072],0
b3,1,0.582323,0.302494,[16 37] ; [ 6 10],[16.89855072 36.10144928] ; [ 5.10144928 10.89855072],0
d5,1,0.585358,0.297652,[68 18] ; [20  7],[66.97345133 19.02654867] ; [21.02654867  5.97345133],0
n3,1,0.61063,0.259259,[20 10] ; [7 5],[19.28571429 10.71428571] ; [7.71428571 4.28571429],0
a4,1,0.659696,0.193893,[31 55] ; [11 16],[31.96460177 54.03539823] ; [10.03539823 16.96460177],0
s8,1,0.672286,0.17894,[19 66] ; [ 5 22],[18.21428571 66.78571429] ; [ 5.78571429 21.21428571],0
p4,1,0.754363,0.097902,[38 47] ; [13 14],[38.70535714 46.29464286] ; [12.29464286 14.70535714],0
n6,1,0.75803,0.094906,[59 27] ; [17  9],[58.35714286 27.64285714] ; [17.64285714  8.35714286],0
v3,1,0.788631,0.071872,[26 59] ; [ 9 18],[26.5625 58.4375] ; [ 8.4375 18.5625],0
d2,1,0.866664,0.02819,[43 43] ; [14 13],[43.38053097 42.61946903] ; [13.61946903 13.38053097],0
p1,1,0.890353,0.019005,[ 7 78] ; [ 2 25],[ 6.83035714 78.16964286] ; [ 2.16964286 24.83035714],0
b1,1,0.896569,0.016899,[49 37] ; [15 12],[48.7079646 37.2920354] ; [15.2920354 11.7079646],0
p5,1,0.931353,0.007421,[ 3 83] ; [ 1 25],[ 3.07142857 82.92857143] ; [ 0.92857143 25.07142857],0
a1,1,0.939328,0.005793,[ 6 80] ; [ 2 25],[ 6.08849558 79.91150442] ; [ 1.91150442 25.08849558],0
a3,1,0.940226,0.005623,[56 29] ; [18  9],[56.16071429 28.83928571] ; [17.83928571  9.16071429],0
v2,1,0.942519,0.005199,[38 46] ; [12 15],[37.83783784 46.16216216] ; [12.16216216 14.83783784],0
d3,1,0.952481,0.003551,[60 26] ; [19  8],[60.12389381 25.87610619] ; [18.87610619  8.12389381],0
