Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.012791,6.197846,[5 1] ; [1 6],[2.76923077 3.23076923] ; [3.23076923 3.76923077],0
s8,1,0.012791,6.197846,[5 1] ; [1 6],[2.76923077 3.23076923] ; [3.23076923 3.76923077],0
p10,1,0.048328,3.898526,[5 1] ; [2 5],[3.23076923 2.76923077] ; [3.76923077 3.23076923],0
p7,1,0.052958,3.745238,[4 2] ; [1 6],[2.30769231 3.69230769] ; [2.69230769 4.30769231],0
r3,1,0.134802,2.23631,[5 1] ; [3 4],[3.69230769 2.30769231] ; [4.30769231 2.69230769],0
n6,1,0.134802,2.23631,[5 1] ; [3 4],[3.69230769 2.30769231] ; [4.30769231 2.69230769],0
v2,1,0.134802,2.23631,[5 1] ; [3 4],[3.69230769 2.30769231] ; [4.30769231 2.69230769],0
d5,1,0.134802,2.23631,[5 1] ; [3 4],[3.69230769 2.30769231] ; [4.30769231 2.69230769],0
a5,1,0.134802,2.23631,[5 1] ; [3 4],[3.69230769 2.30769231] ; [4.30769231 2.69230769],0
p8,1,0.134802,2.23631,[1 5] ; [4 3],[2.30769231 3.69230769] ; [2.69230769 4.30769231],0
d1,1,0.164264,1.934524,[3 3] ; [1 6],[1.84615385 4.15384615] ; [2.15384615 4.84615385],0
p6,1,0.164264,1.934524,[3 3] ; [1 6],[1.84615385 4.15384615] ; [2.15384615 4.84615385],0
a4,1,0.164264,1.934524,[3 3] ; [1 6],[1.84615385 4.15384615] ; [2.15384615 4.84615385],0
a2,1,0.164264,1.934524,[3 3] ; [1 6],[1.84615385 4.15384615] ; [2.15384615 4.84615385],0
s3,1,0.169583,1.886621,[4 2] ; [2 5],[2.76923077 3.23076923] ; [3.23076923 3.76923077],0
s6,1,0.198211,1.65551,[4 1] ; [3 4],[2.91666667 2.08333333] ; [4.08333333 2.91666667],0
n4,1,0.307741,1.040344,[5 1] ; [4 3],[4.15384615 1.84615385] ; [4.84615385 2.15384615],0
d4,1,0.307741,1.040344,[5 1] ; [4 3],[4.15384615 1.84615385] ; [4.84615385 2.15384615],0
b5,1,0.307741,1.040344,[5 1] ; [4 3],[4.15384615 1.84615385] ; [4.84615385 2.15384615],0
n5,1,0.307741,1.040344,[5 1] ; [4 3],[4.15384615 1.84615385] ; [4.84615385 2.15384615],0
p4,1,0.390636,0.736961,[2 4] ; [4 3],[2.76923077 3.23076923] ; [3.23076923 3.76923077],0
b1,1,0.390636,0.736961,[4 2] ; [3 4],[3.23076923 2.76923077] ; [3.76923077 3.23076923],0
v1,1,0.390636,0.736961,[4 2] ; [3 4],[3.23076923 2.76923077] ; [3.76923077 3.23076923],0
r1,1,0.416448,0.660317,[2 4] ; [1 6],[1.38461538 4.61538462] ; [1.61538462 5.38461538],0
a8,1,0.416448,0.660317,[2 4] ; [1 6],[1.38461538 4.61538462] ; [1.61538462 5.38461538],0
p3,1,0.428537,0.626786,[3 3] ; [2 5],[2.30769231 3.69230769] ; [2.69230769 4.30769231],0
r2,1,0.428537,0.626786,[3 3] ; [5 2],[3.69230769 2.30769231] ; [4.30769231 2.69230769],0
s2,1,0.428537,0.626786,[3 3] ; [2 5],[2.30769231 3.69230769] ; [2.69230769 4.30769231],0
p2,1,0.428537,0.626786,[3 3] ; [2 5],[2.30769231 3.69230769] ; [2.69230769 4.30769231],0
d2,1,0.428537,0.626786,[3 3] ; [2 5],[2.30769231 3.69230769] ; [2.69230769 4.30769231],0
p1,1,0.611541,0.257937,[1 5] ; [2 5],[1.38461538 4.61538462] ; [1.61538462 5.38461538],0
b4,1,0.611541,0.257937,[5 1] ; [5 2],[4.61538462 1.38461538] ; [5.38461538 1.61538462],0
b3,1,0.67329,0.177778,[2 4] ; [1 1],[2.25 3.75] ; [0.75 1.25],0
b2,1,0.67329,0.177778,[2 4] ; [1 1],[2.25 3.75] ; [0.75 1.25],0
p9,1,0.724939,0.12381,[4 2] ; [4 3],[3.69230769 2.30769231] ; [4.30769231 2.69230769],0
r4,1,0.724939,0.12381,[2 4] ; [3 4],[2.30769231 3.69230769] ; [2.69230769 4.30769231],0
a7,1,0.796762,0.066327,[3 3] ; [4 3],[3.23076923 2.76923077] ; [3.76923077 3.23076923],0
d3,1,0.796762,0.066327,[3 3] ; [4 3],[3.23076923 2.76923077] ; [3.76923077 3.23076923],0
a6,1,0.852876,0.034392,[4 2] ; [5 2],[4.15384615 1.84615385] ; [4.84615385 2.15384615],0
p12,1,0.905581,0.014069,[1 5] ; [1 6],[0.92307692 5.07692308] ; [1.07692308 5.92307692],0
