Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,32.471318,[74 11] ; [12 22],[61.42857143 23.57142857] ; [24.57142857  9.42857143],1
s6,1,8e-06,19.915915,[78  6] ; [20 14],[69.76271186 14.23728814] ; [28.23728814  5.76271186],1
v1,1,0.000819,11.197495,[46 32] ; [ 8 25],[37.94594595 40.05405405] ; [16.05405405 16.94594595],1
b5,1,0.003033,8.787692,[64 21] ; [16 18],[57.14285714 27.85714286] ; [22.85714286 11.14285714],0
s7,1,0.01025,6.590926,[62 16] ; [19 15],[56.41071429 21.58928571] ; [24.58928571  9.41071429],0
r2,1,0.010264,6.588524,[82  2] ; [29  5],[79.01694915  4.98305085] ; [31.98305085  2.01694915],0
s5,1,0.027246,4.875125,[30 47] ; [ 5 25],[25.18691589 51.81308411] ; [ 9.81308411 20.18691589],0
d5,1,0.02893,4.771782,[76  9] ; [25  9],[72.14285714 12.85714286] ; [28.85714286  5.14285714],0
v4,1,0.036535,4.371957,[84  1] ; [31  3],[82.14285714  2.85714286] ; [32.85714286  1.14285714],0
r4,1,0.045319,4.006734,[80  5] ; [28  6],[77.14285714  7.85714286] ; [30.85714286  3.14285714],0
d1,1,0.049562,3.856203,[61 24] ; [18 16],[56.42857143 28.57142857] ; [22.57142857 11.42857143],0
s4,1,0.054663,3.692349,[17 67] ; [ 2 32],[13.52542373 70.47457627] ; [ 5.47457627 28.52542373],0
d2,1,0.089416,2.884848,[59 26] ; [18 16],[55. 30.] ; [22. 12.],0
p2,1,0.09542,2.780481,[61 24] ; [19 15],[57.14285714 27.85714286] ; [22.85714286 11.14285714],0
a1,1,0.111974,2.52614,[ 2 83] ; [ 3 31],[ 3.57142857 81.42857143] ; [ 1.42857143 32.57142857],0
r3,1,0.117045,2.456422,[80  5] ; [29  5],[77.85714286  7.14285714] ; [31.14285714  2.85714286],0
p4,1,0.131366,2.276287,[48 37] ; [14 20],[44.28571429 40.71428571] ; [17.71428571 16.28571429],0
v2,1,0.140642,2.170922,[45 33] ; [14 19],[41.45945946 36.54054054] ; [17.54054054 15.45945946],0
n3,1,0.189446,1.721923,[18  7] ; [6 6],[16.21621622  8.78378378] ; [7.78378378 4.21621622],0
p9,1,0.233982,1.416492,[73 10] ; [27  7],[70.94017094 12.05982906] ; [29.05982906  4.94017094],0
u2,1,0.261901,1.258681,[14  7] ; [7 1],[15.20689655  5.79310345] ; [5.79310345 2.20689655],0
p3,1,0.291699,1.111765,[39 46] ; [12 22],[36.42857143 48.57142857] ; [14.57142857 19.42857143],0
p10,1,0.297919,1.083487,[66 17] ; [24 10],[63.84615385 19.15384615] ; [26.15384615  7.84615385],0
d3,1,0.437081,0.603934,[51 34] ; [23 11],[52.85714286 32.14285714] ; [21.14285714 12.85714286],0
u3,1,0.460181,0.545455,[19  3] ; [6 2],[18.33333333  3.66666667] ; [6.66666667 1.33333333],0
a7,1,0.490884,0.474588,[57 28] ; [25  9],[58.57142857 26.42857143] ; [23.42857143 10.57142857],0
r1,1,0.501535,0.451687,[68 17] ; [29  5],[69.28571429 15.71428571] ; [27.71428571  6.28571429],0
b3,1,0.532738,0.389166,[22 39] ; [10 13],[23.23809524 37.76190476] ; [ 8.76190476 14.23809524],0
b2,1,0.532738,0.389166,[22 39] ; [10 13],[23.23809524 37.76190476] ; [ 8.76190476 14.23809524],0
p11,1,0.539438,0.376582,[55 30] ; [24 10],[56.42857143 28.57142857] ; [22.57142857 11.42857143],0
u1,1,0.54338,0.36931,[22 63] ; [ 7 27],[20.71428571 64.28571429] ; [ 8.28571429 25.71428571],0
a6,1,0.587065,0.294951,[53 32] ; [23 11],[54.28571429 30.71428571] ; [21.71428571 12.28571429],0
p8,1,0.59724,0.279179,[21 64] ; [10 24],[22.14285714 62.85714286] ; [ 8.85714286 25.14285714],0
d4,1,0.62737,0.235644,[73 12] ; [28  6],[72.14285714 12.85714286] ; [28.85714286  5.14285714],0
p1,1,0.642188,0.215893,[10 75] ; [ 3 31],[ 9.28571429 75.71428571] ; [ 3.71428571 30.28571429],0
s1,1,0.685071,0.164474,[ 4 81] ; [ 1 32],[ 3.60169492 81.39830508] ; [ 1.39830508 31.60169492],0
v3,1,0.689909,0.159184,[31 44] ; [15 18],[31.94444444 43.05555556] ; [14.05555556 18.94444444],0
n2,1,0.690397,0.158656,[17  8] ; [8 5],[16.44736842  8.55263158] ; [8.55263158 4.44736842],0
n1,1,0.73173,0.117529,[14 11] ; [6 6],[13.51351351 11.48648649] ; [6.48648649 5.51351351],0
b1,1,0.767645,0.087295,[35 50] ; [13 21],[34.28571429 50.71428571] ; [13.71428571 20.28571429],0
b4,1,0.767645,0.087295,[50 35] ; [21 13],[50.71428571 34.28571429] ; [20.28571429 13.71428571],0
p5,1,0.782495,0.076214,[ 6 76] ; [ 3 31],[ 6.36206897 75.63793103] ; [ 2.63793103 31.36206897],0
p6,1,0.789438,0.071311,[22 63] ; [ 8 26],[21.42857143 63.57142857] ; [ 8.57142857 25.42857143],0
a3,1,0.789438,0.071311,[63 22] ; [26  8],[63.57142857 21.42857143] ; [25.42857143  8.57142857],0
a4,1,0.816552,0.053816,[42 43] ; [16 18],[41.42857143 43.57142857] ; [16.57142857 17.42857143],0
n4,1,0.83331,0.044293,[66 19] ; [27  7],[66.42857143 18.57142857] ; [26.57142857  7.42857143],0
p12,1,0.844212,0.038616,[11 73] ; [ 4 30],[10.6779661 73.3220339] ; [ 4.3220339 29.6779661],0
a5,1,0.84597,0.037738,[61 24] ; [25  9],[61.42857143 23.57142857] ; [24.57142857  9.42857143],0
a8,1,0.862662,0.029924,[ 8 66] ; [ 3 28],[ 7.75238095 66.24761905] ; [ 3.24761905 27.75238095],0
n5,1,0.877588,0.023725,[63 22] ; [24  9],[62.66949153 22.33050847] ; [24.33050847  8.66949153],0
n6,1,0.935517,0.006546,[72 13] ; [29  5],[72.14285714 12.85714286] ; [28.85714286  5.14285714],0
a2,1,0.947872,0.004274,[23 62] ; [ 9 25],[22.85714286 62.14285714] ; [ 9.14285714 24.85714286],0
