Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.1e-05,18.134698,[39 15] ; [ 1 12],[32.23880597 21.76119403] ; [7.76119403 5.23880597],1
r2,1,0.002438,9.186376,[46  8] ; [6 7],[41.91044776 12.08955224] ; [10.08955224  2.91044776],0
v4,1,0.014098,6.025886,[45  8] ; [7 6],[41.75757576 11.24242424] ; [10.24242424  2.75757576],0
n5,1,0.055117,3.678544,[11 43] ; [6 7],[13.70149254 40.29850746] ; [3.29850746 9.70149254],0
v2,1,0.055859,3.65625,[23 29] ; [ 2 11],[20. 32.] ; [5. 8.],0
s2,1,0.060844,3.514232,[18 35] ; [ 1 12],[15.25757576 37.74242424] ; [3.74242424 9.25757576],0
s3,1,0.068608,3.316005,[23 31] ; [ 2 11],[20.14925373 33.85074627] ; [4.85074627 8.14925373],0
p3,1,0.096482,2.76276,[16 37] ; [ 1 12],[13.65151515 39.34848485] ; [3.34848485 9.65151515],0
d1,1,0.10144,2.682758,[26 28] ; [ 3 10],[23.37313433 30.62686567] ; [5.62686567 7.37313433],0
p4,1,0.127544,2.32215,[25 29] ; [ 3 10],[22.56716418 31.43283582] ; [5.43283582 7.56716418],0
s6,1,0.144487,2.129508,[24 29] ; [ 3 10],[21.68181818 31.31818182] ; [5.31818182 7.68181818],0
p11,1,0.158512,1.988367,[24 30] ; [ 3 10],[21.76119403 32.23880597] ; [5.23880597 7.76119403],0
p2,1,0.171869,1.866565,[28 26] ; [4 9],[25.79104478 28.20895522] ; [6.20895522 6.79104478],0
p6,1,0.214847,1.538462,[12 40] ; [ 1 12],[10.4 41.6] ; [ 2.6 10.4],0
p10,1,0.248359,1.332512,[ 9 45] ; [4 9],[10.47761194 43.52238806] ; [ 2.52238806 10.47761194],0
s5,1,0.263177,1.251965,[11 41] ; [ 1 12],[ 9.6 42.4] ; [ 2.4 10.6],0
a1,1,0.266605,1.234133,[ 1 53] ; [ 1 12],[ 1.6119403 52.3880597] ; [ 0.3880597 12.6119403],0
r1,1,0.267312,1.23049,[34 20] ; [6 7],[32.23880597 21.76119403] ; [7.76119403 5.23880597],0
d5,1,0.317181,1.000533,[37 17] ; [7 6],[35.46268657 18.53731343] ; [8.53731343 4.46268657],0
d3,1,0.385963,0.751624,[28 26] ; [5 8],[26.59701493 27.40298507] ; [6.40298507 6.59701493],0
p7,1,0.385963,0.751624,[28 26] ; [5 8],[26.59701493 27.40298507] ; [6.40298507 6.59701493],0
b1,1,0.385963,0.751624,[26 28] ; [8 5],[27.40298507 26.59701493] ; [6.59701493 6.40298507],0
p8,1,0.42862,0.626559,[20 34] ; [3 9],[18.81818182 35.18181818] ; [4.18181818 7.81818182],0
a4,1,0.449812,0.571127,[15 39] ; [5 8],[16.11940299 37.88059701] ; [3.88059701 9.11940299],0
d2,1,0.454623,0.5591,[27 27] ; [5 8],[25.79104478 28.20895522] ; [6.20895522 6.79104478],0
n1,1,0.455522,0.556875,[ 6 19] ; [3 5],[ 6.81818182 18.18181818] ; [2.18181818 5.81818182],0
a7,1,0.463836,0.536623,[31 23] ; [6 7],[29.82089552 24.17910448] ; [7.17910448 5.82089552],0
v3,1,0.488896,0.478955,[ 8 45] ; [ 3 10],[ 8.83333333 44.16666667] ; [ 2.16666667 10.83333333],0
a2,1,0.516852,0.42017,[ 5 49] ; [ 2 11],[ 5.64179104 48.35820896] ; [ 1.35820896 11.64179104],0
s1,1,0.516852,0.42017,[ 5 49] ; [ 2 11],[ 5.64179104 48.35820896] ; [ 1.35820896 11.64179104],0
p1,1,0.532447,0.38972,[ 2 52] ; [ 1 12],[ 2.41791045 51.58208955] ; [ 0.58208955 12.41791045],0
b4,1,0.544795,0.366725,[34 20] ; [7 6],[33.04477612 20.95522388] ; [7.95522388 5.04477612],0
a3,1,0.610052,0.2601,[29 25] ; [8 5],[29.82089552 24.17910448] ; [7.17910448 5.82089552],0
n2,1,0.618402,0.24812,[15 10] ; [4 4],[14.39393939 10.60606061] ; [4.60606061 3.39393939],0
s7,1,0.620797,0.244749,[11 40] ; [ 2 11],[10.359375 40.640625] ; [ 2.640625 10.359375],0
u2,1,0.624206,0.24,[13 12] ; [2 3],[12.5 12.5] ; [2.5 2.5],0
a6,1,0.624661,0.239371,[29 25] ; [6 7],[28.20895522 25.79104478] ; [6.79104478 6.20895522],0
n6,1,0.712187,0.136102,[28 26] ; [6 7],[27.40298507 26.59701493] ; [6.59701493 6.40298507],0
d4,1,0.752091,0.099782,[39 14] ; [9 4],[38.54545455 14.45454545] ; [9.45454545 3.54545455],0
s4,1,0.829388,0.046435,[11 43] ; [ 3 10],[11.28358209 42.71641791] ; [ 2.71641791 10.28358209],0
u3,1,0.865455,0.028708,[16  9] ; [3 2],[15.83333333  9.16666667] ; [3.16666667 1.83333333],0
n3,1,0.899765,0.015865,[15 10] ; [5 3],[15.15151515  9.84848485] ; [4.84848485 3.15151515],0
a5,1,0.9114,0.012382,[24 30] ; [6 7],[24.17910448 29.82089552] ; [5.82089552 7.17910448],0
v1,1,0.939654,0.005731,[13 41] ; [ 3 10],[12.89552239 41.10447761] ; [3.10447761 9.89552239],0
b5,1,0.992621,8.6e-05,[29 25] ; [7 6],[29.01492537 24.98507463] ; [6.98507463 6.01492537],0
