Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,0.008041,7.024306,[7 1] ; [1 5],[4.57142857 3.42857143] ; [3.42857143 2.57142857],0
b1,1,0.030754,4.666667,[2 6] ; [5 1],[4. 4.] ; [3. 3.],0
p6,1,0.030754,4.666667,[2 6] ; [5 1],[4. 4.] ; [3. 3.],0
b4,1,0.036331,4.381481,[7 1] ; [2 4],[5.14285714 2.85714286] ; [3.85714286 2.14285714],0
s2,1,0.052958,3.745238,[1 6] ; [4 2],[2.69230769 4.30769231] ; [2.30769231 3.69230769],0
b5,1,0.086359,2.940972,[3 5] ; [5 1],[4.57142857 3.42857143] ; [3.42857143 2.57142857],0
r1,1,0.118991,2.430556,[6 2] ; [2 4],[4.57142857 3.42857143] ; [3.42857143 2.57142857],0
v1,1,0.118991,2.430556,[2 6] ; [4 2],[3.42857143 4.57142857] ; [2.57142857 3.42857143],0
d4,1,0.124283,2.3625,[7 1] ; [3 3],[5.71428571 2.28571429] ; [4.28571429 1.71428571],0
s3,1,0.134802,2.23631,[3 4] ; [5 1],[4.30769231 2.69230769] ; [3.69230769 2.30769231],0
a5,1,0.197703,1.659259,[4 4] ; [5 1],[5.14285714 2.85714286] ; [3.85714286 2.14285714],0
d3,1,0.197703,1.659259,[4 4] ; [1 5],[2.85714286 5.14285714] ; [2.14285714 3.85714286],0
s5,1,0.252244,1.310833,[1 7] ; [2 3],[1.84615385 6.15384615] ; [1.15384615 3.84615385],0
r4,1,0.280087,1.166667,[5 3] ; [2 4],[4. 4.] ; [3. 3.],0
p4,1,0.280087,1.166667,[3 5] ; [4 2],[4. 4.] ; [3. 3.],0
a3,1,0.333998,0.933333,[6 2] ; [3 3],[5.14285714 2.85714286] ; [3.85714286 2.14285714],0
d5,1,0.347153,0.883838,[7 1] ; [4 2],[6.28571429 1.71428571] ; [4.71428571 1.28571429],0
a2,1,0.347153,0.883838,[1 7] ; [2 4],[1.71428571 6.28571429] ; [1.28571429 4.71428571],0
p2,1,0.393153,0.729167,[5 3] ; [5 1],[5.71428571 2.28571429] ; [4.28571429 1.71428571],0
p8,1,0.532884,0.388889,[4 4] ; [4 2],[4.57142857 3.42857143] ; [3.42857143 2.57142857],0
d2,1,0.532884,0.388889,[4 4] ; [4 2],[4.57142857 3.42857143] ; [3.42857143 2.57142857],0
v2,1,0.532884,0.388889,[4 4] ; [4 2],[4.57142857 3.42857143] ; [3.42857143 2.57142857],0
a6,1,0.532884,0.388889,[4 4] ; [4 2],[4.57142857 3.42857143] ; [3.42857143 2.57142857],0
r2,1,0.639994,0.21875,[3 5] ; [3 3],[3.42857143 4.57142857] ; [2.57142857 3.42857143],0
v3,1,0.639994,0.21875,[5 3] ; [3 3],[4.57142857 3.42857143] ; [3.42857143 2.57142857],0
a4,1,0.639994,0.21875,[3 5] ; [3 3],[3.42857143 4.57142857] ; [2.57142857 3.42857143],0
u3,1,0.709388,0.138889,[1 1] ; [2 1],[1.2 0.8] ; [1.8 1.2],0
p12,1,0.715388,0.132955,[1 7] ; [1 4],[1.23076923 6.76923077] ; [0.76923077 4.23076923],0
a8,1,0.724939,0.12381,[3 4] ; [2 4],[2.69230769 4.30769231] ; [2.30769231 3.69230769],0
b2,1,0.818971,0.052381,[2 3] ; [2 4],[1.81818182 3.18181818] ; [2.18181818 3.81818182],0
b3,1,0.818971,0.052381,[2 3] ; [2 4],[1.81818182 3.18181818] ; [2.18181818 3.81818182],0
n4,1,0.825498,0.048611,[7 1] ; [5 1],[6.85714286 1.14285714] ; [5.14285714 0.85714286],0
p5,1,0.825498,0.048611,[1 7] ; [1 5],[1.14285714 6.85714286] ; [0.85714286 5.14285714],0
p11,1,0.825498,0.048611,[7 1] ; [5 1],[6.85714286 1.14285714] ; [5.14285714 0.85714286],0
d1,1,0.872081,0.025926,[3 5] ; [2 4],[2.85714286 5.14285714] ; [2.14285714 3.85714286],0
s6,1,1.0,0.0,[6 2] ; [3 1],[6. 2.] ; [3. 1.],0
s7,1,1.0,0.0,[3 3] ; [3 3],[3. 3.] ; [3. 3.],0
