Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,23.861024,[16 13] ; [244  31],[24.80263158  4.19736842] ; [235.19736842  39.80263158],1
n5,1,1.9e-05,18.336211,[14 14] ; [230  45],[22.54785479  5.45214521] ; [221.45214521  53.54785479],1
p10,1,0.000546,11.950845,[19 10] ; [242  31],[25.06291391  3.93708609] ; [235.93708609  37.06291391],1
s4,1,0.002143,9.422665,[12 17] ; [ 47 222],[ 5.74161074 23.25838926] ; [ 53.25838926 215.74161074],0
r2,1,0.002515,9.129288,[26  3] ; [269   4],[28.32781457  0.67218543] ; [266.67218543   6.32781457],0
b1,1,0.004992,7.88244,[19 10] ; [106 169],[11.92434211 17.07565789] ; [113.07565789 161.92434211],0
p9,1,0.005047,7.862587,[22  7] ; [252  22],[26.22442244  2.77557756] ; [247.77557756  26.22442244],0
a5,1,0.005799,7.611674,[16 13] ; [215  60],[22.03618421  6.96381579] ; [208.96381579  66.03618421],0
p7,1,0.013547,6.096265,[20  9] ; [234  37],[24.55333333  4.44666667] ; [229.44666667  41.55333333],0
p11,1,0.022475,5.208636,[19 10] ; [228  47],[23.5625  5.4375] ; [223.4375  51.5625],0
p5,1,0.024299,5.073156,[ 1 28] ; [ 57 218],[ 5.53289474 23.46710526] ; [ 52.46710526 222.53289474],0
s7,1,0.033716,4.509026,[12 16] ; [168  97],[17.20136519 10.79863481] ; [162.79863481 102.20136519],0
p8,1,0.069676,3.290634,[16 13] ; [195  78],[20.2615894  8.7384106] ; [190.7384106  82.2615894],0
v4,1,0.082883,3.00745,[27  2] ; [270   5],[28.33223684  0.66776316] ; [268.66776316   6.33223684],0
p12,1,0.128326,2.312637,[ 1 28] ; [ 36 237],[ 3.55298013 25.44701987] ; [ 33.44701987 239.55298013],0
s2,1,0.185737,1.751115,[14 15] ; [167 107],[17.32343234 11.67656766] ; [163.67656766 110.32343234],0
n2,1,0.202737,1.622546,[8 1] ; [34 16],[6.40677966 2.59322034] ; [35.59322034 14.40677966],0
u1,1,0.228744,1.448656,[ 4 25] ; [ 65 210],[ 6.58223684 22.41776316] ; [ 62.41776316 212.58223684],0
p2,1,0.245092,1.351066,[24  5] ; [247  28],[25.85197368  3.14802632] ; [245.14802632  29.85197368],0
s5,1,0.250015,1.32322,[ 9 17] ; [122 141],[11.78546713 14.21453287] ; [119.21453287 143.78546713],0
v3,1,0.262723,1.25435,[ 9 19] ; [116 153],[11.78451178 16.21548822] ; [113.21548822 155.78451178],0
p4,1,0.264155,1.246849,[21  8] ; [223  52],[23.27631579  5.72368421] ; [220.72368421  54.27631579],0
a8,1,0.27316,1.20081,[ 2 23] ; [ 41 210],[ 3.89492754 21.10507246] ; [ 39.10507246 211.89492754],0
n1,1,0.279021,1.171851,[5 3] ; [21 29],[3.5862069 4.4137931] ; [22.4137931 27.5862069],0
a7,1,0.283399,1.150719,[19 10] ; [204  69],[21.41390728  7.58609272] ; [201.58609272  71.41390728],0
s6,1,0.305757,1.048915,[20  9] ; [206  60],[22.21694915  6.78305085] ; [203.78305085  62.21694915],0
r1,1,0.379851,0.771183,[23  6] ; [235  40],[24.61184211  4.38815789] ; [233.38815789  41.61184211],0
p3,1,0.392234,0.732004,[17 12] ; [183  92],[19.07894737  9.92105263] ; [180.92105263  94.07894737],0
a3,1,0.44368,0.586746,[20  9] ; [206  67],[21.70198675  7.29801325] ; [204.29801325  68.70198675],0
b5,1,0.445127,0.583031,[19 10] ; [160 115],[17.07565789 11.92434211] ; [161.92434211 113.07565789],0
a2,1,0.445661,0.581663,[ 6 23] ; [ 75 200],[ 7.72697368 21.27302632] ; [ 73.27302632 201.72697368],0
s3,1,0.447332,0.577402,[15 13] ; [167 107],[16.87417219 11.12582781] ; [165.12582781 108.87417219],0
u3,1,0.452166,0.565217,[7 2] ; [45 24],[6. 3.] ; [46. 23.],0
s8,1,0.538817,0.377736,[15 14] ; [158 116],[16.55775578 12.44224422] ; [156.44224422 117.55775578],0
u2,1,0.562319,0.335705,[6 3] ; [39 30],[5.19230769 3.80769231] ; [39.80769231 29.19230769],0
a6,1,0.63782,0.221605,[18 11] ; [182  92],[19.14191419  9.85808581] ; [180.85808581  93.14191419],0
v1,1,0.642828,0.215063,[17 12] ; [172 101],[18.14900662 10.85099338] ; [170.85099338 102.14900662],0
d1,1,0.686322,0.163096,[18 11] ; [181  94],[18.98355263 10.01644737] ; [180.01644737  94.98355263],0
b4,1,0.74191,0.108455,[18 11] ; [162 113],[17.17105263 11.82894737] ; [162.82894737 112.17105263],0
b3,1,0.782563,0.076165,[8 8] ; [84 97],[7.47208122 8.52791878] ; [84.52791878 96.47208122],0
b2,1,0.782563,0.076165,[8 8] ; [84 97],[7.47208122 8.52791878] ; [84.52791878 96.47208122],0
d2,1,0.800619,0.06378,[15 14] ; [149 126],[15.64473684 13.35526316] ; [148.35526316 126.64473684],0
d3,1,0.811265,0.057023,[21  8] ; [204  70],[21.53465347  7.46534653] ; [203.46534653  70.53465347],0
p1,1,0.872129,0.025907,[ 4 25] ; [ 41 234],[ 4.29276316 24.70723684] ; [ 40.70723684 234.29276316],0
v2,1,0.875785,0.024434,[16 12] ; [159 112],[16.38795987 11.61204013] ; [158.61204013 112.38795987],0
n3,1,0.883828,0.021351,[7 2] ; [37 12],[6.82758621 2.17241379] ; [37.17241379 11.82758621],0
a4,1,0.889282,0.01938,[15 14] ; [138 136],[14.64356436 14.35643564] ; [138.35643564 135.64356436],0
d4,1,0.906803,0.013706,[25  4] ; [234  40],[24.78877888  4.21122112] ; [234.21122112  39.78877888],0
d5,1,0.963387,0.002107,[24  5] ; [225  48],[23.91059603  5.08940397] ; [225.08940397  47.91059603],0
