Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,45.015838,[308  80] ; [36 47],[283.38004246 104.61995754] ; [60.61995754 22.38004246],1
n4,1,1e-06,24.044329,[297  91] ; [42 42],[278.66949153 109.33050847] ; [60.33050847 23.66949153],1
r4,1,2.5e-05,17.773498,[355  34] ; [63 21],[343.76744186  45.23255814] ; [74.23255814  9.76744186],1
p10,1,5.2e-05,16.366496,[357  30] ; [65 19],[346.7388535  40.2611465] ; [75.2611465  8.7388535],1
r3,1,0.000101,15.124508,[374  14] ; [72 12],[366.62711864  21.37288136] ; [79.37288136  4.62711864],1
p11,1,0.000254,13.382559,[330  59] ; [57 27],[318.27272727  70.72727273] ; [68.72727273 15.27272727],1
p2,1,0.003032,8.788411,[328  58] ; [60 24],[318.65531915  67.34468085] ; [69.34468085 14.65531915],0
b1,1,0.005256,7.789065,[119 270] ; [39 45],[129.94080338 259.05919662] ; [28.05919662 55.94080338],0
s4,1,0.008536,6.917505,[ 67 319] ; [ 5 79],[ 59.13191489 326.86808511] ; [12.86808511 71.13191489],0
v4,1,0.00888,6.846725,[372  15] ; [74  9],[367.23829787  19.76170213] ; [78.76170213  4.23829787],0
s1,1,0.015532,5.855074,[  6 376] ; [ 5 78],[  9.03655914 372.96344086] ; [ 1.96344086 81.03655914],0
r2,1,0.018158,5.580846,[363  23] ; [71 11],[357.95726496  28.04273504] ; [76.04273504  5.95726496],0
a1,1,0.021988,5.24674,[  9 380] ; [ 6 78],[ 12.33615222 376.66384778] ; [ 2.66384778 81.33615222],0
p3,1,0.027048,4.887733,[171 217] ; [26 58],[161.94067797 226.05932203] ; [35.05932203 48.94067797],0
u1,1,0.033042,4.54358,[ 63 326] ; [ 6 78],[ 56.74630021 332.25369979] ; [12.25369979 71.74630021],0
d2,1,0.042987,4.09592,[178 210] ; [28 55],[169.6985138 218.3014862] ; [36.3014862 46.6985138],0
s6,1,0.045361,4.00516,[254 129] ; [46 38],[246.0385439 136.9614561] ; [53.9614561 30.0385439],0
a4,1,0.047166,3.939473,[170 217] ; [27 57],[161.86624204 225.13375796] ; [35.13375796 48.86624204],0
s5,1,0.049013,3.874904,[115 260] ; [16 65],[107.73026316 267.26973684] ; [23.26973684 57.73026316],0
u2,1,0.060836,3.514434,[59 58] ; [19  8],[63.375 53.625] ; [14.625 12.375],0
p4,1,0.068458,3.319622,[197 191] ; [33 50],[189.46921444 198.53078556] ; [40.53078556 42.46921444],0
d5,1,0.074871,3.172866,[311  78] ; [59 24],[304.93644068  84.06355932] ; [65.06355932 17.93644068],0
u3,1,0.078054,3.10496,[56 61] ; [18  9],[60.125 56.875] ; [13.875 13.125],0
r1,1,0.078252,3.100841,[305  82] ; [58 25],[298.89574468  88.10425532] ; [64.10425532 18.89574468],0
b2,1,0.09918,2.718682,[ 80 147] ; [11 37],[ 75.11636364 151.88363636] ; [15.88363636 32.11636364],0
b3,1,0.09918,2.718682,[ 80 147] ; [11 37],[ 75.11636364 151.88363636] ; [15.88363636 32.11636364],0
s7,1,0.099221,2.718013,[166 209] ; [27 52],[159.41629956 215.58370044] ; [33.58370044 45.41629956],0
d1,1,0.108725,2.572653,[218 171] ; [39 45],[211.35940803 177.64059197] ; [45.64059197 38.35940803],0
s2,1,0.120246,2.414114,[185 201] ; [32 51],[178.59701493 207.40298507] ; [38.40298507 44.59701493],0
p8,1,0.139753,2.180679,[178 207] ; [31 52],[171.93376068 213.06623932] ; [37.06623932 45.93376068],0
a2,1,0.147242,2.100592,[ 88 301] ; [13 71],[ 83.06342495 305.93657505] ; [17.93657505 66.06342495],0
a5,1,0.14989,2.073372,[285 104] ; [55 29],[279.61945032 109.38054968] ; [60.38054968 23.61945032],0
v2,1,0.165382,1.92431,[208 163] ; [36 40],[202.51454139 168.48545861] ; [41.48545861 34.51454139],0
v3,1,0.198235,1.65533,[142 231] ; [23 53],[137.07126949 235.92873051] ; [27.92873051 48.07126949],0
v1,1,0.202223,1.626248,[193 181] ; [35 45],[187.82378855 186.17621145] ; [40.17621145 39.82378855],0
s8,1,0.202825,1.621912,[158 229] ; [28 56],[152.82802548 234.17197452] ; [33.17197452 50.82802548],0
p12,1,0.278824,1.172815,[ 26 362] ; [ 3 81],[ 23.83898305 364.16101695] ; [ 5.16101695 78.83898305],0
p7,1,0.30574,1.048989,[206 177] ; [38 42],[201.84017279 181.15982721] ; [42.15982721 37.84017279],0
b5,1,0.325691,0.965957,[237 152] ; [56 28],[240.96617336 148.03382664] ; [52.03382664 31.96617336],0
p1,1,0.416147,0.66117,[ 23 364] ; [ 7 77],[ 24.64968153 362.35031847] ; [ 5.35031847 78.64968153],0
p5,1,0.476401,0.507092,[ 32 351] ; [ 5 78],[ 30.40987124 352.59012876] ; [ 6.59012876 76.40987124],0
u4,1,0.51639,0.421098,[  9 380] ; [ 1 83],[  8.22410148 380.77589852] ; [ 1.77589852 82.22410148],0
s3,1,0.527488,0.399228,[213 170] ; [43 40],[210.40343348 172.59656652] ; [45.59656652 37.40343348],0
b4,1,0.528812,0.396673,[223 166] ; [45 39],[220.40591966 168.59408034] ; [47.59408034 36.40591966],0
a3,1,0.544691,0.366915,[271 116] ; [56 28],[268.68152866 118.31847134] ; [58.31847134 25.68152866],0
d3,1,0.588323,0.292971,[265 124] ; [54 29],[262.90466102 126.09533898] ; [56.09533898 26.90466102],0
d4,1,0.656211,0.198159,[313  76] ; [65 18],[311.52966102  77.47033898] ; [66.47033898 16.52966102],0
a8,1,0.733087,0.116296,[ 50 304] ; [10 69],[ 49.05311778 304.94688222] ; [10.94688222 68.05311778],0
a7,1,0.733922,0.115541,[280 109] ; [62 22],[281.26427061 107.73572939] ; [60.73572939 23.26427061],0
n1,1,0.748347,0.102926,[31 54] ; [10 15],[31.68181818 53.31818182] ; [ 9.31818182 15.68181818],0
a6,1,0.799506,0.064509,[268 121] ; [56 27],[267.02542373 121.97457627] ; [56.97457627 26.02542373],0
n2,1,0.822941,0.05007,[67 19] ; [20  5],[67.40540541 18.59459459] ; [19.59459459  5.40540541],0
n3,1,0.938358,0.00598,[66 20] ; [19  6],[65.85585586 20.14414414] ; [19.14414414  5.85585586],0
