Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.012419,6.25,[2 3] ; [18  2],[4. 1.] ; [16.  4.],0
p10,1,0.021925,5.251736,[1 4] ; [15  5],[3.2 1.8] ; [12.8  7.2],0
p11,1,0.069816,3.287338,[1 4] ; [13  7],[2.8 2.2] ; [11.2  8.8],0
d2,1,0.069816,3.287338,[1 4] ; [13  7],[2.8 2.2] ; [11.2  8.8],0
r1,1,0.069816,3.287338,[1 4] ; [13  7],[2.8 2.2] ; [11.2  8.8],0
p9,1,0.074791,3.174603,[2 3] ; [16  4],[3.6 1.4] ; [14.4  5.6],0
b4,1,0.074791,3.174603,[2 3] ; [16  4],[3.6 1.4] ; [14.4  5.6],0
r2,1,0.074791,3.174603,[2 3] ; [16  4],[3.6 1.4] ; [14.4  5.6],0
v4,1,0.101707,2.678571,[3 2] ; [18  2],[4.2 0.8] ; [16.8  3.2],0
v3,1,0.155132,2.021053,[3 2] ; [ 5 14],[1.66666667 3.33333333] ; [ 6.33333333 12.66666667],0
a7,1,0.161178,1.963141,[4 1] ; [ 9 11],[2.6 2.4] ; [10.4  9.6],0
d3,1,0.161178,1.963141,[4 1] ; [ 9 11],[2.6 2.4] ; [10.4  9.6],0
s5,1,0.161178,1.963141,[1 4] ; [11  9],[2.4 2.6] ; [ 9.6 10.4],0
s2,1,0.161178,1.963141,[1 4] ; [11  9],[2.4 2.6] ; [ 9.6 10.4],0
v1,1,0.161178,1.963141,[4 1] ; [ 9 11],[2.6 2.4] ; [10.4  9.6],0
r4,1,0.161178,1.963141,[1 4] ; [11  9],[2.4 2.6] ; [ 9.6 10.4],0
a5,1,0.2113,1.5625,[2 3] ; [14  6],[3.2 1.8] ; [12.8  7.2],0
p8,1,0.226765,1.461039,[1 4] ; [10 10],[2.2 2.8] ; [ 8.8 11.2],0
b1,1,0.226765,1.461039,[4 1] ; [10 10],[2.8 2.2] ; [11.2  8.8],0
p2,1,0.242809,1.364211,[2 3] ; [13  6],[3.125 1.875] ; [11.875  7.125],0
a4,1,0.363646,0.825263,[1 4] ; [ 8 11],[1.875 3.125] ; [ 7.125 11.875],0
s8,1,0.404657,0.694444,[1 4] ; [ 8 12],[1.8 3.2] ; [ 7.2 12.8],0
n2,1,0.52179,0.410354,[1 1] ; [8 3],[1.38461538 0.61538462] ; [7.61538462 3.38461538],0
a2,1,0.538253,0.378788,[1 4] ; [ 2 18],[0.6 4.4] ; [ 2.4 17.6],0
a3,1,0.549185,0.358779,[3 2] ; [14  5],[3.54166667 1.45833333] ; [13.45833333  5.54166667],0
v2,1,0.612274,0.256877,[1 4] ; [ 6 13],[1.45833333 3.54166667] ; [ 5.54166667 13.45833333],0
s4,1,0.656005,0.198413,[1 4] ; [ 6 14],[1.4 3.6] ; [ 5.6 14.4],0
u2,1,0.67329,0.177778,[1 1] ; [4 2],[1.25 0.75] ; [3.75 2.25],0
a6,1,0.688921,0.160256,[3 2] ; [10 10],[2.6 2.4] ; [10.4  9.6],0
p7,1,0.781867,0.076667,[2 3] ; [ 6 12],[1.73913043 3.26086957] ; [ 6.26086957 11.73913043],0
b5,1,0.834969,0.043403,[3 2] ; [13  7],[3.2 1.8] ; [12.8  7.2],0
d5,1,0.834969,0.043403,[3 2] ; [13  7],[3.2 1.8] ; [12.8  7.2],0
s7,1,0.840342,0.040584,[2 3] ; [ 9 11],[2.2 2.8] ; [ 8.8 11.2],0
p4,1,0.840342,0.040584,[2 3] ; [ 9 11],[2.2 2.8] ; [ 8.8 11.2],0
d1,1,0.840342,0.040584,[2 3] ; [ 9 11],[2.2 2.8] ; [ 8.8 11.2],0
p3,1,0.896743,0.016842,[2 3] ; [ 7 12],[1.875 3.125] ; [ 7.125 11.875],0
n1,1,0.905581,0.014069,[1 1] ; [6 5],[1.07692308 0.92307692] ; [5.92307692 5.07692308],0
n3,1,0.905581,0.014069,[1 1] ; [6 5],[1.07692308 0.92307692] ; [5.92307692 5.07692308],0
