Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,7e-05,15.805424,[ 1 24] ; [18 16],[ 8.05084746 16.94915254] ; [10.94915254 23.05084746],1
p11,1,0.000133,14.595524,[ 4 22] ; [22 12],[11.26666667 14.73333333] ; [14.73333333 19.26666667],1
n6,1,0.001281,10.370032,[ 6 19] ; [22 11],[12.06896552 12.93103448] ; [15.93103448 17.06896552],0
p10,1,0.002735,8.976419,[ 4 21] ; [18 15],[ 9.48275862 15.51724138] ; [12.51724138 20.48275862],0
p9,1,0.003781,8.385931,[ 6 19] ; [20 12],[11.40350877 13.59649123] ; [14.59649123 17.40350877],0
n3,1,0.005233,7.797052,[ 4 10] ; [10  2],[7.53846154 6.46153846] ; [6.46153846 5.53846154],0
s6,1,0.006355,7.446671,[ 3 23] ; [15 19],[ 7.8 18.2] ; [10.2 23.8],0
d4,1,0.007441,7.163244,[12 14] ; [27  7],[16.9  9.1] ; [22.1 11.9],0
p2,1,0.010898,6.481863,[ 5 21] ; [17 16],[ 9.69491525 16.30508475] ; [12.30508475 20.69491525],0
d5,1,0.012827,6.192748,[10 16] ; [24 10],[14.73333333 11.26666667] ; [19.26666667 14.73333333],0
n2,1,0.018256,5.571429,[ 4 10] ; [9 3],[7. 7.] ; [6. 6.],0
a7,1,0.030891,4.659017,[ 8 18] ; [20 14],[12.13333333 13.86666667] ; [15.86666667 18.13333333],0
r1,1,0.033545,4.517762,[ 6 20] ; [17 17],[ 9.96666667 16.03333333] ; [13.03333333 20.96666667],0
p1,1,0.037142,4.343891,[ 5 21] ; [ 1 33],[ 2.6 23.4] ; [ 3.4 30.6],0
a1,1,0.037142,4.343891,[ 5 21] ; [ 1 33],[ 2.6 23.4] ; [ 3.4 30.6],0
u2,1,0.052634,3.755495,[ 1 10] ; [7 9],[3.25925926 7.74074074] ; [ 4.74074074 11.25925926],0
p8,1,0.069385,3.2975,[ 3 22] ; [11 23],[ 5.93220339 19.06779661] ; [ 8.06779661 25.93220339],0
b4,1,0.104081,2.641875,[13 13] ; [24 10],[16.03333333  9.96666667] ; [20.96666667 13.03333333],0
b5,1,0.134391,2.241031,[11 15] ; [21 13],[13.86666667 12.13333333] ; [18.13333333 15.86666667],0
b2,1,0.162725,1.948718,[ 8 11] ; [ 4 15],[ 6. 13.] ; [ 6. 13.],0
b3,1,0.162725,1.948718,[ 8 11] ; [ 4 15],[ 6. 13.] ; [ 6. 13.],0
s2,1,0.181132,1.788315,[ 4 22] ; [10 23],[ 6.16949153 19.83050847] ; [ 7.83050847 25.16949153],0
p4,1,0.21101,1.564484,[ 6 20] ; [13 21],[ 8.23333333 17.76666667] ; [10.76666667 23.23333333],0
s1,1,0.239938,1.380961,[ 5 21] ; [ 3 31],[ 3.46666667 22.53333333] ; [ 4.53333333 29.46666667],0
s4,1,0.239938,1.380961,[ 5 21] ; [ 3 31],[ 3.46666667 22.53333333] ; [ 4.53333333 29.46666667],0
a8,1,0.246277,1.344298,[ 2 23] ; [ 6 26],[ 3.50877193 21.49122807] ; [ 4.49122807 27.50877193],0
b1,1,0.297365,1.085973,[15 11] ; [15 19],[13. 13.] ; [17. 17.],0
d1,1,0.357001,0.848416,[ 7 19] ; [13 21],[ 8.66666667 17.33333333] ; [11.33333333 22.66666667],0
s3,1,0.501527,0.451704,[ 7 18] ; [12 21],[ 8.18965517 16.81034483] ; [10.81034483 22.18965517],0
d2,1,0.530509,0.393416,[ 9 16] ; [15 19],[10.16949153 14.83050847] ; [13.83050847 20.16949153],0
r2,1,0.535913,0.383167,[12 13] ; [18 14],[13.15789474 11.84210526] ; [16.84210526 15.15789474],0
s7,1,0.586591,0.295699,[ 4 20] ; [ 7 24],[ 4.8 19.2] ; [ 6.2 24.8],0
a3,1,0.589428,0.291238,[15 10] ; [18 16],[13.98305085 11.01694915] ; [19.01694915 14.98305085],0
a5,1,0.650849,0.204832,[13 13] ; [19 15],[13.86666667 12.13333333] ; [18.13333333 15.86666667],0
n4,1,0.712547,0.135747,[18  8] ; [22 12],[17.33333333  8.66666667] ; [22.66666667 11.33333333],0
p7,1,0.712547,0.135747,[ 8 18] ; [12 22],[ 8.66666667 17.33333333] ; [11.33333333 22.66666667],0
d3,1,0.713938,0.134375,[11 15] ; [16 18],[11.7 14.3] ; [15.3 18.7],0
a2,1,0.720604,0.127915,[ 3 23] ; [ 5 29],[ 3.46666667 22.53333333] ; [ 4.53333333 29.46666667],0
p5,1,0.745012,0.10577,[ 1 24] ; [ 2 32],[ 1.27118644 23.72881356] ; [ 1.72881356 32.27118644],0
p3,1,0.763545,0.090498,[ 7 19] ; [ 8 26],[ 6.5 19.5] ; [ 8.5 25.5],0
a4,1,0.769953,0.085519,[ 9 16] ; [11 23],[ 8.47457627 16.52542373] ; [11.52542373 22.47457627],0
n5,1,0.773091,0.083137,[17  9] ; [21 13],[16.46666667  9.53333333] ; [21.53333333 12.46666667],0
p12,1,0.846557,0.037447,[ 1 25] ; [ 1 33],[ 0.86666667 25.13333333] ; [ 1.13333333 32.86666667],0
a6,1,0.94449,0.004848,[12 14] ; [16 18],[12.13333333 13.86666667] ; [15.86666667 18.13333333],0
n1,1,0.951159,0.003752,[6 8] ; [5 7],[5.92307692 8.07692308] ; [5.07692308 6.92307692],0
v3,1,0.967244,0.001686,[ 6 20] ; [ 8 26],[ 6.06666667 19.93333333] ; [ 7.93333333 26.06666667],0
v1,1,0.9692,0.001491,[ 8 18] ; [10 23],[ 7.93220339 18.06779661] ; [10.06779661 22.93220339],0
