Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,0.026895,4.897517,[5 1] ; [3 8],[2.82352941 3.17647059] ; [5.17647059 5.82352941],0
b4,1,0.026895,4.897517,[5 1] ; [3 8],[2.82352941 3.17647059] ; [5.17647059 5.82352941],0
v4,1,0.0456,3.996327,[2 4] ; [9 2],[3.88235294 2.11764706] ; [7.11764706 3.88235294],0
p4,1,0.057398,3.611014,[3 3] ; [10  1],[4.58823529 1.41176471] ; [8.41176471 2.58823529],0
r4,1,0.063716,3.437921,[1 5] ; [7 4],[2.82352941 3.17647059] ; [5.17647059 5.82352941],0
s8,1,0.129392,2.299784,[5 1] ; [5 6],[3.52941176 2.47058824] ; [6.47058824 4.52941176],0
s7,1,0.197703,1.659259,[4 1] ; [4 5],[2.85714286 2.14285714] ; [5.14285714 3.85714286],0
a2,1,0.210209,1.569986,[2 4] ; [ 1 10],[1.05882353 4.94117647] ; [1.94117647 9.05882353],0
p8,1,0.231605,1.430976,[2 4] ; [7 4],[3.17647059 2.82352941] ; [5.82352941 5.17647059],0
r1,1,0.231605,1.430976,[2 4] ; [7 4],[3.17647059 2.82352941] ; [5.82352941 5.17647059],0
b1,1,0.231605,1.430976,[2 4] ; [7 4],[3.17647059 2.82352941] ; [5.82352941 5.17647059],0
d3,1,0.235246,1.408861,[5 1] ; [6 5],[3.88235294 2.11764706] ; [7.11764706 3.88235294],0
n3,1,0.270289,1.215278,[2 1] ; [1 3],[1.28571429 1.71428571] ; [1.71428571 2.28571429],0
s2,1,0.329642,0.950303,[1 4] ; [5 6],[1.875 3.125] ; [4.125 6.875],0
a5,1,0.348723,0.878099,[3 3] ; [8 3],[3.88235294 2.11764706] ; [7.11764706 3.88235294],0
p6,1,0.394344,0.725505,[1 5] ; [4 7],[1.76470588 4.23529412] ; [3.23529412 7.76470588],0
d1,1,0.402388,0.701178,[4 2] ; [5 6],[3.17647059 2.82352941] ; [5.82352941 5.17647059],0
a6,1,0.402388,0.701178,[4 2] ; [5 6],[3.17647059 2.82352941] ; [5.82352941 5.17647059],0
u2,1,0.427355,0.63,[1 1] ; [4 1],[1.42857143 0.57142857] ; [3.57142857 1.42857143],0
r3,1,0.481556,0.495338,[4 2] ; [9 2],[4.58823529 1.41176471] ; [8.41176471 2.58823529],0
a8,1,0.591208,0.288462,[1 4] ; [1 9],[0.66666667 4.33333333] ; [1.33333333 8.66666667],0
p11,1,0.622252,0.242716,[5 1] ; [8 3],[4.58823529 1.41176471] ; [8.41176471 2.58823529],0
s5,1,0.622252,0.242716,[1 5] ; [3 8],[1.41176471 4.58823529] ; [2.58823529 8.41176471],0
a3,1,0.627477,0.235498,[4 2] ; [6 5],[3.52941176 2.47058824] ; [6.47058824 4.52941176],0
p1,1,0.64315,0.214646,[1 5] ; [ 1 10],[0.70588235 5.29411765] ; [1.29411765 9.70588235],0
n2,1,0.659243,0.194444,[2 1] ; [2 2],[1.71428571 1.28571429] ; [2.28571429 1.71428571],0
b2,1,0.735317,0.114286,[1 2] ; [4 5],[1.25 1.75] ; [3.75 5.25],0
b3,1,0.735317,0.114286,[1 2] ; [4 5],[1.25 1.75] ; [3.75 5.25],0
p9,1,0.755497,0.09697,[4 1] ; [8 3],[3.75 1.25] ; [8.25 2.75],0
v2,1,0.789726,0.071111,[4 2] ; [6 4],[3.75 2.25] ; [6.25 3.75],0
s6,1,0.793258,0.068687,[4 2] ; [8 3],[4.23529412 1.76470588] ; [7.76470588 3.23529412],0
p2,1,0.793258,0.068687,[4 2] ; [8 3],[4.23529412 1.76470588] ; [7.76470588 3.23529412],0
n5,1,0.793258,0.068687,[4 2] ; [8 3],[4.23529412 1.76470588] ; [7.76470588 3.23529412],0
n6,1,0.793258,0.068687,[4 2] ; [8 3],[4.23529412 1.76470588] ; [7.76470588 3.23529412],0
n4,1,0.793258,0.068687,[4 2] ; [8 3],[4.23529412 1.76470588] ; [7.76470588 3.23529412],0
n1,1,0.80915,0.058333,[1 2] ; [1 3],[0.85714286 2.14285714] ; [1.14285714 2.85714286],0
b5,1,0.857596,0.032197,[3 3] ; [5 6],[2.82352941 3.17647059] ; [5.17647059 5.82352941],0
v1,1,0.857596,0.032197,[3 3] ; [6 5],[3.17647059 2.82352941] ; [5.82352941 5.17647059],0
d2,1,0.857596,0.032197,[3 3] ; [6 5],[3.17647059 2.82352941] ; [5.82352941 5.17647059],0
s3,1,0.889243,0.019394,[2 3] ; [4 7],[1.875 3.125] ; [4.125 6.875],0
a4,1,0.900569,0.015611,[2 4] ; [4 7],[2.11764706 3.88235294] ; [3.88235294 7.11764706],0
p10,1,0.931175,0.007459,[4 1] ; [9 2],[4.0625 0.9375] ; [8.9375 2.0625],0
d5,1,0.93758,0.006133,[5 1] ; [9 2],[4.94117647 1.05882353] ; [9.05882353 1.94117647],0
p12,1,0.93758,0.006133,[1 5] ; [2 9],[1.05882353 4.94117647] ; [1.94117647 9.05882353],0
