Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2.7e-05,17.640734,[5 6] ; [49  3],[9.42857143 1.57142857] ; [44.57142857  7.42857143],1
r1,1,0.000174,14.097902,[2 9] ; [40 12],[7.33333333 3.66666667] ; [34.66666667 17.33333333],1
r2,1,0.000384,12.60814,[6 5] ; [48  3],[9.58064516 1.41935484] ; [44.41935484  6.58064516],1
r3,1,0.000844,11.141516,[7 4] ; [50  2],[9.95238095 1.04761905] ; [47.04761905  4.95238095],1
n6,1,0.001155,10.561468,[3 7] ; [41 10],[7.21311475 2.78688525] ; [36.78688525 14.21311475],0
s1,1,0.003353,8.604677,[4 7] ; [ 3 49],[1.22222222 9.77777778] ; [ 5.77777778 46.22222222],0
p11,1,0.073875,3.194752,[4 7] ; [34 18],[6.63492063 4.36507937] ; [31.36507937 20.63492063],0
s6,1,0.082217,3.020517,[4 7] ; [33 18],[6.56451613 4.43548387] ; [30.43548387 20.56451613],0
s5,1,0.114264,2.494228,[1 9] ; [18 33],[3.1147541 6.8852459] ; [15.8852459 35.1147541],0
n4,1,0.132885,2.258478,[5 6] ; [36 16],[7.15873016 3.84126984] ; [33.84126984 18.15873016],0
p10,1,0.132885,2.258478,[5 6] ; [36 16],[7.15873016 3.84126984] ; [33.84126984 18.15873016],0
s8,1,0.140023,2.177701,[2 9] ; [21 29],[4.14754098 6.85245902] ; [18.85245902 31.14754098],0
p4,1,0.174596,1.843032,[7 4] ; [21 30],[4.96774194 6.03225806] ; [23.03225806 27.96774194],0
a6,1,0.210189,1.570125,[8 3] ; [26 24],[6.13114754 4.86885246] ; [27.86885246 22.13114754],0
n5,1,0.223727,1.480301,[6 5] ; [38 14],[7.68253968 3.31746032] ; [36.31746032 15.68253968],0
v2,1,0.254316,1.299435,[5 6] ; [32 18],[6.67213115 4.32786885] ; [30.32786885 19.67213115],0
d2,1,0.254316,1.299435,[6 5] ; [18 32],[4.32786885 6.67213115] ; [19.67213115 30.32786885],0
d5,1,0.257736,1.280875,[6 5] ; [36 14],[7.57377049 3.42622951] ; [34.42622951 15.57377049],0
s7,1,0.261167,1.262558,[3 8] ; [22 26],[4.66101695 6.33898305] ; [20.33898305 27.66101695],0
b4,1,0.292021,1.110281,[4 7] ; [28 24],[5.58730159 5.41269841] ; [26.41269841 25.58730159],0
p6,1,0.299316,1.077241,[3 8] ; [23 29],[4.53968254 6.46031746] ; [21.46031746 30.53968254],0
a3,1,0.299316,1.077241,[8 3] ; [29 23],[6.46031746 4.53968254] ; [30.53968254 21.46031746],0
v3,1,0.305054,1.051969,[2 9] ; [17 33],[3.42622951 7.57377049] ; [15.57377049 34.42622951],0
p8,1,0.360047,0.83773,[6 4] ; [23 29],[4.67741935 5.32258065] ; [24.32258065 27.67741935],0
a8,1,0.394199,0.72595,[ 1 10] ; [10 40],[1.98360656 9.01639344] ; [ 9.01639344 40.98360656],0
n1,1,0.398025,0.714286,[2 5] ; [4 4],[2.8 4.2] ; [3.2 4.8],0
d1,1,0.41067,0.67686,[4 7] ; [26 26],[5.23809524 5.76190476] ; [24.76190476 27.23809524],0
p9,1,0.419861,0.650704,[6 5] ; [35 17],[7.15873016 3.84126984] ; [33.84126984 18.15873016],0
a1,1,0.458032,0.550699,[ 1 10] ; [ 2 50],[ 0.52380952 10.47619048] ; [ 2.47619048 49.52380952],0
s2,1,0.478869,0.501438,[7 4] ; [27 25],[5.93650794 5.06349206] ; [28.06349206 23.93650794],0
v1,1,0.478869,0.501438,[4 7] ; [25 27],[5.06349206 5.93650794] ; [23.93650794 28.06349206],0
a4,1,0.483766,0.490362,[3 8] ; [20 32],[4.01587302 6.98412698] ; [18.98412698 33.01587302],0
d3,1,0.525141,0.403786,[6 5] ; [22 28],[5.04918033 5.95081967] ; [22.95081967 27.04918033],0
u3,1,0.635788,0.224293,[2 1] ; [12 11],[1.61538462 1.38461538] ; [12.38461538 10.61538462],0
u2,1,0.691545,0.157418,[1 2] ; [10 12],[1.32 1.68] ; [ 9.68 12.32],0
p3,1,0.739556,0.110517,[6 5] ; [25 26],[5.5 5.5] ; [25.5 25.5],0
a5,1,0.804405,0.061331,[7 4] ; [31 21],[6.63492063 4.36507937] ; [31.36507937 20.63492063],0
s3,1,0.84805,0.036713,[6 5] ; [30 22],[6.28571429 4.71428571] ; [29.71428571 22.28571429],0
d4,1,0.8575,0.032241,[8 3] ; [35 15],[7.75409836 3.24590164] ; [35.24590164 14.75409836],0
p5,1,0.872807,0.02563,[1 9] ; [ 6 45],[1.14754098 8.85245902] ; [ 5.85245902 45.14754098],0
b1,1,0.874288,0.025032,[6 5] ; [27 25],[5.76190476 5.23809524] ; [27.23809524 24.76190476],0
a7,1,0.896431,0.016945,[7 4] ; [32 20],[6.80952381 4.19047619] ; [32.19047619 19.80952381],0
b5,1,0.912011,0.012211,[7 4] ; [34 18],[7.15873016 3.84126984] ; [33.84126984 18.15873016],0
s4,1,0.935847,0.006479,[2 9] ; [10 42],[2.0952381 8.9047619] ; [ 9.9047619 42.0952381],0
