Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.004427,8.1,[2 7] ; [8 1],[5. 4.] ; [5. 4.],0
s2,1,0.015629,5.844156,[1 8] ; [6 3],[3.5 5.5] ; [3.5 5.5],0
s6,1,0.023511,5.130357,[3 6] ; [7 1],[5.29411765 3.70588235] ; [4.70588235 3.29411765],0
s5,1,0.026895,4.897517,[1 8] ; [5 3],[3.17647059 5.82352941] ; [2.82352941 5.17647059],0
p3,1,0.146924,2.103896,[2 7] ; [5 4],[3.5 5.5] ; [3.5 5.5],0
b1,1,0.146924,2.103896,[4 5] ; [7 2],[5.5 3.5] ; [5.5 3.5],0
p7,1,0.157299,2.0,[3 6] ; [6 3],[4.5 4.5] ; [4.5 4.5],0
d1,1,0.157299,2.0,[3 6] ; [6 3],[4.5 4.5] ; [4.5 4.5],0
r2,1,0.231605,1.430976,[4 4] ; [7 2],[5.17647059 2.82352941] ; [5.82352941 3.17647059],0
v3,1,0.231605,1.430976,[2 7] ; [4 4],[3.17647059 5.82352941] ; [2.82352941 5.17647059],0
r3,1,0.256839,1.285714,[6 3] ; [8 1],[7. 2.] ; [7. 2.],0
a4,1,0.317311,1.0,[2 7] ; [4 5],[3. 6.] ; [3. 6.],0
s4,1,0.317311,1.0,[2 7] ; [4 5],[3. 6.] ; [3. 6.],0
p10,1,0.317311,1.0,[5 4] ; [7 2],[6. 3.] ; [6. 3.],0
s8,1,0.317311,1.0,[2 7] ; [4 5],[3. 6.] ; [3. 6.],0
p4,1,0.317311,1.0,[2 7] ; [4 5],[3. 6.] ; [3. 6.],0
n5,1,0.342782,0.9,[4 5] ; [6 3],[5. 4.] ; [5. 4.],0
d2,1,0.342782,0.9,[4 5] ; [6 3],[5. 4.] ; [5. 4.],0
n3,1,0.427355,0.63,[4 1] ; [1 1],[3.57142857 1.42857143] ; [1.42857143 0.57142857],0
v1,1,0.456605,0.554205,[5 3] ; [4 5],[4.23529412 3.76470588] ; [4.76470588 4.23529412],0
n1,1,0.465209,0.533333,[2 3] ; [2 1],[2.5 2.5] ; [1.5 1.5],0
n2,1,0.465209,0.533333,[3 2] ; [1 2],[2.5 2.5] ; [1.5 1.5],0
p1,1,0.527089,0.4,[1 8] ; [2 7],[1.5 7.5] ; [1.5 7.5],0
a2,1,0.527089,0.4,[1 8] ; [2 7],[1.5 7.5] ; [1.5 7.5],0
d5,1,0.598725,0.276923,[6 3] ; [7 2],[6.5 2.5] ; [6.5 2.5],0
a5,1,0.598725,0.276923,[7 2] ; [6 3],[6.5 2.5] ; [6.5 2.5],0
b4,1,0.598725,0.276923,[6 3] ; [7 2],[6.5 2.5] ; [6.5 2.5],0
r4,1,0.628745,0.233766,[3 6] ; [4 5],[3.5 5.5] ; [3.5 5.5],0
n4,1,0.628745,0.233766,[5 4] ; [6 3],[5.5 3.5] ; [5.5 3.5],0
p2,1,0.637352,0.222222,[4 5] ; [5 4],[4.5 4.5] ; [4.5 4.5],0
b5,1,0.637352,0.222222,[4 5] ; [5 4],[4.5 4.5] ; [4.5 4.5],0
r1,1,0.637352,0.222222,[4 5] ; [5 4],[4.5 4.5] ; [4.5 4.5],0
d3,1,0.637352,0.222222,[5 4] ; [4 5],[4.5 4.5] ; [4.5 4.5],0
b2,1,0.818821,0.052469,[4 4] ; [4 5],[3.76470588 4.23529412] ; [4.23529412 4.76470588],0
b3,1,0.818821,0.052469,[4 4] ; [4 5],[3.76470588 4.23529412] ; [4.23529412 4.76470588],0
p9,1,0.857596,0.032197,[5 3] ; [6 3],[5.17647059 2.82352941] ; [5.82352941 3.17647059],0
p8,1,0.892795,0.018162,[2 7] ; [2 6],[2.11764706 6.88235294] ; [1.88235294 6.11764706],0
n6,1,0.892795,0.018162,[6 2] ; [7 2],[6.11764706 1.88235294] ; [6.88235294 2.11764706],0
a6,1,1.0,0.0,[4 5] ; [4 5],[4. 5.] ; [4. 5.],0
p5,1,1.0,0.0,[1 8] ; [1 8],[1. 8.] ; [1. 8.],0
a7,1,1.0,0.0,[4 5] ; [4 5],[4. 5.] ; [4. 5.],0
s1,1,1.0,0.0,[1 8] ; [1 8],[1. 8.] ; [1. 8.],0
a8,1,1.0,0.0,[2 7] ; [2 7],[2. 7.] ; [2. 7.],0
d4,1,1.0,0.0,[7 2] ; [7 2],[7. 2.] ; [7. 2.],0
p11,1,1.0,0.0,[6 3] ; [6 3],[6. 3.] ; [6. 3.],0
