Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,44.102825,[232  61] ; [19 35],[211.93948127  81.06051873] ; [39.06051873 14.93948127],1
s3,1,0.0,41.190312,[236  57] ; [21 33],[217.00576369  75.99423631] ; [39.99423631 14.00576369],1
s7,1,3.8e-05,16.946168,[234  48] ; [30 22],[222.89820359  59.10179641] ; [41.10179641 10.89820359],1
s5,1,0.000323,12.933354,[138 145] ; [11 40],[126.24850299 156.75149701] ; [22.75149701 28.24850299],1
d5,1,0.001745,9.800426,[257  37] ; [39 16],[249.35243553  44.64756447] ; [46.64756447  8.35243553],0
r4,1,0.003653,8.448896,[282  13] ; [47  8],[277.3  17.7] ; [51.7  3.3],0
r3,1,0.011946,6.318855,[288   7] ; [50  5],[284.88571429  10.11428571] ; [53.11428571  1.88571429],0
s4,1,0.018018,5.59444,[ 61 232] ; [ 4 51],[ 54.72701149 238.27298851] ; [10.27298851 44.72701149],0
b5,1,0.024486,5.059856,[182 113] ; [25 30],[174.47142857 120.52857143] ; [32.52857143 22.47142857],0
r2,1,0.03432,4.478693,[283   9] ; [49  5],[280.1849711  11.8150289] ; [51.8150289  2.1849711],0
b3,1,0.040774,4.185398,[ 80 115] ; [25 18],[ 86.02941176 108.97058824] ; [18.97058824 24.02941176],0
b2,1,0.040774,4.185398,[ 80 115] ; [25 18],[ 86.02941176 108.97058824] ; [18.97058824 24.02941176],0
v3,1,0.077769,3.110928,[134 150] ; [32 21],[139.89317507 144.10682493] ; [26.10682493 26.89317507],0
p10,1,0.083538,2.99469,[261  30] ; [44 10],[257.26086957  33.73913043] ; [47.73913043  6.26086957],0
p12,1,0.112694,2.516025,[ 38 255] ; [ 3 52],[ 34.52011494 258.47988506] ; [ 6.47988506 48.52011494],0
u1,1,0.148635,2.086205,[ 75 220] ; [ 9 46],[ 70.8 224.2] ; [13.2 41.8],0
r1,1,0.194364,1.684225,[254  39] ; [44 11],[250.90229885  42.09770115] ; [47.09770115  7.90229885],0
u3,1,0.195894,1.672727,[40 20] ; [4 5],[38.26086957 21.73913043] ; [5.73913043 3.26086957],0
p9,1,0.219241,1.509331,[270  23] ; [47  7],[267.6685879  25.3314121] ; [49.3314121  4.6685879],0
a6,1,0.24497,1.351765,[195  99] ; [32 23],[191.22636103 102.77363897] ; [35.77363897 19.22636103],0
a2,1,0.26606,1.236946,[ 86 209] ; [12 43],[ 82.6 212.4] ; [15.4 39.6],0
p6,1,0.276253,1.185434,[142 149] ; [22 32],[138.33043478 152.66956522] ; [25.66956522 28.33043478],0
u2,1,0.278927,1.17231,[38 22] ; [4 5],[36.52173913 23.47826087] ; [5.47826087 3.52173913],0
v2,1,0.282793,1.15362,[172 111] ; [37 17],[175.51038576 107.48961424] ; [33.48961424 20.51038576],0
v4,1,0.284484,1.145542,[287   8] ; [52  3],[285.72857143   9.27142857] ; [53.27142857  1.72857143],0
u4,1,0.286948,1.133884,[ 15 280] ; [ 1 54],[ 13.48571429 281.51428571] ; [ 2.51428571 52.48571429],0
p5,1,0.29611,1.091632,[ 50 243] ; [ 6 47],[ 47.42196532 245.57803468] ; [ 8.57803468 44.42196532],0
b1,1,0.332117,0.940624,[117 178] ; [18 37],[113.78571429 181.21428571] ; [21.21428571 33.78571429],0
v1,1,0.388635,0.743209,[177 106] ; [31 24],[174.15384615 108.84615385] ; [33.84615385 21.15384615],0
p4,1,0.399426,0.710053,[204  90] ; [35 20],[201.33524355  92.66475645] ; [37.66475645 17.33524355],0
d4,1,0.414323,0.666362,[253  41] ; [45 10],[251.03724928  42.96275072] ; [46.96275072  8.03724928],0
n5,1,0.416627,0.65981,[253  42] ; [44 10],[251.04584527  43.95415473] ; [45.95415473  8.04584527],0
p8,1,0.446746,0.578894,[168 121] ; [35 20],[170.54360465 118.45639535] ; [32.45639535 22.54360465],0
p1,1,0.45849,0.549578,[ 31 263] ; [ 4 51],[ 29.48424069 264.51575931] ; [ 5.51575931 49.48424069],0
n1,1,0.497692,0.459854,[27 35] ; [7 6],[28.10666667 33.89333333] ; [5.89333333 7.10666667],0
a5,1,0.500893,0.453044,[237  58] ; [42 13],[235.15714286  59.84285714] ; [43.84285714 11.15714286],0
a3,1,0.524376,0.405279,[235  59] ; [46  9],[236.71633238  57.28366762] ; [44.28366762 10.71633238],0
n2,1,0.585799,0.296953,[43 19] ; [10  3],[43.81333333 18.18666667] ; [9.18666667 3.81333333],0
a7,1,0.641684,0.216547,[207  87] ; [37 18],[205.54727794  88.45272206] ; [38.45272206 16.54727794],0
p7,1,0.656463,0.197849,[201  85] ; [37 18],[199.61290323  86.38709677] ; [38.38709677 16.61290323],0
a4,1,0.659489,0.194145,[149 146] ; [26 29],[147.5 147.5] ; [27.5 27.5],0
n3,1,0.695338,0.153367,[43 19] ; [9 3],[43.56756757 18.43243243] ; [8.43243243 3.56756757],0
d1,1,0.701475,0.146942,[196  99] ; [38 17],[197.22857143  97.77142857] ; [36.77142857 18.22857143],0
p11,1,0.730797,0.118381,[241  54] ; [46  9],[241.9  53.1] ; [45.1  9.9],0
d2,1,0.743413,0.10715,[170 125] ; [33 22],[171.1 123.9] ; [31.9 23.1],0
d3,1,0.743624,0.106967,[205  90] ; [37 18],[203.97142857  91.02857143] ; [38.02857143 16.97142857],0
p3,1,0.814777,0.054882,[172 123] ; [33 22],[172.78571429 122.21428571] ; [32.21428571 22.78571429],0
b4,1,0.825205,0.048777,[171 124] ; [31 24],[170.25714286 124.74285714] ; [31.74285714 23.25714286],0
p2,1,0.842229,0.039618,[249  45] ; [46  9],[248.51002865  45.48997135] ; [46.48997135  8.51002865],0
s1,1,0.866412,0.028297,[ 12 279] ; [ 2 53],[ 11.77456647 279.22543353] ; [ 2.22543353 52.77456647],0
a8,1,0.949977,0.003936,[ 44 225] ; [ 8 42],[ 43.84952978 225.15047022] ; [ 8.15047022 41.84952978],0
n4,1,0.967938,0.001616,[256  38] ; [48  7],[256.09169054  37.90830946] ; [47.90830946  7.09169054],0
a1,1,0.992612,8.6e-05,[ 16 279] ; [ 3 52],[ 16.01428571 278.98571429] ; [ 2.98571429 52.01428571],0
