Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,24.429255,[23 22] ; [ 9 72],[11.42857143 33.57142857] ; [20.57142857 60.42857143],1
u1,1,0.014105,6.024911,[13 33] ; [ 9 72],[ 7.96850394 38.03149606] ; [14.03149606 66.96850394],0
p12,1,0.02253,5.204348,[ 8 38] ; [ 4 76],[ 4.38095238 41.61904762] ; [ 7.61904762 72.38095238],0
a3,1,0.040211,4.208967,[37  9] ; [51 30],[31.87401575 14.12598425] ; [56.12598425 24.87401575],0
p3,1,0.054743,3.689898,[34 12] ; [46 35],[28.97637795 17.02362205] ; [51.02362205 29.97637795],0
d2,1,0.055731,3.660093,[28 18] ; [35 46],[22.81889764 23.18110236] ; [40.18110236 40.81889764],0
b4,1,0.069874,3.285967,[27 19] ; [34 47],[22.09448819 23.90551181] ; [38.90551181 42.09448819],0
p2,1,0.084219,2.981537,[38  8] ; [75  6],[40.92913386  5.07086614] ; [72.07086614  8.92913386],0
a6,1,0.097028,2.75372,[34 12] ; [48 33],[29.7007874 16.2992126] ; [52.2992126 28.7007874],0
s5,1,0.100437,2.698591,[19 21] ; [25 53],[14.91525424 25.08474576] ; [29.08474576 48.91525424],0
s6,1,0.113872,2.499643,[35 10] ; [50 28],[31.09756098 13.90243902] ; [53.90243902 24.09756098],0
a5,1,0.128419,2.311513,[35 11] ; [51 30],[31.1496063 14.8503937] ; [54.8503937 26.1496063],0
r1,1,0.128664,2.308547,[37  9] ; [55 26],[33.32283465 12.67716535] ; [58.67716535 22.32283465],0
a8,1,0.130774,2.283298,[ 8 35] ; [ 7 70],[ 5.375 37.625] ; [ 9.625 67.375],0
n4,1,0.165275,1.925288,[38  8] ; [58 23],[34.77165354 11.22834646] ; [61.22834646 19.77165354],0
b1,1,0.198792,1.651228,[23 23] ; [31 50],[19.55905512 26.44094488] ; [34.44094488 46.55905512],0
b5,1,0.213096,1.550269,[22 24] ; [48 33],[25.35433071 20.64566929] ; [44.64566929 36.35433071],0
a2,1,0.237325,1.396413,[12 34] ; [14 67],[ 9.41732283 36.58267717] ; [16.58267717 64.41732283],0
a7,1,0.241084,1.374242,[34 12] ; [51 29],[31.03174603 14.96825397] ; [53.96825397 26.03174603],0
d4,1,0.270777,1.212805,[38  8] ; [60 21],[35.49606299 10.50393701] ; [62.50393701 18.49606299],0
n3,1,0.297963,1.083288,[12  2] ; [17  7],[10.68421053  3.31578947] ; [18.31578947  5.68421053],0
s7,1,0.309412,1.033184,[26 15] ; [43 37],[23.38016529 17.61983471] ; [45.61983471 34.38016529],0
s2,1,0.321801,0.981613,[28 17] ; [43 38],[25.35714286 19.64285714] ; [45.64285714 35.35714286],0
p5,1,0.373479,0.792058,[ 9 37] ; [11 70],[ 7.24409449 38.75590551] ; [12.75590551 68.24409449],0
p10,1,0.396324,0.71945,[37  9] ; [59 21],[35.04761905 10.95238095] ; [60.95238095 19.04761905],0
s3,1,0.401618,0.703477,[29 16] ; [46 35],[26.78571429 18.21428571] ; [48.21428571 32.78571429],0
a1,1,0.402198,0.701746,[ 4 42] ; [ 4 77],[ 2.8976378 43.1023622] ; [ 5.1023622 75.8976378],0
p4,1,0.411034,0.675807,[36 10] ; [58 23],[34.04724409 11.95275591] ; [59.95275591 21.04724409],0
r2,1,0.434729,0.610156,[42  4] ; [74  4],[43.03225806  2.96774194] ; [72.96774194  5.03225806],0
p7,1,0.463651,0.537065,[39  7] ; [62 16],[37.46774194  8.53225806] ; [63.53225806 14.46774194],0
p11,1,0.4823,0.493658,[32 14] ; [61 20],[33.68503937 12.31496063] ; [59.31496063 21.68503937],0
s8,1,0.519536,0.414815,[21 24] ; [33 48],[19.28571429 25.71428571] ; [34.71428571 46.28571429],0
d5,1,0.555923,0.346813,[35 11] ; [57 23],[33.58730159 12.41269841] ; [58.41269841 21.58730159],0
b3,1,0.609048,0.261564,[14 15] ; [19 26],[12.93243243 16.06756757] ; [20.06756757 24.93243243],0
b2,1,0.609048,0.261564,[14 15] ; [19 26],[12.93243243 16.06756757] ; [20.06756757 24.93243243],0
d1,1,0.612039,0.257216,[26 20] ; [42 39],[24.62992126 21.37007874] ; [43.37007874 37.62992126],0
p9,1,0.636587,0.223233,[39  7] ; [66 15],[38.03149606  7.96850394] ; [66.96850394 14.03149606],0
n5,1,0.639703,0.21913,[34 12] ; [56 24],[32.85714286 13.14285714] ; [57.14285714 22.85714286],0
n6,1,0.648054,0.208362,[40  6] ; [68 13],[39.11811024  6.88188976] ; [68.88188976 12.11811024],0
r4,1,0.658152,0.195777,[41  5] ; [70 11],[40.20472441  5.79527559] ; [70.79527559 10.20472441],0
s4,1,0.681116,0.168873,[11 35] ; [21 56],[11.96747967 34.03252033] ; [20.03252033 56.96747967],0
v4,1,0.68486,0.164706,[42  3] ; [77  4],[42.5  2.5] ; [76.5  4.5],0
u2,1,0.854928,0.033429,[6 3] ; [19 11],[5.76923077 3.23076923] ; [19.23076923 10.76923077],0
d3,1,0.857899,0.032059,[31 15] ; [52 27],[30.544 15.456] ; [52.456 26.544],0
u3,1,0.870754,0.026472,[5 4] ; [17 12],[5.21052632 3.78947368] ; [16.78947368 12.21052632],0
n1,1,0.873624,0.025299,[4 9] ; [ 8 16],[4.21621622 8.78378378] ; [ 7.78378378 16.21621622],0
p8,1,0.896523,0.016914,[29 17] ; [52 29],[29.33858268 16.66141732] ; [51.66141732 29.33858268],0
r3,1,0.927206,0.008347,[42  3] ; [75  5],[42.12  2.88] ; [74.88  5.12],0
