Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000412,12.478008,[12  5] ; [11 37],[ 6.01538462 10.98461538] ; [16.98461538 31.01538462],1
s6,1,0.000671,11.567791,[13  4] ; [14 34],[7.06153846 9.93846154] ; [19.93846154 28.06153846],1
s4,1,0.002483,9.153002,[8 9] ; [ 6 43],[ 3.60606061 13.39393939] ; [10.39393939 38.60606061],0
p4,1,0.006394,7.435865,[12  5] ; [16 33],[7.21212121 9.78787879] ; [20.78787879 28.21212121],0
s2,1,0.012376,6.256254,[9 8] ; [10 38],[ 4.96923077 12.03076923] ; [14.03076923 33.96923077],0
s3,1,0.025471,4.991597,[10  7] ; [14 35],[ 6.18181818 10.81818182] ; [17.81818182 31.18181818],0
p2,1,0.034315,4.478921,[12  5] ; [20 29],[8.24242424 8.75757576] ; [23.75757576 25.24242424],0
p7,1,0.048796,3.882353,[12  5] ; [21 28],[8.5 8.5] ; [24.5 24.5],0
d4,1,0.087672,2.916609,[15  2] ; [32 16],[12.29230769  4.70769231] ; [34.70769231 13.29230769],0
p10,1,0.096482,2.76276,[ 1 16] ; [12 37],[ 3.34848485 13.65151515] ; [ 9.65151515 39.34848485],0
r3,1,0.096482,2.76276,[16  1] ; [37 12],[13.65151515  3.34848485] ; [39.34848485  9.65151515],0
r4,1,0.120268,2.413824,[13  4] ; [27 22],[10.3030303  6.6969697] ; [29.6969697 19.3030303],0
s5,1,0.139087,2.188034,[ 5 11] ; [ 7 41],[ 3. 13.] ; [ 9. 39.],0
p6,1,0.195072,1.67889,[ 5 11] ; [ 8 41],[ 3.2 12.8] ; [ 9.8 39.2],0
a4,1,0.239025,1.386333,[ 3 14] ; [16 33],[ 4.89393939 12.10606061] ; [14.10606061 34.89393939],0
v4,1,0.253979,1.301285,[15  2] ; [36 12],[13.33846154  3.66153846] ; [37.66153846 10.33846154],0
d2,1,0.262947,1.253175,[ 6 11] ; [25 24],[7.98484848 9.01515152] ; [23.01515152 25.98484848],0
p11,1,0.263146,1.252132,[ 5 12] ; [22 27],[ 6.95454545 10.04545455] ; [20.04545455 28.95454545],0
d3,1,0.322221,0.97991,[10  7] ; [22 27],[8.24242424 8.75757576] ; [23.75757576 25.24242424],0
a5,1,0.385448,0.753255,[9 8] ; [20 29],[7.46969697 9.53030303] ; [21.53030303 27.46969697],0
v3,1,0.39791,0.714632,[ 4 13] ; [ 7 41],[ 2.87692308 14.12307692] ; [ 8.12307692 39.87692308],0
b4,1,0.403583,0.697625,[12  5] ; [29 20],[10.56060606  6.43939394] ; [30.43939394 18.56060606],0
a1,1,0.425945,0.633854,[ 1 16] ; [ 1 48],[ 0.51515152 16.48484848] ; [ 1.48484848 47.51515152],0
p1,1,0.425945,0.633854,[ 1 16] ; [ 1 48],[ 0.51515152 16.48484848] ; [ 1.48484848 47.51515152],0
v1,1,0.4453,0.582586,[ 5 12] ; [10 39],[ 3.86363636 13.13636364] ; [11.13636364 37.86363636],0
r1,1,0.45287,0.563459,[9 8] ; [31 18],[10.3030303  6.6969697] ; [29.6969697 19.3030303],0
a2,1,0.462893,0.538891,[ 1 16] ; [ 6 43],[ 1.8030303 15.1969697] ; [ 5.1969697 43.8030303],0
a3,1,0.471847,0.517647,[8 9] ; [28 21],[9.27272727 7.72727273] ; [26.72727273 22.27272727],0
d1,1,0.489975,0.476582,[ 6 11] ; [22 27],[7.21212121 9.78787879] ; [20.78787879 28.21212121],0
u3,1,0.562771,0.334928,[5 4] ; [14  7],[5.7 3.3] ; [13.3  7.7],0
d5,1,0.585076,0.2981,[12  5] ; [31 18],[11.07575758  5.92424242] ; [31.92424242 17.07575758],0
s1,1,0.593291,0.285234,[ 1 16] ; [ 5 44],[ 1.54545455 15.45454545] ; [ 4.45454545 44.54545455],0
n1,1,0.66,0.193523,[1 4] ; [ 8 19],[1.40625 3.59375] ; [ 7.59375 19.40625],0
r2,1,0.676462,0.174136,[14  3] ; [38 11],[13.39393939  3.60606061] ; [38.60606061 10.39393939],0
b5,1,0.680977,0.169028,[10  7] ; [26 23],[9.27272727 7.72727273] ; [26.72727273 22.27272727],0
u2,1,0.690328,0.15873,[4 5] ; [11 10],[4.5 4.5] ; [10.5 10.5],0
s8,1,0.763518,0.090519,[ 3 14] ; [ 7 41],[ 2.61538462 14.38461538] ; [ 7.38461538 40.61538462],0
n5,1,0.807371,0.059448,[ 4 13] ; [13 36],[ 4.37878788 12.62121212] ; [12.62121212 36.37878788],0
v2,1,0.826474,0.04806,[ 6 11] ; [18 29],[ 6.375 10.625] ; [17.625 29.375],0
s7,1,0.829218,0.046528,[ 3 13] ; [10 37],[ 3.3015873 12.6984127] ; [ 9.6984127 37.3015873],0
b2,1,0.832899,0.044515,[2 9] ; [ 4 22],[1.78378378 9.21621622] ; [ 4.21621622 21.78378378],0
b3,1,0.832899,0.044515,[2 9] ; [ 4 22],[1.78378378 9.21621622] ; [ 4.21621622 21.78378378],0
a7,1,0.877473,0.02377,[9 8] ; [27 22],[9.27272727 7.72727273] ; [26.72727273 22.27272727],0
n6,1,0.891396,0.018643,[9 8] ; [25 24],[8.75757576 8.24242424] ; [25.24242424 23.75757576],0
a6,1,0.891396,0.018643,[9 8] ; [25 24],[8.75757576 8.24242424] ; [25.24242424 23.75757576],0
b1,1,0.891396,0.018643,[9 8] ; [25 24],[8.75757576 8.24242424] ; [25.24242424 23.75757576],0
n3,1,0.899963,0.015802,[3 2] ; [17 10],[3.125 1.875] ; [16.875 10.125],0
