Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,27.420465,[2 5] ; [85  6],[6.21428571 0.78571429] ; [80.78571429 10.21428571],1
v4,1,2.6e-05,17.698997,[4 3] ; [88  3],[6.57142857 0.42857143] ; [85.42857143  5.57142857],1
r3,1,0.00014,14.497041,[4 3] ; [87  4],[6.5 0.5] ; [84.5  6.5],1
p1,1,0.005935,7.56997,[3 4] ; [ 8 83],[0.78571429 6.21428571] ; [10.21428571 80.78571429],0
r1,1,0.01233,6.262722,[3 4] ; [75 16],[5.57142857 1.42857143] ; [72.42857143 18.57142857],0
s3,1,0.023191,5.154138,[2 5] ; [64 27],[4.71428571 2.28571429] ; [61.28571429 29.71428571],0
s8,1,0.032903,4.55081,[1 6] ; [51 40],[3.71428571 3.28571429] ; [48.28571429 42.71428571],0
n6,1,0.039314,4.247262,[4 3] ; [77 12],[5.90625 1.09375] ; [75.09375 13.90625],0
s2,1,0.048162,3.904329,[2 5] ; [60 31],[4.42857143 2.57142857] ; [57.57142857 33.42857143],0
d3,1,0.056712,3.631026,[1 6] ; [47 44],[3.42857143 3.57142857] ; [44.57142857 46.42857143],0
a5,1,0.056943,3.62426,[3 4] ; [69 22],[5.14285714 1.85714286] ; [66.85714286 24.14285714],0
s6,1,0.058679,3.574323,[4 3] ; [74 13],[5.80851064 1.19148936] ; [72.19148936 14.80851064],0
p9,1,0.067235,3.349262,[4 3] ; [76 14],[5.77319588 1.22680412] ; [74.22680412 15.77319588],0
p5,1,0.085994,2.94781,[3 4] ; [15 75],[1.29896907 5.70103093] ; [16.70103093 73.29896907],0
d1,1,0.112924,2.512821,[2 5] ; [54 37],[4. 3.] ; [52. 39.],0
p10,1,0.131083,2.27963,[4 3] ; [73 17],[5.55670103 1.44329897] ; [71.44329897 18.55670103],0
a4,1,0.217581,1.520256,[2 5] ; [48 43],[3.57142857 3.42857143] ; [46.42857143 44.57142857],0
b5,1,0.260009,1.268711,[1 6] ; [32 59],[2.35714286 4.64285714] ; [30.64285714 60.35714286],0
a3,1,0.31951,0.990952,[4 3] ; [67 23],[5.12371134 1.87628866] ; [65.87628866 24.12371134],0
s7,1,0.323809,0.973499,[3 4] ; [55 34],[4.22916667 2.77083333] ; [53.77083333 35.22916667],0
d2,1,0.397067,0.71719,[5 2] ; [50 41],[3.92857143 3.07142857] ; [51.07142857 39.92857143],0
u3,1,0.411314,0.675,[1 2] ; [14 10],[1.66666667 1.33333333] ; [13.33333333 10.66666667],0
d5,1,0.424866,0.636817,[5 2] ; [75 15],[5.77319588 1.22680412] ; [74.22680412 15.77319588],0
b2,1,0.436769,0.604757,[2 4] ; [29 29],[2.90625 3.09375] ; [28.09375 29.90625],0
b3,1,0.436769,0.604757,[2 4] ; [29 29],[2.90625 3.09375] ; [28.09375 29.90625],0
s4,1,0.436817,0.60463,[3 4] ; [26 64],[2.09278351 4.90721649] ; [26.90721649 63.09278351],0
u2,1,0.539315,0.376812,[2 1] ; [11 12],[1.5 1.5] ; [11.5 11.5],0
p3,1,0.550731,0.356009,[5 2] ; [54 36],[4.25773196 2.74226804] ; [54.74226804 35.25773196],0
p4,1,0.550731,0.356009,[5 2] ; [54 36],[4.25773196 2.74226804] ; [54.74226804 35.25773196],0
p12,1,0.553993,0.350212,[1 6] ; [ 7 82],[0.58333333 6.41666667] ; [ 7.41666667 81.58333333],0
v3,1,0.588288,0.293025,[2 5] ; [35 55],[2.67010309 4.32989691] ; [34.32989691 55.67010309],0
v2,1,0.632959,0.22807,[3 4] ; [47 43],[3.60824742 3.39175258] ; [46.39175258 43.60824742],0
b4,1,0.637733,0.221719,[4 3] ; [60 31],[4.57142857 2.42857143] ; [59.42857143 31.57142857],0
n4,1,0.644344,0.213105,[5 2] ; [71 19],[5.48453608 1.51546392] ; [70.51546392 19.48453608],0
n5,1,0.657752,0.196266,[6 1] ; [70 19],[5.54166667 1.45833333] ; [70.45833333 18.54166667],0
b1,1,0.694887,0.153846,[3 4] ; [46 45],[3.5 3.5] ; [45.5 45.5],0
p2,1,0.713664,0.134644,[6 1] ; [72 18],[5.62886598 1.37113402] ; [72.37113402 17.62886598],0
a6,1,0.818089,0.052901,[3 4] ; [35 56],[2.71428571 4.28571429] ; [35.28571429 55.71428571],0
p7,1,0.820706,0.051364,[5 2] ; [67 22],[5.25 1.75] ; [66.75 22.25],0
v1,1,0.85405,0.033839,[4 3] ; [54 35],[4.22916667 2.77083333] ; [53.77083333 35.22916667],0
p6,1,0.894289,0.017657,[3 4] ; [40 48],[3.16842105 3.83157895] ; [39.83157895 48.16842105],0
p8,1,0.914871,0.011427,[4 3] ; [49 40],[3.86458333 3.13541667] ; [49.13541667 39.86458333],0
d4,1,0.990816,0.000133,[6 1] ; [77 13],[5.98969072 1.01030928] ; [77.01030928 12.98969072],0
