Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.015013,5.915,[9 1] ; [1 3],[7.14285714 2.85714286] ; [2.85714286 1.14285714],0
d3,1,0.052353,3.764444,[8 2] ; [1 3],[6.42857143 3.57142857] ; [2.57142857 1.42857143],0
n6,1,0.0994,2.715152,[9 1] ; [2 2],[7.85714286 2.14285714] ; [3.14285714 0.85714286],0
p7,1,0.124541,2.359259,[8 2] ; [1 2],[6.92307692 3.07692308] ; [2.07692308 0.92307692],0
b4,1,0.236724,1.4,[4 6] ; [3 1],[5. 5.] ; [2. 2.],0
d1,1,0.236724,1.4,[6 4] ; [1 3],[5. 5.] ; [2. 2.],0
p8,1,0.261651,1.26,[8 2] ; [2 2],[7.14285714 2.85714286] ; [2.85714286 1.14285714],0
d5,1,0.261651,1.26,[8 2] ; [2 2],[7.14285714 2.85714286] ; [2.85714286 1.14285714],0
s4,1,0.393153,0.729167,[5 5] ; [1 3],[4.28571429 5.71428571] ; [1.71428571 2.28571429],0
d2,1,0.393153,0.729167,[5 5] ; [1 3],[4.28571429 5.71428571] ; [1.71428571 2.28571429],0
v1,1,0.393153,0.729167,[5 5] ; [1 3],[4.28571429 5.71428571] ; [1.71428571 2.28571429],0
s3,1,0.416448,0.660317,[4 6] ; [2 1],[4.61538462 5.38461538] ; [1.38461538 1.61538462],0
s1,1,0.468717,0.525,[1 9] ; [1 3],[1.42857143 8.57142857] ; [0.57142857 3.42857143],0
p2,1,0.468717,0.525,[9 1] ; [3 1],[8.57142857 1.42857143] ; [3.42857143 0.57142857],0
p11,1,0.480478,0.497778,[7 3] ; [2 2],[6.42857143 3.57142857] ; [2.57142857 1.42857143],0
a3,1,0.480478,0.497778,[7 3] ; [2 2],[6.42857143 3.57142857] ; [2.57142857 1.42857143],0
s5,1,0.568618,0.325,[3 6] ; [2 2],[3.46153846 5.53846154] ; [1.53846154 2.46153846],0
s2,1,0.596701,0.28,[6 4] ; [3 1],[6.42857143 3.57142857] ; [2.57142857 1.42857143],0
p3,1,0.596701,0.28,[4 6] ; [1 3],[3.57142857 6.42857143] ; [1.42857143 2.57142857],0
b1,1,0.596701,0.28,[6 4] ; [3 1],[6.42857143 3.57142857] ; [2.57142857 1.42857143],0
v3,1,0.596701,0.28,[4 6] ; [1 3],[3.57142857 6.42857143] ; [1.42857143 2.57142857],0
a7,1,0.596701,0.28,[6 4] ; [3 1],[6.42857143 3.57142857] ; [2.57142857 1.42857143],0
n1,1,0.67329,0.177778,[4 2] ; [1 1],[3.75 2.25] ; [1.25 0.75],0
u3,1,0.709388,0.138889,[2 1] ; [1 1],[1.8 1.2] ; [1.2 0.8],0
r4,1,0.732678,0.116667,[4 6] ; [2 2],[4.28571429 5.71428571] ; [1.71428571 2.28571429],0
r1,1,0.732678,0.116667,[4 6] ; [2 2],[4.28571429 5.71428571] ; [1.71428571 2.28571429],0
v2,1,0.732678,0.116667,[6 4] ; [2 2],[5.71428571 4.28571429] ; [2.28571429 1.71428571],0
s6,1,0.732678,0.116667,[4 6] ; [2 2],[4.28571429 5.71428571] ; [1.71428571 2.28571429],0
s8,1,0.732678,0.116667,[4 6] ; [2 2],[4.28571429 5.71428571] ; [1.71428571 2.28571429],0
d4,1,0.732678,0.116667,[6 4] ; [2 2],[5.71428571 4.28571429] ; [2.28571429 1.71428571],0
p5,1,0.836813,0.042424,[2 8] ; [1 3],[2.14285714 7.85714286] ; [0.85714286 3.14285714],0
p9,1,0.836813,0.042424,[8 2] ; [3 1],[7.85714286 2.14285714] ; [3.14285714 0.85714286],0
p10,1,0.836813,0.042424,[8 2] ; [3 1],[7.85714286 2.14285714] ; [3.14285714 0.85714286],0
n4,1,0.851596,0.035,[7 3] ; [3 1],[7.14285714 2.85714286] ; [2.85714286 1.14285714],0
r2,1,0.912637,0.012037,[7 2] ; [3 1],[6.92307692 2.07692308] ; [3.07692308 0.92307692],0
a6,1,1.0,0.0,[5 5] ; [2 2],[5. 5.] ; [2. 2.],0
