Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,3.3e-05,17.212638,[3 4] ; [63  4],[6.24324324 0.75675676] ; [59.75675676  7.24324324],1
n4,1,0.034526,4.468482,[2 5] ; [46 21],[4.54054054 2.45945946] ; [43.45945946 23.54054054],0
s7,1,0.06092,3.512149,[1 6] ; [32 30],[3.34782609 3.65217391] ; [29.65217391 32.34782609],0
n6,1,0.063482,3.443992,[3 4] ; [50 16],[5.08219178 1.91780822] ; [47.91780822 18.08219178],0
s8,1,0.077889,3.108399,[1 6] ; [32 33],[3.20833333 3.79166667] ; [29.79166667 35.20833333],0
a7,1,0.08024,3.060025,[2 5] ; [42 25],[4.16216216 2.83783784] ; [39.83783784 27.16216216],0
p9,1,0.081124,3.042245,[3 4] ; [49 17],[4.98630137 2.01369863] ; [47.01369863 18.98630137],0
s6,1,0.092351,2.832906,[3 4] ; [47 17],[4.92957746 2.07042254] ; [45.07042254 18.92957746],0
b4,1,0.095996,2.770841,[2 5] ; [41 26],[4.06756757 2.93243243] ; [38.93243243 28.06756757],0
s1,1,0.116683,2.461289,[2 5] ; [ 6 60],[0.76712329 6.23287671] ; [ 7.23287671 58.76712329],0
d2,1,0.165641,1.921962,[5 2] ; [29 37],[3.26027397 3.73972603] ; [30.73972603 35.26027397],0
n5,1,0.169677,1.885791,[3 4] ; [46 21],[4.63513514 2.36486486] ; [44.36486486 22.63513514],0
d5,1,0.179413,1.802484,[3 4] ; [45 21],[4.60273973 2.39726027] ; [43.39726027 22.60273973],0
a3,1,0.190741,1.711888,[6 1] ; [40 26],[4.4109589 2.5890411] ; [41.5890411 24.4109589],0
r3,1,0.220684,1.49992,[5 2] ; [59  8],[6.05405405 0.94594595] ; [57.94594595  9.05405405],0
s2,1,0.245332,1.349689,[3 4] ; [43 23],[4.4109589 2.5890411] ; [41.5890411 24.4109589],0
p10,1,0.245332,1.349689,[3 4] ; [43 23],[4.4109589 2.5890411] ; [41.5890411 24.4109589],0
s3,1,0.258554,1.276484,[3 4] ; [42 23],[4.375 2.625] ; [40.625 24.375],0
b3,1,0.335924,0.925926,[1 4] ; [19 26],[2. 3.] ; [18. 27.],0
b2,1,0.335924,0.925926,[1 4] ; [19 26],[2. 3.] ; [18. 27.],0
b1,1,0.39007,0.738725,[4 3] ; [27 40],[2.93243243 4.06756757] ; [28.06756757 38.93243243],0
v2,1,0.396498,0.718921,[5 2] ; [35 29],[3.94366197 3.05633803] ; [36.05633803 27.94366197],0
v3,1,0.420776,0.648148,[2 5] ; [28 35],[3. 4.] ; [27. 36.],0
n1,1,0.448599,0.574189,[1 2] ; [13 10],[1.61538462 1.38461538] ; [12.38461538 10.61538462],0
a6,1,0.455518,0.556884,[3 4] ; [38 28],[3.93150685 3.06849315] ; [37.06849315 28.93150685],0
n2,1,0.50992,0.434231,[2 1] ; [19  4],[2.42307692 0.57692308] ; [18.57692308  4.42307692],0
a1,1,0.529161,0.396003,[1 6] ; [ 5 62],[0.56756757 6.43243243] ; [ 5.43243243 61.56756757],0
p11,1,0.593751,0.284524,[4 3] ; [45 22],[4.63513514 2.36486486] ; [44.36486486 22.63513514],0
a5,1,0.593751,0.284524,[4 3] ; [45 22],[4.63513514 2.36486486] ; [44.36486486 22.63513514],0
s4,1,0.595019,0.282575,[1 6] ; [15 50],[1.55555556 5.44444444] ; [14.44444444 50.55555556],0
b5,1,0.652883,0.202285,[4 3] ; [44 23],[4.54054054 2.45945946] ; [43.45945946 23.54054054],0
a4,1,0.663083,0.1898,[4 3] ; [32 34],[3.45205479 3.54794521] ; [32.54794521 33.45205479],0
d1,1,0.691206,0.157783,[3 4] ; [34 33],[3.5 3.5] ; [33.5 33.5],0
p4,1,0.735079,0.114499,[3 4] ; [24 42],[2.5890411 4.4109589] ; [24.4109589 41.5890411],0
p1,1,0.755678,0.096821,[1 6] ; [ 7 60],[0.75675676 6.24324324] ; [ 7.24324324 59.75675676],0
a2,1,0.810488,0.057502,[1 6] ; [12 55],[1.22972973 5.77027027] ; [11.77027027 55.22972973],0
p7,1,0.935538,0.006541,[3 4] ; [26 37],[2.9 4.1] ; [26.1 36.9],0
p3,1,0.940504,0.005571,[2 4] ; [23 43],[2.08333333 3.91666667] ; [22.91666667 43.08333333],0
d3,1,0.956241,0.003011,[4 3] ; [37 29],[3.93150685 3.06849315] ; [37.06849315 28.93150685],0
n3,1,0.96042,0.002463,[2 1] ; [15  8],[1.96153846 1.03846154] ; [15.03846154  7.96153846],0
d4,1,0.990402,0.000145,[5 2] ; [47 19],[4.98630137 2.01369863] ; [47.01369863 18.98630137],0
p8,1,0.9905,0.000142,[2 5] ; [19 48],[1.98648649 5.01351351] ; [19.01351351 47.98648649],0
