Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.010974,6.469586,[20 30] ; [19  8],[25.32467532 24.67532468] ; [13.67532468 13.32467532],0
p9,1,0.014488,5.977636,[24 25] ; [21  6],[29.01315789 19.98684211] ; [15.98684211 11.01315789],0
p2,1,0.04908,3.872607,[23 25] ; [18  7],[26.95890411 21.04109589] ; [14.04109589 10.95890411],0
s6,1,0.065776,3.385417,[14 35] ; [13 13],[17.64 31.36] ; [ 9.36 16.64],0
p3,1,0.076607,3.135452,[12 38] ; [11 14],[15.33333333 34.66666667] ; [ 7.66666667 17.33333333],0
n3,1,0.079736,3.070275,[ 9 16] ; [8 4],[11.48648649 13.51351351] ; [5.51351351 6.48648649],0
s4,1,0.102867,2.660517,[11 39] ; [ 2 25],[ 8.44155844 41.55844156] ; [ 4.55844156 22.44155844],0
n1,1,0.106125,2.611,[ 8 18] ; [7 5],[10.26315789 15.73684211] ; [4.73684211 7.26315789],0
s8,1,0.129551,2.297878,[ 6 43] ; [ 7 20],[ 8.38157895 40.61842105] ; [ 4.61842105 22.38157895],0
n2,1,0.146807,2.105114,[13 13] ; [9 3],[15.05263158 10.94736842] ; [6.94736842 5.05263158],0
d2,1,0.197214,1.662888,[27 21] ; [11 16],[24.32 23.68] ; [13.68 13.32],0
b5,1,0.209224,1.576788,[24 26] ; [17 10],[26.62337662 23.37662338] ; [14.37662338 12.62337662],0
v3,1,0.248368,1.332458,[12 37] ; [10 17],[14.18421053 34.81578947] ; [ 7.81578947 19.18421053],0
d4,1,0.258448,1.277051,[30 19] ; [20  7],[32.23684211 16.76315789] ; [17.76315789  9.23684211],0
v2,1,0.277655,1.178532,[16 32] ; [12 14],[18.16216216 29.83783784] ; [ 9.83783784 16.16216216],0
n4,1,0.281837,1.158208,[27 23] ; [18  9],[29.22077922 20.77922078] ; [15.77922078 11.22077922],0
a7,1,0.288646,1.125926,[28 21] ; [12 15],[25.78947368 23.21052632] ; [14.21052632 12.78947368],0
p8,1,0.299109,1.078162,[17 32] ; [ 6 20],[15.02666667 33.97333333] ; [ 7.97333333 18.02666667],0
v4,1,0.356778,0.849202,[32 16] ; [20  6],[33.72972973 14.27027027] ; [18.27027027  7.72972973],0
a2,1,0.435393,0.608395,[ 6 44] ; [ 5 22],[ 7.14285714 42.85714286] ; [ 3.85714286 23.14285714],0
s7,1,0.474667,0.511091,[14 34] ; [ 9 15],[15.33333333 32.66666667] ; [ 7.66666667 16.33333333],0
p1,1,0.510751,0.432529,[ 6 43] ; [ 2 25],[ 5.15789474 43.84210526] ; [ 2.84210526 24.15789474],0
a1,1,0.528543,0.397193,[ 6 44] ; [ 2 25],[ 5.19480519 44.80519481] ; [ 2.80519481 24.19480519],0
b4,1,0.554121,0.349986,[28 22] ; [17 10],[29.22077922 20.77922078] ; [15.77922078 11.22077922],0
a3,1,0.564544,0.331897,[30 20] ; [18  9],[31.16883117 18.83116883] ; [16.83116883 10.16883117],0
d3,1,0.621223,0.244152,[28 21] ; [17 10],[29.01315789 19.98684211] ; [15.98684211 11.01315789],0
u3,1,0.627726,0.235157,[ 7 13] ; [4 5],[ 7.5862069 12.4137931] ; [3.4137931 5.5862069],0
u2,1,0.629063,0.233333,[ 8 12] ; [4 4],[ 8.57142857 11.42857143] ; [3.42857143 4.57142857],0
p5,1,0.632507,0.228677,[ 4 45] ; [ 3 23],[ 4.57333333 44.42666667] ; [ 2.42666667 23.57333333],0
p4,1,0.648384,0.207943,[18 32] ; [ 8 18],[17.10526316 32.89473684] ; [ 8.89473684 17.10526316],0
u1,1,0.664826,0.187714,[ 3 47] ; [ 1 26],[ 2.5974026 47.4025974] ; [ 1.4025974 25.5974026],0
d5,1,0.705717,0.142593,[35 15] ; [20  7],[35.71428571 14.28571429] ; [19.28571429  7.71428571],0
a6,1,0.727221,0.121679,[28 22] ; [14 13],[27.27272727 22.72727273] ; [14.72727273 12.27272727],0
d1,1,0.747002,0.104068,[24 26] ; [14 13],[24.67532468 25.32467532] ; [13.32467532 13.67532468],0
p11,1,0.747002,0.104068,[26 24] ; [13 14],[25.32467532 24.67532468] ; [13.67532468 13.32467532],0
s5,1,0.751565,0.10022,[ 9 38] ; [ 6 21],[ 9.52702703 37.47297297] ; [ 5.47297297 21.52702703],0
b3,1,0.754376,0.09789,[11 16] ; [5 9],[10.53658537 16.46341463] ; [5.46341463 8.53658537],0
b2,1,0.754376,0.09789,[11 16] ; [5 9],[10.53658537 16.46341463] ; [5.46341463 8.53658537],0
a5,1,0.76541,0.089033,[26 24] ; [15 12],[26.62337662 23.37662338] ; [14.37662338 12.62337662],0
r3,1,0.772337,0.083705,[25 23] ; [15 12],[25.6 22.4] ; [14.4 12.6],0
n6,1,0.784296,0.074925,[28 21] ; [14 12],[27.44 21.56] ; [14.56 11.44],0
s1,1,0.810985,0.057195,[ 3 47] ; [ 2 25],[ 3.24675325 46.75324675] ; [ 1.75324675 25.24675325],0
p7,1,0.834876,0.043452,[18 30] ; [10 15],[18.4109589 29.5890411] ; [ 9.5890411 15.4109589],0
p10,1,0.842961,0.039246,[29 20] ; [16 10],[29.4 19.6] ; [15.6 10.4],0
a4,1,0.866781,0.02814,[19 30] ; [11 16],[19.34210526 29.65789474] ; [10.65789474 16.34210526],0
p6,1,0.891547,0.01859,[12 37] ; [ 6 20],[11.76 37.24] ; [ 6.24 19.76],0
s2,1,0.904757,0.014317,[17 32] ; [ 9 18],[16.76315789 32.23684211] ; [ 9.23684211 17.76315789],0
n5,1,0.904757,0.014317,[32 18] ; [17  9],[32.23684211 17.76315789] ; [16.76315789  9.23684211],0
r1,1,0.944789,0.004796,[15 35] ; [ 8 18],[15.13157895 34.86842105] ; [ 7.86842105 18.13157895],0
s3,1,0.957448,0.002847,[20 28] ; [11 15],[20.10810811 27.89189189] ; [10.89189189 15.10810811],0
