Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,1e-06,24.014784,[ 3 11] ; [39  5],[10.13793103  3.86206897] ; [31.86206897 12.13793103],1
r3,1,0.000345,12.806402,[9 5] ; [43  1],[12.55172414  1.44827586] ; [39.44827586  4.55172414],1
v4,1,0.002261,9.324626,[10  4] ; [43  1],[12.79310345  1.20689655] ; [40.20689655  3.79310345],0
r2,1,0.006792,7.327232,[9 4] ; [42  2],[11.63157895  1.36842105] ; [39.36842105  4.63157895],0
a5,1,0.012078,6.299353,[5 9] ; [32 12],[8.93103448 5.06896552] ; [28.06896552 15.93103448],0
d3,1,0.01788,5.607893,[7 7] ; [36  8],[10.37931034  3.62068966] ; [32.62068966 11.37931034],0
d1,1,0.021572,5.27997,[ 4 10] ; [28 16],[7.72413793 6.27586207] ; [24.27586207 19.72413793],0
b4,1,0.030541,4.678551,[5 9] ; [30 14],[8.44827586 5.55172414] ; [26.55172414 17.44827586],0
n4,1,0.030541,4.678551,[5 9] ; [30 14],[8.44827586 5.55172414] ; [26.55172414 17.44827586],0
d5,1,0.031215,4.641098,[7 7] ; [35  9],[10.13793103  3.86206897] ; [31.86206897 12.13793103],0
p2,1,0.060215,3.531456,[8 6] ; [36  8],[10.62068966  3.37931034] ; [33.37931034 10.62068966],0
v2,1,0.065608,3.38961,[ 4 10] ; [25 19],[7. 7.] ; [22. 22.],0
a7,1,0.114536,2.490492,[7 7] ; [32 12],[9.4137931 4.5862069] ; [29.5862069 14.4137931],0
n1,1,0.13057,2.285714,[3 6] ; [5 2],[4.5 4.5] ; [3.5 3.5],0
n3,1,0.13057,2.285714,[3 6] ; [5 2],[4.5 4.5] ; [3.5 3.5],0
p3,1,0.14047,2.172807,[ 4 10] ; [22 21],[6.38596491 7.61403509] ; [19.61403509 23.38596491],0
s3,1,0.168715,1.894326,[5 9] ; [25 19],[7.24137931 6.75862069] ; [22.75862069 21.24137931],0
d4,1,0.170639,1.877323,[9 5] ; [36  8],[10.86206897  3.13793103] ; [34.13793103  9.86206897],0
s8,1,0.186322,1.746465,[ 2 12] ; [14 29],[ 3.92982456 10.07017544] ; [12.07017544 30.92982456],0
s6,1,0.189496,1.721534,[6 8] ; [27 16],[8.10526316 5.89473684] ; [24.89473684 18.10526316],0
a4,1,0.195135,1.678414,[ 1 13] ; [10 34],[ 2.65517241 11.34482759] ; [ 8.34482759 35.65517241],0
d2,1,0.219675,1.506494,[5 9] ; [24 20],[7. 7.] ; [22. 22.],0
s4,1,0.226792,1.46087,[ 4 10] ; [ 6 36],[ 2.5 11.5] ; [ 7.5 34.5],0
v1,1,0.238064,1.39202,[ 3 11] ; [17 27],[4.82758621 9.17241379] ; [15.17241379 28.82758621],0
s5,1,0.274813,1.192564,[ 1 12] ; [ 9 34],[ 2.32142857 10.67857143] ; [ 7.67857143 35.32142857],0
n5,1,0.287417,1.131681,[6 8] ; [26 18],[7.72413793 6.27586207] ; [24.27586207 19.72413793],0
p4,1,0.341319,0.905472,[7 6] ; [30 14],[8.43859649 4.56140351] ; [28.56140351 15.43859649],0
v3,1,0.346854,0.884935,[ 3 11] ; [15 28],[4.42105263 9.57894737] ; [13.57894737 29.42105263],0
n2,1,0.382733,0.761905,[6 3] ; [6 1],[6.75 2.25] ; [5.25 1.75],0
a3,1,0.445891,0.581076,[6 8] ; [24 20],[7.24137931 6.75862069] ; [22.75862069 21.24137931],0
b1,1,0.452094,0.565397,[7 7] ; [27 17],[8.20689655 5.79310345] ; [25.79310345 18.20689655],0
u1,1,0.515947,0.421987,[ 1 13] ; [ 6 38],[ 1.68965517 12.31034483] ; [ 5.31034483 38.68965517],0
a2,1,0.515947,0.421987,[ 1 13] ; [ 6 38],[ 1.68965517 12.31034483] ; [ 5.31034483 38.68965517],0
n6,1,0.543431,0.369217,[8 5] ; [31 13],[8.89473684 4.10526316] ; [30.10526316 13.89473684],0
p7,1,0.544467,0.367323,[11  2] ; [33 10],[10.21428571  2.78571429] ; [33.78571429  9.21428571],0
p11,1,0.655021,0.199628,[7 7] ; [25 19],[7.72413793 6.27586207] ; [24.27586207 19.72413793],0
b5,1,0.662739,0.190214,[8 6] ; [28 16],[8.68965517 5.31034483] ; [27.31034483 16.68965517],0
s2,1,0.704428,0.143906,[7 7] ; [19 24],[6.38596491 7.61403509] ; [19.61403509 23.38596491],0
u2,1,0.71714,0.13125,[5 3] ; [11  9],[4.57142857 3.42857143] ; [11.42857143  8.57142857],0
u3,1,0.810595,0.057436,[4 4] ; [11  9],[4.28571429 3.71428571] ; [10.71428571  9.28571429],0
p6,1,0.825789,0.048446,[5 9] ; [16 25],[5.34545455 8.65454545] ; [15.65454545 25.34545455],0
s7,1,0.873382,0.025397,[5 9] ; [16 26],[5.25 8.75] ; [15.75 26.25],0
a6,1,0.911374,0.012389,[9 5] ; [29 15],[9.17241379 4.82758621] ; [28.82758621 15.17241379],0
p10,1,0.964879,0.001939,[5 9] ; [16 28],[5.06896552 8.93103448] ; [15.93103448 28.06896552],0
p5,1,0.966693,0.001744,[ 1 13] ; [ 3 41],[ 0.96551724 13.03448276] ; [ 3.03448276 40.96551724],0
