Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,49.22484,[1 9] ; [154  17],[8.56353591 1.43646409] ; [146.43646409  24.56353591],1
a6,1,0.0002,13.826403,[1 9] ; [116  55],[6.4640884 3.5359116] ; [110.5359116  60.4640884],1
n6,1,0.001062,10.715787,[2 8] ; [119  51],[6.72222222 3.27777778] ; [114.27777778  55.72222222],0
r1,1,0.001149,10.571297,[3 7] ; [130  40],[7.38888889 2.61111111] ; [125.61111111  44.38888889],0
s6,1,0.005574,7.683027,[2 8] ; [108  61],[6.1452514 3.8547486] ; [103.8547486  65.1452514],0
d5,1,0.005857,7.593837,[4 6] ; [133  37],[7.61111111 2.38888889] ; [129.38888889  40.61111111],0
v2,1,0.006858,7.30974,[1 9] ; [87 74],[5.14619883 4.85380117] ; [82.85380117 78.14619883],0
a5,1,0.012478,6.241689,[3 7] ; [117  54],[6.62983425 3.37016575] ; [113.37016575  57.62983425],0
s2,1,0.024097,5.087647,[1 9] ; [79 91],[4.44444444 5.55555556] ; [75.55555556 94.44444444],0
d1,1,0.025791,4.969987,[2 8] ; [96 75],[5.41436464 4.58563536] ; [92.58563536 78.41436464],0
b1,1,0.028077,4.823321,[6 4] ; [ 47 124],[2.9281768 7.0718232] ; [ 50.0718232 120.9281768],0
d2,1,0.05542,3.669409,[1 9] ; [ 69 102],[3.86740331 6.13259669] ; [ 66.13259669 104.86740331],0
v4,1,0.060447,3.52507,[8 2] ; [160   9],[9.38547486 0.61452514] ; [158.61452514  10.38547486],0
p11,1,0.066181,3.375288,[5 5] ; [130  41],[7.45856354 2.54143646] ; [127.54143646  43.45856354],0
n3,1,0.074305,3.185268,[1 2] ; [37 10],[2.28 0.72] ; [35.72 11.28],0
s3,1,0.077871,3.108776,[2 7] ; [88 80],[4.57627119 4.42372881] ; [85.42372881 82.57627119],0
r2,1,0.085221,2.962412,[8 2] ; [158  10],[9.3258427 0.6741573] ; [156.6741573  11.3258427],0
p1,1,0.175076,1.838935,[2 8] ; [ 13 155],[0.84269663 9.15730337] ; [ 14.15730337 153.84269663],0
n4,1,0.188592,1.72858,[2 8] ; [ 70 101],[3.97790055 6.02209945] ; [ 68.02209945 102.97790055],0
p6,1,0.194948,1.679825,[1 9] ; [ 48 118],[2.78409091 7.21590909] ; [ 46.21590909 119.78409091],0
d4,1,0.215061,1.537029,[7 3] ; [145  26],[8.39779006 1.60220994] ; [143.60220994  27.39779006],0
s8,1,0.224787,1.473544,[2 8] ; [ 67 104],[3.8121547 6.1878453] ; [ 65.1878453 105.8121547],0
p10,1,0.24864,1.330931,[7 3] ; [142  27],[8.32402235 1.67597765] ; [140.67597765  28.32402235],0
a4,1,0.265773,1.238435,[2 8] ; [ 64 107],[3.64640884 6.35359116] ; [ 62.35359116 108.64640884],0
s1,1,0.30078,1.070733,[1 9] ; [  6 165],[0.38674033 9.61325967] ; [  6.61325967 164.38674033],0
s4,1,0.399561,0.709646,[1 9] ; [ 36 135],[2.0441989 7.9558011] ; [ 34.9558011 136.0441989],0
p7,1,0.41137,0.674837,[4 5] ; [98 70],[5.18644068 3.81355932] ; [96.81355932 71.18644068],0
s5,1,0.424683,0.637321,[2 8] ; [ 51 108],[3.13609467 6.86390533] ; [ 49.86390533 109.13609467],0
s7,1,0.46922,0.523813,[2 6] ; [ 64 106],[2.96629213 5.03370787] ; [ 63.03370787 106.96629213],0
b2,1,0.506612,0.441058,[1 4] ; [32 61],[1.68367347 3.31632653] ; [31.31632653 61.68367347],0
b3,1,0.506612,0.441058,[1 4] ; [32 61],[1.68367347 3.31632653] ; [31.31632653 61.68367347],0
u3,1,0.518345,0.417185,[3 1] ; [34 24],[2.38709677 1.61290323] ; [34.61290323 23.38709677],0
p3,1,0.521381,0.411161,[5 5] ; [ 68 103],[4.03314917 5.96685083] ; [ 68.96685083 102.03314917],0
a7,1,0.542684,0.370588,[7 3] ; [133  37],[7.77777778 2.22222222] ; [132.22222222  37.77777778],0
u2,1,0.560557,0.33874,[3 1] ; [35 23],[2.4516129 1.5483871] ; [35.5483871 22.4516129],0
v3,1,0.612052,0.257197,[2 8] ; [ 44 117],[2.69005848 7.30994152] ; [ 43.30994152 117.69005848],0
n1,1,0.696233,0.15242,[1 2] ; [11 36],[0.72 2.28] ; [11.28 35.72],0
p8,1,0.728282,0.120695,[5 5] ; [75 94],[4.46927374 5.53072626] ; [75.53072626 93.46927374],0
a3,1,0.733023,0.116354,[6 4] ; [111  59],[6.5 3.5] ; [110.5  59.5],0
d3,1,0.740217,0.109936,[7 3] ; [127  43],[7.44444444 2.55555556] ; [126.55555556  43.44444444],0
p4,1,0.798725,0.065024,[4 6] ; [75 95],[4.38888889 5.61111111] ; [74.61111111 95.38888889],0
p2,1,0.856905,0.032514,[8 2] ; [139  30],[8.2122905 1.7877095] ; [138.7877095  30.2122905],0
b5,1,0.870278,0.026669,[6 4] ; [107  64],[6.24309392 3.75690608] ; [106.75690608  64.24309392],0
b4,1,0.958895,0.002656,[6 4] ; [104  67],[6.07734807 3.92265193] ; [103.92265193  67.07734807],0
v1,1,1.0,0.0,[4 6] ; [66 99],[4. 6.] ; [66. 99.],0
