Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,50.105771,[39 62] ; [217  64],[67.68586387 33.31413613] ; [188.31413613  92.68586387],1
d3,1,0.0,40.782696,[46 55] ; [223  58],[71.12303665 29.87696335] ; [197.87696335  83.12303665],1
a2,1,7.3e-05,15.728105,[ 8 93] ; [ 76 206],[22.15143603 78.84856397] ; [ 61.84856397 220.15143603],1
u1,1,0.001674,9.876306,[ 5 96] ; [ 50 232],[14.50391645 86.49608355] ; [ 40.49608355 241.50391645],0
b5,1,0.002843,8.905411,[50 51] ; [187  95],[62.49869452 38.50130548] ; [174.50130548 107.49869452],0
p2,1,0.007561,7.134564,[67 33] ; [226  56],[76.70157068 23.29842932] ; [216.29842932  65.70157068],0
d1,1,0.007581,7.129806,[45 56] ; [169 113],[56.43342037 44.56657963] ; [157.56657963 124.43342037],0
d5,1,0.018736,5.525968,[71 30] ; [229  52],[79.31937173 21.68062827] ; [220.68062827  60.31937173],0
a5,1,0.019308,5.473409,[62 39] ; [208  74],[71.20104439 29.79895561] ; [198.79895561  83.20104439],0
p8,1,0.019361,5.468655,[28 72] ; [113 161],[37.70053476 62.29946524] ; [103.29946524 170.70053476],0
v2,1,0.025962,4.958516,[42 54] ; [151 114],[51.32409972 44.67590028] ; [141.67590028 123.32409972],0
b2,1,0.027428,4.863647,[27 34] ; [ 44 110],[20.14418605 40.85581395] ; [ 50.85581395 103.14418605],0
b3,1,0.027428,4.863647,[27 34] ; [ 44 110],[20.14418605 40.85581395] ; [ 50.85581395 103.14418605],0
r3,1,0.032509,4.571429,[91  9] ; [270  10],[95.  5.] ; [266.  14.],0
p9,1,0.033236,4.533598,[68 31] ; [218  57],[75.70588235 23.29411765] ; [210.29411765  64.70588235],0
s6,1,0.033981,4.49568,[53 44] ; [186  93],[61.65691489 35.34308511] ; [177.34308511 101.65691489],0
d4,1,0.039931,4.220835,[76 24] ; [239  42],[82.67716535 17.32283465] ; [232.32283465  48.67716535],0
v1,1,0.051755,3.783675,[57 43] ; [126 150],[48.67021277 51.32978723] ; [134.32978723 141.67021277],0
r4,1,0.103887,2.644839,[89 12] ; [263  19],[92.82506527  8.17493473] ; [259.17493473  22.82506527],0
b1,1,0.142195,2.154046,[40 61] ; [ 89 193],[34.01827676 66.98172324] ; [ 94.98172324 187.01827676],0
v4,1,0.14282,2.147308,[90  9] ; [266  14],[92.99208443  6.00791557] ; [263.00791557  16.99208443],0
a8,1,0.189742,1.719621,[10 83] ; [ 42 214],[13.85673352 79.14326648] ; [ 38.14326648 217.85673352],0
u3,1,0.201352,1.63254,[16 17] ; [54 34],[19.09090909 13.90909091] ; [50.90909091 37.09090909],0
n6,1,0.23974,1.38212,[74 25] ; [225  55],[78.10290237 20.89709763] ; [220.89709763  59.10290237],0
p4,1,0.25887,1.274791,[32 66] ; [109 170],[36.65251989 61.34748011] ; [104.34748011 174.65251989],0
p10,1,0.271035,1.211499,[68 30] ; [208  69],[72.128 25.872] ; [203.872  73.128],0
n2,1,0.281835,1.158219,[29  8] ; [55 25],[26.56410256 10.43589744] ; [57.43589744 22.56410256],0
s2,1,0.293419,1.103869,[42 57] ; [135 143],[46.4801061 52.5198939] ; [130.5198939 147.4801061],0
a4,1,0.298145,1.082473,[48 52] ; [118 163],[43.56955381 56.43044619] ; [122.43044619 158.56955381],0
p12,1,0.382346,0.763147,[ 6 93] ; [ 11 268],[ 4.45238095 94.54761905] ; [ 12.54761905 266.45238095],0
p6,1,0.468785,0.524839,[26 73] ; [ 63 215],[23.37135279 75.62864721] ; [ 65.62864721 212.37135279],0
s1,1,0.472152,0.516934,[ 6 91] ; [ 12 263],[ 4.69354839 92.30645161] ; [ 13.30645161 261.69354839],0
p11,1,0.57181,0.319664,[76 25] ; [204  78],[73.8381201 27.1618799] ; [206.1618799  75.8381201],0
r2,1,0.578462,0.308727,[93  6] ; [267  13],[94.03693931  4.96306069] ; [265.96306069  14.03693931],0
b4,1,0.582433,0.302318,[57 44] ; [168 114],[59.33420366 41.66579634] ; [165.66579634 116.33420366],0
p1,1,0.59298,0.285714,[ 4 96] ; [ 15 265],[ 5. 95.] ; [ 14. 266.],0
n1,1,0.596256,0.280679,[15 22] ; [28 51],[13.71551724 23.28448276] ; [29.28448276 49.71551724],0
s5,1,0.607047,0.264497,[28 67] ; [ 73 200],[26.07336957 68.92663043] ; [ 74.92663043 198.07336957],0
n5,1,0.630606,0.23124,[70 29] ; [190  89],[68.0952381 30.9047619] ; [191.9047619  87.0952381],0
p7,1,0.709815,0.138462,[51 46] ; [135 133],[49.43013699 47.56986301] ; [136.56986301 131.43013699],0
p5,1,0.718157,0.130266,[ 4 94] ; [ 14 267],[ 4.65435356 93.34564644] ; [ 13.34564644 267.65435356],0
u2,1,0.718643,0.129797,[17 15] ; [50 38],[17.86666667 14.13333333] ; [49.13333333 38.86666667],0
u4,1,0.744864,0.105898,[  1 100] ; [  4 278],[ 1.31853786 99.68146214] ; [  3.68146214 278.31853786],0
s3,1,0.760984,0.092531,[53 46] ; [151 122],[54.29032258 44.70967742] ; [149.70967742 123.29032258],0
s4,1,0.806518,0.059986,[14 85] ; [ 42 235],[14.74468085 84.25531915] ; [ 41.25531915 235.74468085],0
a3,1,0.817821,0.053061,[68 33] ; [192  88],[68.92388451 32.07611549] ; [191.07611549  88.92388451],0
n4,1,0.824343,0.049267,[70 30] ; [200  81],[70.86614173 29.13385827] ; [199.13385827  81.86614173],0
s8,1,0.851835,0.034886,[37 62] ; [108 173],[37.77631579 61.22368421] ; [107.22368421 173.77631579],0
v3,1,0.900163,0.015739,[32 62] ; [ 90 180],[31.50549451 62.49450549] ; [ 90.49450549 179.50549451],0
a1,1,0.912813,0.011988,[ 3 98] ; [  9 273],[ 3.16449086 97.83550914] ; [  8.83550914 273.16449086],0
s7,1,0.98009,0.000623,[40 54] ; [117 157],[40.10326087 53.89673913] ; [116.89673913 157.10326087],0
n3,1,0.987759,0.000235,[23 11] ; [54 26],[22.96491228 11.03508772] ; [54.03508772 25.96491228],0
d2,1,0.987776,0.000235,[45 56] ; [125 155],[45.0656168 55.9343832] ; [124.9343832 155.0656168],0
