Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,148.503419,[424  46] ; [43 67],[378.43103448  91.56896552] ; [88.56896552 21.43103448],1
n6,1,0.0,31.154259,[420  51] ; [75 35],[401.28227194  69.71772806] ; [93.71772806 16.28227194],1
p2,1,0.0,30.115251,[412  61] ; [74 39],[392.28327645  80.71672355] ; [93.71672355 19.28327645],1
v4,1,1e-06,24.993518,[454  19] ; [93 19],[442.27521368  30.72478632] ; [104.72478632   7.27521368],1
s6,1,3e-06,21.587904,[314 155] ; [49 64],[292.52061856 176.47938144] ; [70.47938144 42.52061856],1
r3,1,4e-06,21.354733,[461  14] ; [96 15],[451.49317406  23.50682594] ; [105.50682594   5.49317406],1
p7,1,1.7e-05,18.523247,[289 170] ; [45 66],[268.95789474 190.04210526] ; [65.04210526 45.95789474],1
p8,1,2.2e-05,18.048804,[252 215] ; [35 76],[231.88408304 235.11591696] ; [55.11591696 55.88408304],1
p4,1,2.2e-05,17.992558,[277 194] ; [41 71],[256.90909091 214.09090909] ; [61.09090909 50.90909091],1
r4,1,2.3e-05,17.910424,[433  45] ; [86 27],[419.76649746  58.23350254] ; [99.23350254 13.76649746],1
n5,1,3.9e-05,16.938952,[351 119] ; [61 50],[333.28743546 136.71256454] ; [78.71256454 32.28743546],1
p3,1,4.7e-05,16.563626,[219 256] ; [28 84],[199.87223169 275.12776831] ; [47.12776831 64.87223169],1
s8,1,9.4e-05,15.24983,[199 275] ; [25 88],[180.879046 293.120954] ; [43.120954 69.879046],1
n4,1,0.000176,14.07382,[366 110] ; [66 45],[350.31005111 125.68994889] ; [81.68994889 29.31005111],1
v1,1,0.000955,10.913396,[250 214] ; [40 70],[234.42508711 229.57491289] ; [55.57491289 54.42508711],1
s2,1,0.001141,10.583759,[229 242] ; [35 76],[213.64948454 257.35051546] ; [50.35051546 60.64948454],0
s5,1,0.002041,9.512004,[158 303] ; [21 89],[144.51663748 316.48336252] ; [34.48336252 75.51663748],0
