Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,34.304411,[226  57] ; [38 43],[205.25274725  77.74725275] ; [58.74725275 22.25274725],1
s3,1,1e-05,19.521309,[227  54] ; [46 35],[211.91436464  69.08563536] ; [61.08563536 19.91436464],1
s6,1,1.9e-05,18.285522,[249  31] ; [57 25],[236.68508287  43.31491713] ; [69.31491713 12.68508287],1
a3,1,0.000146,14.421339,[238  45] ; [54 29],[225.78142077  57.21857923] ; [66.21857923 16.78142077],1
n5,1,0.001126,10.607484,[238  44] ; [56 26],[227.76923077  54.23076923] ; [66.23076923 15.76923077],0
n6,1,0.001514,10.061205,[256  25] ; [65 18],[247.80494505  33.19505495] ; [73.19505495  9.80494505],0
p5,1,0.00224,9.341503,[ 52 227] ; [ 4 79],[ 43.16022099 235.83977901] ; [12.83977901 70.16022099],0
s5,1,0.005322,7.766626,[133 138] ; [24 53],[122.26149425 148.73850575] ; [34.73850575 42.26149425],0
u1,1,0.010913,6.479455,[ 76 208] ; [11 72],[ 67.32425068 216.67574932] ; [19.67574932 63.32425068],0
p9,1,0.042653,4.109099,[260  23] ; [70 13],[255.16393443  27.83606557] ; [74.83606557  8.16393443],0
n1,1,0.042955,4.097175,[33 26] ; [ 4 11],[29.5 29.5] ; [7.5 7.5],0
p6,1,0.066631,3.364124,[140 140] ; [32 51],[132.67217631 147.32782369] ; [39.32782369 43.67217631],0
v3,1,0.072006,3.236693,[136 136] ; [30 48],[129.00571429 142.99428571] ; [36.99428571 41.00571429],0
n4,1,0.073671,3.199278,[238  44] ; [63 20],[232.55342466  49.44657534] ; [68.44657534 14.55342466],0
p10,1,0.07519,3.16592,[249  33] ; [67 16],[244.14246575  37.85753425] ; [71.85753425 11.14246575],0
a4,1,0.105626,2.61847,[145 139] ; [34 49],[138.51771117 145.48228883] ; [40.48228883 42.51771117],0
u4,1,0.109578,2.560291,[ 15 269] ; [ 1 82],[ 12.38147139 271.61852861] ; [ 3.61852861 79.38147139],0
a2,1,0.115527,2.476934,[ 83 201] ; [17 66],[ 77.38419619 206.61580381] ; [22.61580381 60.38419619],0
u2,1,0.137205,2.209029,[31 14] ; [15 14],[27.97297297 17.02702703] ; [18.02702703 10.97297297],0
v2,1,0.153412,2.037989,[174 100] ; [42 35],[168.61538462 105.38461538] ; [47.38461538 29.61538462],0
p1,1,0.157827,1.994923,[ 32 250] ; [ 5 78],[ 28.58630137 253.41369863] ; [ 8.41369863 74.58630137],0
r4,1,0.158222,1.991137,[271  13] ; [82  1],[273.16621253  10.83378747] ; [79.83378747  3.16621253],0
p7,1,0.162328,1.952403,[198  76] ; [52 29],[192.95774648  81.04225352] ; [57.04225352 23.95774648],0
n3,1,0.173371,1.853554,[43 17] ; [8 7],[40.8 19.2] ; [10.2  4.8],0
n2,1,0.193748,1.688889,[47 13] ; [10  6],[45. 15.] ; [12.  4.],0
p4,1,0.198102,1.656313,[192  91] ; [50 33],[187.12021858  95.87978142] ; [54.87978142 28.12021858],0
s1,1,0.2008,1.636545,[ 12 269] ; [ 1 79],[ 10.11911357 270.88088643] ; [ 2.88088643 77.11911357],0
b4,1,0.211756,1.55938,[156 128] ; [52 31],[160.95912807 123.04087193] ; [47.04087193 35.95912807],0
p12,1,0.258471,1.276928,[ 33 249] ; [ 6 76],[ 30.21428571 251.78571429] ; [ 8.78571429 73.21428571],0
d3,1,0.289829,1.120415,[202  82] ; [54 29],[198.10354223  85.89645777] ; [57.89645777 25.10354223],0
a7,1,0.291366,1.1133,[194  90] ; [61 21],[197.86885246  86.13114754] ; [57.13114754 24.86885246],0
p11,1,0.308542,1.036908,[229  55] ; [71 12],[232.15258856  51.84741144] ; [67.84741144 15.15258856],0
v1,1,0.338486,0.916158,[177  99] ; [46 33],[173.37464789 102.62535211] ; [49.62535211 29.37464789],0
a1,1,0.347335,0.88317,[ 18 266] ; [ 3 80],[ 16.2506812 267.7493188] ; [ 4.7493188 78.2506812],0
v4,1,0.351655,0.867477,[280   3] ; [81  2],[279.13387978   3.86612022] ; [81.86612022  1.13387978],0
d5,1,0.355086,0.855199,[241  42] ; [74  9],[243.56557377  39.43442623] ; [71.43442623 11.56557377],0
a5,1,0.393328,0.728627,[231  53] ; [64 19],[228.28337875  55.71662125] ; [66.71662125 16.28337875],0
s4,1,0.416963,0.658859,[ 59 223] ; [14 69],[ 56.4 225.6] ; [16.6 66.4],0
a8,1,0.434504,0.610755,[ 46 211] ; [11 67],[ 43.72835821 213.27164179] ; [13.27164179 64.72835821],0
d4,1,0.536969,0.381187,[243  40] ; [69 14],[241.24590164  41.75409836] ; [70.75409836 12.24590164],0
p2,1,0.555672,0.347254,[238  45] ; [72 11],[239.69945355  43.30054645] ; [70.30054645 12.69945355],0
d2,1,0.603757,0.269367,[162 122] ; [50 33],[164.05449591 119.94550409] ; [47.94550409 35.05449591],0
b1,1,0.63898,0.220079,[115 169] ; [36 47],[116.85013624 167.14986376] ; [34.14986376 48.85013624],0
d1,1,0.740449,0.109732,[193  91] ; [58 25],[194.23433243  89.76566757] ; [56.76566757 26.23433243],0
u3,1,0.797237,0.06601,[33 13] ; [20  9],[32.50666667 13.49333333] ; [20.49333333  8.50666667],0
a6,1,0.834262,0.043781,[191  92] ; [55 28],[190.21311475  92.78688525] ; [55.78688525 27.21311475],0
r3,1,0.840907,0.040294,[275   9] ; [80  3],[274.71389646   9.28610354] ; [80.28610354  2.71389646],0
r1,1,0.853462,0.034115,[243  39] ; [70 12],[242.48901099  39.51098901] ; [70.51098901 11.48901099],0
p8,1,0.858353,0.031852,[163 116] ; [47 35],[162.29916898 116.70083102] ; [47.70083102 34.29916898],0
p3,1,0.874407,0.024984,[167 117] ; [48 35],[166.3760218 117.6239782] ; [48.6239782 34.3760218],0
b5,1,0.938744,0.005906,[169 115] ; [49 34],[168.69754768 115.30245232] ; [49.30245232 33.69754768],0
b2,1,0.971667,0.001262,[ 91 115] ; [24 30],[ 91.11538462 114.88461538] ; [23.88461538 30.11538462],0
b3,1,0.971667,0.001262,[ 91 115] ; [24 30],[ 91.11538462 114.88461538] ; [23.88461538 30.11538462],0
