Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.519509,[2 5] ; [67  6],[6.0375 0.9625] ; [62.9625 10.0375],1
r3,1,2.8e-05,17.544684,[4 3] ; [71  2],[6.5625 0.4375] ; [68.4375  4.5625],1
r2,1,0.000201,13.823452,[4 3] ; [70  3],[6.475 0.525] ; [67.525  5.475],1
p11,1,0.004373,8.121953,[1 6] ; [50 23],[4.4625 2.5375] ; [46.5375 26.4625],0
s1,1,0.011835,6.335493,[3 4] ; [ 7 65],[0.88607595 6.11392405] ; [ 9.11392405 62.88607595],0
s8,1,0.030828,4.662539,[1 6] ; [41 31],[3.72151899 3.27848101] ; [38.27848101 33.72151899],0
n2,1,0.04329,4.08404,[1 2] ; [21  4],[2.35714286 0.64285714] ; [19.64285714  5.35714286],0
d5,1,0.045431,4.002553,[3 4] ; [55 16],[5.20512821 1.79487179] ; [52.79487179 18.20512821],0
s7,1,0.056541,3.636034,[1 4] ; [43 25],[3.01369863 1.98630137] ; [40.98630137 27.01369863],0
a4,1,0.065449,3.393611,[1 6] ; [37 36],[3.325 3.675] ; [34.675 38.325],0
a7,1,0.075592,3.157208,[2 5] ; [46 27],[4.2 2.8] ; [43.8 29.2],0
v2,1,0.106132,2.610897,[2 5] ; [41 27],[4.01333333 2.98666667] ; [38.98666667 29.01333333],0
a5,1,0.121811,2.39388,[3 4] ; [52 21],[4.8125 2.1875] ; [50.1875 22.8125],0
a6,1,0.138685,2.19249,[2 5] ; [41 30],[3.85897436 3.14102564] ; [39.14102564 31.85897436],0
d1,1,0.141194,2.164898,[2 5] ; [42 31],[3.85 3.15] ; [40.15 32.85],0
u3,1,0.170016,1.882799,[1 2] ; [16  6],[2.04 0.96] ; [14.96  7.04],0
n3,1,0.175409,1.836101,[1 2] ; [18  7],[2.03571429 0.96428571] ; [16.96428571  8.03571429],0
n5,1,0.228686,1.449014,[3 4] ; [48 25],[4.4625 2.5375] ; [46.5375 26.4625],0
p8,1,0.295839,1.092858,[3 4] ; [18 55],[1.8375 5.1625] ; [19.1625 53.8375],0
v3,1,0.321985,0.980867,[4 3] ; [25 41],[2.78082192 4.21917808] ; [26.21917808 39.78082192],0
p6,1,0.332125,0.940595,[1 6] ; [23 49],[2.12658228 4.87341772] ; [21.87341772 50.12658228],0
n6,1,0.35343,0.861103,[4 3] ; [53 19],[5.05063291 1.94936709] ; [51.94936709 20.05063291],0
d3,1,0.363534,0.82565,[3 4] ; [43 28],[4.12820513 2.87179487] ; [41.87179487 29.12820513],0
v1,1,0.363534,0.82565,[3 4] ; [43 28],[4.12820513 2.87179487] ; [41.87179487 29.12820513],0
s6,1,0.365155,0.820085,[5 2] ; [61 11],[5.84810127 1.15189873] ; [60.15189873 11.84810127],0
b4,1,0.371233,0.799535,[3 4] ; [44 29],[4.1125 2.8875] ; [42.8875 30.1125],0
p7,1,0.383826,0.758413,[2 5] ; [32 38],[3.09090909 3.90909091] ; [30.90909091 39.09090909],0
s3,1,0.431012,0.620094,[5 2] ; [60 12],[5.75949367 1.24050633] ; [59.24050633 12.75949367],0
a3,1,0.487946,0.481053,[4 3] ; [51 22],[4.8125 2.1875] ; [50.1875 22.8125],0
p4,1,0.500451,0.45398,[2 5] ; [30 42],[2.83544304 4.16455696] ; [29.16455696 42.83544304],0
b5,1,0.59373,0.284557,[4 3] ; [49 24],[4.6375 2.3625] ; [48.3625 24.6375],0
d4,1,0.61399,0.254406,[6 1] ; [55 16],[5.47435897 1.52564103] ; [55.52564103 15.47435897],0
n4,1,0.648207,0.208168,[4 3] ; [48 25],[4.55 2.45] ; [47.45 25.55],0
n1,1,0.681225,0.16875,[1 2] ; [11 13],[1.33333333 1.66666667] ; [10.66666667 13.33333333],0
p1,1,0.692348,0.156556,[1 6] ; [ 7 66],[0.7 6.3] ; [ 7.3 65.7],0
p3,1,0.723711,0.124964,[3 4] ; [26 46],[2.56962025 4.43037975] ; [26.43037975 45.56962025],0
d2,1,0.74506,0.105729,[4 3] ; [36 35],[3.58974359 3.41025641] ; [36.41025641 34.58974359],0
b1,1,0.796786,0.066311,[3 4] ; [35 38],[3.325 3.675] ; [34.675 38.325],0
r1,1,0.819303,0.052185,[5 2] ; [55 18],[5.25 1.75] ; [54.75 18.25],0
s4,1,0.947012,0.004417,[2 5] ; [20 53],[1.925 5.075] ; [20.075 52.925],0
