Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,28.242373,[5 6] ; [88  4],[9.93203883 1.06796117] ; [83.06796117  8.93203883],1
r2,1,5e-06,20.81963,[6 5] ; [88  4],[10.03883495  0.96116505] ; [83.96116505  8.03883495],1
r3,1,5e-06,20.81963,[6 5] ; [88  4],[10.03883495  0.96116505] ; [83.96116505  8.03883495],1
r1,1,4.1e-05,16.834276,[3 8] ; [76 16],[8.4368932 2.5631068] ; [70.5631068 21.4368932],1
p9,1,0.002442,9.183315,[3 8] ; [66 25],[7.44117647 3.55882353] ; [61.55882353 29.44117647],0
p10,1,0.012694,6.211305,[3 8] ; [60 31],[6.79411765 4.20588235] ; [56.20588235 34.79411765],0
n6,1,0.01554,5.854198,[6 5] ; [77 14],[8.95098039 2.04901961] ; [74.04901961 16.95098039],0
s8,1,0.017595,5.636021,[2 9] ; [51 40],[5.71568627 5.28431373] ; [47.28431373 43.71568627],0
s3,1,0.063337,3.447785,[4 7] ; [58 31],[6.82 4.18] ; [55.18 33.82],0
v3,1,0.064522,3.417152,[2 9] ; [40 44],[4.86315789 6.13684211] ; [37.13684211 46.86315789],0
b5,1,0.065166,3.400776,[10  1] ; [58 34],[7.26213592 3.73786408] ; [60.73786408 31.26213592],0
n2,1,0.073654,3.199643,[3 3] ; [21  4],[4.64516129 1.35483871] ; [19.35483871  5.64516129],0
n3,1,0.075458,3.160121,[2 4] ; [18  7],[3.87096774 2.12903226] ; [16.12903226  8.87096774],0
n1,1,0.099593,2.712054,[1 5] ; [13 11],[2.8 3.2] ; [11.2 12.8],0
n4,1,0.108023,2.582905,[5 6] ; [64 28],[7.36893204 3.63106796] ; [61.63106796 30.36893204],0
s5,1,0.147073,2.10235,[2 8] ; [39 50],[4.14141414 5.85858586] ; [36.85858586 52.14141414],0
u2,1,0.17462,1.842826,[1 3] ; [20 13],[2.27027027 1.72972973] ; [18.72972973 14.27027027],0
p11,1,0.199199,1.648237,[5 6] ; [60 32],[6.94174757 4.05825243] ; [58.05825243 33.94174757],0
b3,1,0.219436,1.508055,[1 6] ; [23 38],[2.47058824 4.52941176] ; [21.52941176 39.47058824],0
b2,1,0.219436,1.508055,[1 6] ; [23 38],[2.47058824 4.52941176] ; [21.52941176 39.47058824],0
a4,1,0.260688,1.265102,[3 8] ; [41 50],[4.74509804 6.25490196] ; [39.25490196 51.74509804],0
p6,1,0.287487,1.131351,[2 9] ; [31 60],[3.55882353 7.44117647] ; [29.44117647 61.55882353],0
d3,1,0.340541,0.908395,[8 3] ; [52 38],[6.53465347 4.46534653] ; [53.46534653 36.53465347],0
n5,1,0.395255,0.722714,[6 5] ; [62 30],[7.26213592 3.73786408] ; [60.73786408 31.26213592],0
p8,1,0.417991,0.655956,[4 7] ; [23 69],[2.88349515 8.11650485] ; [24.11650485 67.88349515],0
s2,1,0.455329,0.557352,[6 5] ; [60 31],[7.11764706 3.88235294] ; [58.88235294 32.11764706],0
p3,1,0.468471,0.52558,[3 8] ; [35 56],[4.09803922 6.90196078] ; [33.90196078 57.09803922],0
s7,1,0.468864,0.524652,[5 6] ; [49 37],[6.12371134 4.87628866] ; [47.87628866 38.12371134],0
b4,1,0.533507,0.387707,[6 5] ; [59 33],[6.94174757 4.05825243] ; [58.05825243 33.94174757],0
a7,1,0.533507,0.387707,[6 5] ; [59 33],[6.94174757 4.05825243] ; [58.05825243 33.94174757],0
s4,1,0.552411,0.353015,[4 7] ; [25 65],[3.15841584 7.84158416] ; [25.84158416 64.15841584],0
u3,1,0.652998,0.202142,[3 1] ; [21 12],[2.59459459 1.40540541] ; [21.40540541 11.59459459],0
d2,1,0.723181,0.125465,[6 5] ; [44 46],[5.44554455 5.55445545] ; [44.55445545 45.44554455],0
v2,1,0.7273,0.121605,[7 4] ; [50 36],[6.46391753 4.53608247] ; [50.53608247 35.46391753],0
a5,1,0.744991,0.105788,[7 4] ; [63 29],[7.47572816 3.52427184] ; [62.52427184 29.47572816],0
v1,1,0.749271,0.102145,[5 6] ; [45 44],[5.5 5.5] ; [44.5 44.5],0
p5,1,0.761902,0.091799,[ 1 10] ; [11 79],[1.30693069 9.69306931] ; [10.69306931 79.30693069],0
p4,1,0.762139,0.091611,[4 7] ; [37 53],[4.46534653 6.53465347] ; [36.53465347 53.46534653],0
b1,1,0.775667,0.081208,[6 5] ; [46 46],[5.55339806 5.44660194] ; [46.44660194 45.55339806],0
d4,1,0.837435,0.042097,[8 3] ; [68 22],[8.27722772 2.72277228] ; [67.72277228 22.27722772],0
a6,1,0.837833,0.041888,[6 5] ; [52 38],[6.31683168 4.68316832] ; [51.68316832 38.31683168],0
a2,1,0.847586,0.036941,[2 9] ; [19 73],[2.24271845 8.75728155] ; [18.75728155 73.24271845],0
p7,1,0.856328,0.032779,[4 6] ; [33 56],[3.73737374 6.26262626] ; [33.26262626 55.73737374],0
a1,1,0.862191,0.030132,[ 1 10] ; [ 7 85],[ 0.85436893 10.14563107] ; [ 7.14563107 84.85436893],0
d1,1,0.881673,0.022156,[6 5] ; [48 44],[5.76699029 5.23300971] ; [48.23300971 43.76699029],0
a3,1,0.937363,0.006176,[7 4] ; [59 32],[7.11764706 3.88235294] ; [58.88235294 32.11764706],0
p1,1,0.965005,0.001925,[ 1 10] ; [ 8 84],[ 0.96116505 10.03883495] ; [ 8.03883495 83.96116505],0
d5,1,0.965802,0.001838,[8 3] ; [66 24],[8.05940594 2.94059406] ; [65.94059406 24.05940594],0
s1,1,0.982288,0.000493,[ 1 10] ; [ 8 82],[ 0.98019802 10.01980198] ; [ 8.01980198 81.98019802],0
