Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,4e-06,21.399596,[18 27] ; [92 26],[30.36809816 14.63190184] ; [79.63190184 38.36809816],1
n6,1,0.000199,13.841893,[23 22] ; [94 23],[32.5 12.5] ; [84.5 32.5],1
s7,1,0.00252,9.125926,[ 7 35] ; [48 64],[15. 27.] ; [40. 72.],0
p10,1,0.003862,8.34768,[19 25] ; [79 37],[26.95 17.05] ; [71.05 44.95],0
p9,1,0.012502,6.238281,[23 21] ; [84 31],[29.61006289 14.38993711] ; [77.38993711 37.61006289],0
p2,1,0.015956,5.807729,[22 23] ; [81 36],[28.61111111 16.38888889] ; [74.38888889 42.61111111],0
s6,1,0.024631,5.049648,[14 29] ; [61 55],[20.28301887 22.71698113] ; [54.71698113 61.28301887],0
p6,1,0.026229,4.940837,[ 5 39] ; [32 82],[10.30379747 33.69620253] ; [26.69620253 87.30379747],0
v3,1,0.05178,3.782852,[ 6 34] ; [36 81],[10.70063694 29.29936306] ; [31.29936306 85.70063694],0
p8,1,0.073526,3.202486,[ 8 36] ; [38 79],[12.57142857 31.42857143] ; [33.42857143 83.57142857],0
a2,1,0.120733,2.407784,[ 1 44] ; [ 11 107],[ 3.31288344 41.68711656] ; [  8.68711656 109.31288344],0
p4,1,0.134411,2.240799,[10 34] ; [41 76],[13.9378882 30.0621118] ; [37.0621118 79.9378882],0
a4,1,0.170146,1.88166,[22 23] ; [43 73],[18.16770186 26.83229814] ; [46.83229814 69.16770186],0
s5,1,0.214918,1.537987,[ 7 34] ; [31 85],[ 9.92356688 31.07643312] ; [28.07643312 87.92356688],0
a5,1,0.224087,1.478007,[20 25] ; [65 53],[23.46625767 21.53374233] ; [61.53374233 56.46625767],0
s8,1,0.240055,1.380271,[10 34] ; [38 80],[13.03703704 30.96296296] ; [34.96296296 83.03703704],0
r3,1,0.253401,1.304456,[39  6] ; [93 25],[36.44171779  8.55828221] ; [95.55828221 22.44171779],0
p7,1,0.275665,1.188338,[18 27] ; [57 58],[21.09375 23.90625] ; [53.90625 61.09375],0
d1,1,0.303761,1.057609,[14 31] ; [47 71],[16.8404908 28.1595092] ; [44.1595092 73.8404908],0
s2,1,0.314328,1.012401,[14 31] ; [46 70],[16.77018634 28.22981366] ; [43.22981366 72.77018634],0
u2,1,0.330708,0.946123,[11 10] ; [17 26],[ 9.1875 11.8125] ; [18.8125 24.1875],0
p12,1,0.338983,0.914275,[ 1 43] ; [  7 111],[ 2.17283951 41.82716049] ; [  5.82716049 112.17283951],0
a3,1,0.344302,0.894347,[24 20] ; [74 44],[26.61728395 17.38271605] ; [71.38271605 46.61728395],0
s1,1,0.375331,0.785938,[ 3 42] ; [  4 111],[ 1.96875 43.03125] ; [  5.03125 109.96875],0
d2,1,0.386717,0.74924,[17 28] ; [53 64],[19.44444444 25.55555556] ; [50.55555556 66.44444444],0
v1,1,0.39191,0.733007,[17 27] ; [54 63],[19.40372671 24.59627329] ; [51.59627329 65.40372671],0
v2,1,0.417046,0.658625,[19 23] ; [43 70],[16.8 25.2] ; [45.2 67.8],0
p1,1,0.420303,0.649468,[ 1 44] ; [  6 112],[ 1.93251534 43.06748466] ; [  5.06748466 112.93251534],0
a6,1,0.444956,0.58347,[15 30] ; [47 71],[17.11656442 27.88343558] ; [44.88343558 73.11656442],0
u3,1,0.493426,0.469047,[ 9 12] ; [15 29],[ 7.75384615 13.24615385] ; [16.24615385 27.75384615],0
r1,1,0.549374,0.358439,[29 16] ; [70 48],[27.33128834 17.66871166] ; [71.66871166 46.33128834],0
v4,1,0.583293,0.30094,[36  8] ; [99 17],[37.125  6.875] ; [97.875 18.125],0
a8,1,0.623694,0.24071,[ 3 38] ; [ 11 100],[ 3.77631579 37.22368421] ; [ 10.22368421 100.77631579],0
d3,1,0.632908,0.228138,[19 26] ; [45 73],[17.66871166 27.33128834] ; [46.33128834 71.66871166],0
r4,1,0.68327,0.166468,[32 13] ; [80 38],[30.9202454 14.0797546] ; [81.0797546 36.9202454],0
a1,1,0.69261,0.156275,[ 3 42] ; [  6 112],[ 2.48466258 42.51533742] ; [  6.51533742 111.48466258],0
d5,1,0.749859,0.101649,[27 18] ; [74 44],[27.88343558 17.11656442] ; [73.11656442 44.88343558],0
p11,1,0.808669,0.058633,[30 15] ; [81 37],[30.64417178 14.35582822] ; [80.35582822 37.64417178],0
b1,1,0.840871,0.040312,[21 24] ; [53 65],[20.42944785 24.57055215] ; [53.57055215 64.42944785],0
s4,1,0.845044,0.038199,[ 6 39] ; [ 17 100],[ 6.38888889 38.61111111] ; [ 16.61111111 100.38888889],0
n1,1,0.882965,0.021671,[ 7 12] ; [19 30],[ 7.26470588 11.73529412] ; [18.73529412 30.26470588],0
d4,1,0.887269,0.020096,[29 16] ; [74 43],[28.61111111 16.38888889] ; [74.38888889 42.61111111],0
n2,1,0.888738,0.019572,[14  5] ; [36 14],[13.76811594  5.23188406] ; [36.23188406 13.76811594],0
b2,1,0.891048,0.018763,[10 16] ; [28 42],[10.29166667 15.70833333] ; [27.70833333 42.29166667],0
b3,1,0.891048,0.018763,[10 16] ; [28 42],[10.29166667 15.70833333] ; [27.70833333 42.29166667],0
n3,1,0.915273,0.011319,[11  6] ; [31 18],[10.81818182  6.18181818] ; [31.18181818 17.81818182],0
b5,1,0.946841,0.004445,[22 23] ; [57 61],[21.80981595 23.19018405] ; [57.19018405 60.80981595],0
b4,1,0.96547,0.001874,[25 20] ; [66 52],[25.12269939 19.87730061] ; [65.87730061 52.12269939],0
s3,1,0.967903,0.001619,[20 23] ; [54 63],[19.8875 23.1125] ; [54.1125 62.8875],0
r2,1,0.968241,0.001585,[37  7] ; [97 18],[37.08176101  6.91823899] ; [96.91823899 18.08176101],0
