Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3.9e-05,16.897224,[2 6] ; [80 14],[6.43137255 1.56862745] ; [75.56862745 18.43137255],1
r2,1,0.002051,9.503134,[4 4] ; [83 10],[6.89108911 1.10891089] ; [80.10891089 12.89108911],0
r1,1,0.017211,5.674775,[3 5] ; [71 22],[5.86138614 2.13861386] ; [68.13861386 24.86138614],0
p10,1,0.027718,4.845552,[3 5] ; [69 24],[5.7029703 2.2970297] ; [66.2970297 26.7029703],0
r3,1,0.034541,4.467701,[6 2] ; [89  5],[7.45098039 0.54901961] ; [87.54901961  6.45098039],0
n2,1,0.056332,3.642213,[1 1] ; [25  2],[1.79310345 0.20689655] ; [24.20689655  2.79310345],0
u2,1,0.081723,3.030303,[1 2] ; [26  7],[2.25 0.75] ; [24.75  8.25],0
n4,1,0.087356,2.922441,[2 6] ; [53 41],[4.31372549 3.68627451] ; [50.68627451 43.31372549],0
s8,1,0.118689,2.434534,[1 7] ; [38 56],[3.05882353 4.94117647] ; [35.94117647 58.05882353],0
p3,1,0.126351,2.336772,[1 7] ; [37 56],[3.00990099 4.99009901] ; [34.99009901 58.00990099],0
b1,1,0.156874,2.004108,[6 2] ; [46 48],[4.07843137 3.92156863] ; [47.92156863 46.07843137],0
v1,1,0.215372,1.534945,[2 6] ; [43 47],[3.67346939 4.32653061] ; [41.32653061 48.67346939],0
n5,1,0.223997,1.478578,[2 6] ; [44 49],[3.64356436 4.35643564] ; [42.35643564 50.64356436],0
a4,1,0.266394,1.23522,[4 4] ; [29 65],[2.58823529 5.41176471] ; [30.41176471 63.58823529],0
a2,1,0.278924,1.172328,[2 6] ; [11 83],[1.01960784 6.98039216] ; [11.98039216 82.01960784],0
s6,1,0.302821,1.061728,[3 5] ; [53 41],[4.39215686 3.60784314] ; [51.60784314 42.39215686],0
s3,1,0.359777,0.838671,[3 5] ; [50 42],[4.24 3.76] ; [48.76 43.24],0
d2,1,0.364581,0.82205,[4 4] ; [32 62],[2.82352941 5.17647059] ; [33.17647059 60.82352941],0
a7,1,0.364581,0.82205,[4 4] ; [62 32],[5.17647059 2.82352941] ; [60.82352941 33.17647059],0
a6,1,0.364581,0.82205,[4 4] ; [62 32],[5.17647059 2.82352941] ; [60.82352941 33.17647059],0
v3,1,0.37021,0.80296,[1 7] ; [24 65],[2.06185567 5.93814433] ; [22.93814433 66.06185567],0
s2,1,0.378773,0.774681,[2 6] ; [38 55],[3.16831683 4.83168317] ; [36.83168317 56.16831683],0
p5,1,0.413401,0.668999,[1 7] ; [ 5 88],[0.47524752 7.52475248] ; [ 5.52475248 87.47524752],0
p7,1,0.445601,0.581818,[4 4] ; [56 32],[5. 3.] ; [55. 33.],0
p4,1,0.460995,0.543478,[3 5] ; [47 45],[4. 4.] ; [46. 46.],0
d5,1,0.461377,0.542553,[5 3] ; [70 24],[5.88235294 2.11764706] ; [69.11764706 24.88235294],0
d3,1,0.515175,0.423542,[4 4] ; [58 36],[4.8627451 3.1372549] ; [57.1372549 36.8627451],0
b5,1,0.563259,0.334092,[6 2] ; [61 33],[5.25490196 2.74509804] ; [61.74509804 32.25490196],0
s5,1,0.580327,0.305707,[1 7] ; [19 73],[1.6 6.4] ; [18.4 73.6],0
p2,1,0.610058,0.26009,[5 2] ; [74 19],[5.53 1.47] ; [73.47 19.53],0
b2,1,0.665809,0.186544,[1 4] ; [16 39],[1.41666667 3.58333333] ; [15.58333333 39.41666667],0
b3,1,0.665809,0.186544,[1 4] ; [16 39],[1.41666667 3.58333333] ; [15.58333333 39.41666667],0
a8,1,0.668034,0.183911,[1 6] ; [ 8 78],[0.67741935 6.32258065] ; [ 8.32258065 77.67741935],0
s7,1,0.737052,0.112735,[2 5] ; [31 58],[2.40625 4.59375] ; [30.59375 58.40625],0
b4,1,0.737355,0.112465,[5 3] ; [53 41],[4.54901961 3.45098039] ; [53.45098039 40.54901961],0
d1,1,0.816694,0.053731,[4 4] ; [43 51],[3.68627451 4.31372549] ; [43.31372549 50.68627451],0
p6,1,0.86051,0.030879,[2 5] ; [23 67],[1.80412371 5.19587629] ; [23.19587629 66.80412371],0
p8,1,0.862648,0.02993,[3 4] ; [43 50],[3.22 3.78] ; [42.78 50.22],0
p9,1,0.862809,0.02986,[6 2] ; [73 21],[6.19607843 1.80392157] ; [72.80392157 21.19607843],0
a5,1,0.891821,0.018496,[5 3] ; [61 33],[5.17647059 2.82352941] ; [60.82352941 33.17647059],0
a3,1,0.891821,0.018496,[5 3] ; [61 33],[5.17647059 2.82352941] ; [60.82352941 33.17647059],0
s4,1,0.916434,0.01101,[1 7] ; [13 81],[1.09803922 6.90196078] ; [12.90196078 81.09803922],0
d4,1,0.918641,0.010434,[6 2] ; [72 22],[6.11764706 1.88235294] ; [71.88235294 22.11764706],0
n1,1,0.95656,0.002967,[1 1] ; [13 12],[1.03703704 0.96296296] ; [12.96296296 12.03703704],0
v2,1,0.975179,0.000968,[4 4] ; [44 43],[4.04210526 3.95789474] ; [43.95789474 43.04210526],0
