Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,36.846004,[70 36] ; [ 1 29],[55.33823529 50.66176471] ; [15.66176471 14.33823529],1
p2,1,0.0,31.474776,[84 22] ; [ 7 22],[71.45185185 34.54814815] ; [19.54814815  9.45185185],1
r3,1,0.0,28.506942,[89 17] ; [10 19],[77.73333333 28.26666667] ; [21.26666667  7.73333333],1
r2,1,4.5e-05,16.645282,[87 17] ; [13 15],[78.78787879 25.21212121] ; [21.21212121  6.78787879],1
p9,1,7.1e-05,15.781682,[82 20] ; [13 17],[73.40909091 28.59090909] ; [21.59090909  8.40909091],1
n6,1,0.000114,14.888057,[83 23] ; [12 17],[74.59259259 31.40740741] ; [20.40740741  8.59259259],1
s6,1,0.000119,14.80837,[52 54] ; [ 3 27],[42.86764706 63.13235294] ; [12.13235294 17.86764706],1
p10,1,0.00055,11.938774,[74 30] ; [11 19],[65.97014925 38.02985075] ; [19.02985075 10.97014925],1
n2,1,0.000668,11.576103,[27  7] ; [3 9],[22.17391304 11.82608696] ; [7.82608696 4.17391304],1
p11,1,0.002736,8.975492,[71 35] ; [11 19],[63.91176471 42.08823529] ; [18.08823529 11.91176471],0
u3,1,0.007998,7.033816,[22 28] ; [ 1 14],[17.69230769 32.30769231] ; [5.30769231 9.69230769],0
s2,1,0.009194,6.784658,[41 65] ; [ 4 26],[35.07352941 70.92647059] ; [ 9.92647059 20.07352941],0
s7,1,0.012078,6.299398,[35 67] ; [ 3 26],[29.58778626 72.41221374] ; [ 8.41221374 20.58778626],0
s5,1,0.013759,6.068757,[24 79] ; [ 1 29],[19.36090226 83.63909774] ; [ 5.63909774 24.36090226],0
p8,1,0.016028,5.7998,[44 62] ; [ 5 24],[38.47407407 67.52592593] ; [10.52592593 18.47407407],0
p4,1,0.019491,5.456928,[50 56] ; [ 7 23],[44.42647059 61.57352941] ; [12.57352941 17.42647059],0
u2,1,0.024302,5.072941,[27 24] ; [ 3 12],[23.18181818 27.81818182] ; [6.81818182 8.18181818],0
s8,1,0.026414,4.9287,[27 79] ; [ 2 28],[22.60294118 83.39705882] ; [ 6.39705882 23.60294118],0
p6,1,0.036196,4.387846,[27 79] ; [ 2 26],[22.94029851 83.05970149] ; [ 6.05970149 21.94029851],0
s1,1,0.037092,4.346202,[  2 104] ; [ 3 27],[  3.89705882 102.10294118] ; [ 1.10294118 28.89705882],0
p1,1,0.047529,3.926579,[ 8 98] ; [ 6 24],[10.91176471 95.08823529] ; [ 3.08823529 26.91176471],0
s3,1,0.067077,3.353127,[45 60] ; [ 7 22],[40.74626866 64.25373134] ; [11.25373134 17.74626866],0
d5,1,0.069327,3.298872,[65 40] ; [13 17],[60.66666667 44.33333333] ; [17.33333333 12.66666667],0
a7,1,0.126611,2.333571,[62 43] ; [13 17],[58.33333333 46.66666667] ; [16.66666667 13.33333333],0
p7,1,0.167119,1.908599,[49 54] ; [10 20],[45.69172932 57.30827068] ; [13.30827068 16.69172932],0
s4,1,0.191707,1.704452,[26 80] ; [ 4 26],[23.38235294 82.61764706] ; [ 6.61764706 23.38235294],0
n5,1,0.213596,1.546885,[64 41] ; [22  8],[66.88888889 38.11111111] ; [19.11111111 10.88888889],0
p3,1,0.226304,1.46394,[41 65] ; [ 8 22],[38.19117647 67.80882353] ; [10.80882353 19.19117647],0
a1,1,0.232678,1.424415,[ 7 99] ; [ 4 26],[ 8.57352941 97.42647059] ; [ 2.42647059 27.57352941],0
b1,1,0.266012,1.237197,[41 65] ; [15 15],[43.64705882 62.35294118] ; [12.35294118 17.64705882],0
a4,1,0.313499,1.015875,[32 74] ; [ 6 23],[29.83703704 76.16296296] ; [ 8.16296296 20.83703704],0
d4,1,0.327551,0.958555,[67 39] ; [16 14],[64.69117647 41.30882353] ; [18.30882353 11.69117647],0
b5,1,0.327551,0.958555,[67 39] ; [16 14],[64.69117647 41.30882353] ; [18.30882353 11.69117647],0
b4,1,0.380275,0.769811,[54 52] ; [18 12],[56.11764706 49.88235294] ; [15.88235294 14.11764706],0
a8,1,0.466173,0.531032,[ 9 93] ; [ 4 26],[10.04545455 91.95454545] ; [ 2.95454545 27.04545455],0
n3,1,0.476717,0.506364,[21 13] ; [6 6],[19.95652174 14.04347826] ; [7.04347826 4.95652174],0
u1,1,0.495723,0.46408,[  4 102] ; [ 2 28],[  4.67647059 101.32352941] ; [ 1.32352941 28.67647059],0
a2,1,0.529213,0.395903,[ 7 99] ; [ 3 27],[ 7.79411765 98.20588235] ; [ 2.20588235 27.79411765],0
v1,1,0.608491,0.262378,[25 77] ; [ 6 24],[23.95454545 78.04545455] ; [ 7.04545455 22.95454545],0
d3,1,0.613769,0.254722,[47 57] ; [12 18],[45.79104478 58.20895522] ; [13.20895522 16.79104478],0
n4,1,0.671994,0.179278,[59 47] ; [18 12],[60.01470588 45.98529412] ; [16.98529412 13.01470588],0
b2,1,0.687073,0.162272,[21 39] ; [ 8 12],[21.75 38.25] ; [ 7.25 12.75],0
b3,1,0.687073,0.162272,[21 39] ; [ 8 12],[21.75 38.25] ; [ 7.25 12.75],0
n1,1,0.694182,0.154596,[12 22] ; [5 7],[12.56521739 21.43478261] ; [4.43478261 7.56521739],0
d2,1,0.71575,0.132601,[36 69] ; [11 18],[36.82835821 68.17164179] ; [10.17164179 18.82835821],0
v3,1,0.731237,0.117979,[15 91] ; [ 5 25],[15.58823529 90.41176471] ; [ 4.41176471 25.58823529],0
a5,1,0.747147,0.103944,[53 53] ; [16 14],[53.77941176 52.22058824] ; [15.22058824 14.77941176],0
p5,1,0.77116,0.084598,[ 9 96] ; [ 2 27],[ 8.61940299 96.38059701] ; [ 2.38059701 26.61940299],0
d1,1,0.775903,0.081033,[29 77] ; [ 9 21],[29.61764706 76.38235294] ; [ 8.38235294 21.61764706],0
a6,1,0.778797,0.078898,[57 49] ; [17 13],[57.67647059 48.32352941] ; [16.32352941 13.67647059],0
a3,1,0.817952,0.052983,[55 50] ; [15 15],[54.44444444 50.55555556] ; [15.55555556 14.44444444],0
p12,1,0.892094,0.018402,[  3 102] ; [ 1 29],[  3.11111111 101.88888889] ; [ 0.88888889 29.11111111],0
