Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.001151,10.568055,[6 1] ; [ 1 10],[2.72222222 4.27777778] ; [4.27777778 6.72222222],0
s4,1,0.026494,4.923477,[4 3] ; [ 1 10],[1.94444444 5.05555556] ; [3.05555556 7.94444444],0
p3,1,0.066075,3.377922,[5 2] ; [3 8],[3.11111111 3.88888889] ; [4.88888889 6.11111111],0
n1,1,0.097635,2.743764,[2 1] ; [1 6],[0.9 2.1] ; [2.1 4.9],0
v1,1,0.146924,2.103896,[2 5] ; [7 4],[3.5 3.5] ; [5.5 5.5],0
n4,1,0.17146,1.87013,[6 1] ; [6 5],[4.66666667 2.33333333] ; [7.33333333 3.66666667],0
n5,1,0.17146,1.87013,[6 1] ; [6 5],[4.66666667 2.33333333] ; [7.33333333 3.66666667],0
r1,1,0.205054,1.606004,[3 4] ; [8 3],[4.27777778 2.72222222] ; [6.72222222 4.27777778],0
b2,1,0.248213,1.333333,[2 4] ; [4 2],[3. 3.] ; [3. 3.],0
b3,1,0.248213,1.333333,[2 4] ; [4 2],[3. 3.] ; [3. 3.],0
n6,1,0.252136,1.311429,[6 1] ; [6 4],[4.94117647 2.05882353] ; [7.05882353 2.94117647],0
a7,1,0.279642,1.168831,[2 5] ; [6 5],[3.11111111 3.88888889] ; [4.88888889 6.11111111],0
d3,1,0.279642,1.168831,[2 5] ; [6 5],[3.11111111 3.88888889] ; [4.88888889 6.11111111],0
d4,1,0.279642,1.168831,[5 2] ; [10  1],[5.83333333 1.16666667] ; [9.16666667 1.83333333],0
p7,1,0.279642,1.168831,[5 2] ; [5 6],[3.88888889 3.11111111] ; [6.11111111 4.88888889],0
b4,1,0.279642,1.168831,[2 5] ; [6 5],[3.11111111 3.88888889] ; [4.88888889 6.11111111],0
r3,1,0.30797,1.039361,[6 1] ; [7 4],[5.05555556 1.94444444] ; [7.94444444 3.05555556],0
p11,1,0.30797,1.039361,[6 1] ; [7 4],[5.05555556 1.94444444] ; [7.94444444 3.05555556],0
p4,1,0.473812,0.513071,[5 2] ; [6 5],[4.27777778 2.72222222] ; [6.72222222 4.27777778],0
n2,1,0.490153,0.47619,[2 1] ; [3 4],[1.5 1.5] ; [3.5 3.5],0
b1,1,0.494125,0.467532,[4 3] ; [8 3],[4.66666667 2.33333333] ; [7.33333333 3.66666667],0
d2,1,0.518217,0.41744,[1 6] ; [3 8],[1.55555556 5.44444444] ; [2.44444444 8.55555556],0
p10,1,0.605242,0.267161,[5 2] ; [9 2],[5.44444444 1.55555556] ; [8.55555556 2.44444444],0
p9,1,0.605242,0.267161,[5 2] ; [9 2],[5.44444444 1.55555556] ; [8.55555556 2.44444444],0
p8,1,0.628745,0.233766,[4 3] ; [5 6],[3.5 3.5] ; [5.5 5.5],0
a6,1,0.628745,0.233766,[4 3] ; [5 6],[3.5 3.5] ; [5.5 5.5],0
v4,1,0.73244,0.116883,[5 2] ; [7 4],[4.66666667 2.33333333] ; [7.33333333 3.66666667],0
s5,1,0.73244,0.116883,[2 5] ; [4 7],[2.33333333 4.66666667] ; [3.66666667 7.33333333],0
p1,1,0.73244,0.116883,[1 6] ; [ 1 10],[0.77777778 6.22222222] ; [1.22222222 9.77777778],0
s1,1,0.73244,0.116883,[1 6] ; [ 1 10],[0.77777778 6.22222222] ; [1.22222222 9.77777778],0
d5,1,0.73244,0.116883,[5 2] ; [7 4],[4.66666667 2.33333333] ; [7.33333333 3.66666667],0
v2,1,0.73244,0.116883,[2 5] ; [4 7],[2.33333333 4.66666667] ; [3.66666667 7.33333333],0
p12,1,0.73244,0.116883,[1 6] ; [ 1 10],[0.77777778 6.22222222] ; [1.22222222 9.77777778],0
a5,1,0.782935,0.075898,[4 3] ; [7 4],[4.27777778 2.72222222] ; [6.72222222 4.27777778],0
a3,1,0.782935,0.075898,[4 3] ; [7 4],[4.27777778 2.72222222] ; [6.72222222 4.27777778],0
u2,1,0.80915,0.058333,[2 1] ; [3 1],[2.14285714 0.85714286] ; [2.85714286 1.14285714],0
d1,1,0.828812,0.046753,[1 6] ; [2 9],[1.16666667 5.83333333] ; [1.83333333 9.16666667],0
p2,1,0.828812,0.046753,[6 1] ; [9 2],[5.83333333 1.16666667] ; [9.16666667 1.83333333],0
p5,1,0.828812,0.046753,[1 6] ; [2 9],[1.16666667 5.83333333] ; [1.83333333 9.16666667],0
n3,1,0.880303,0.022676,[1 2] ; [2 5],[0.9 2.1] ; [2.1 4.9],0
s8,1,0.913906,0.011688,[4 3] ; [6 5],[3.88888889 3.11111111] ; [6.11111111 4.88888889],0
v3,1,0.913906,0.011688,[3 4] ; [5 6],[3.11111111 3.88888889] ; [4.88888889 6.11111111],0
b5,1,0.913906,0.011688,[3 4] ; [5 6],[3.11111111 3.88888889] ; [4.88888889 6.11111111],0
p6,1,0.95218,0.003596,[2 5] ; [3 8],[1.94444444 5.05555556] ; [3.05555556 7.94444444],0
