Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,4e-06,21.083749,[11 90] ; [15 16],[19.89393939 81.10606061] ; [ 6.10606061 24.89393939],1
p7,1,0.000158,14.277558,[24 74] ; [18 11],[32.40944882 65.59055118] ; [ 9.59055118 19.40944882],1
p3,1,0.00136,10.258664,[26 76] ; [17 13],[33.22727273 68.77272727] ; [ 9.77272727 20.22727273],0
p4,1,0.00316,8.712923,[26 74] ; [16 13],[32.55813953 67.44186047] ; [ 9.44186047 19.55813953],0
p5,1,0.012515,6.236427,[ 5 94] ; [ 6 25],[ 8.37692308 90.62307692] ; [ 2.62307692 28.37692308],0
p10,1,0.020278,5.387811,[54 46] ; [24  7],[59.54198473 40.45801527] ; [18.45801527 12.54198473],0
p9,1,0.028508,4.797052,[56 45] ; [24  7],[61.21212121 39.78787879] ; [18.78787879 12.21212121],0
v2,1,0.065217,3.399484,[46 51] ; [20 10],[50.40944882 46.59055118] ; [15.59055118 14.40944882],0
d2,1,0.080384,3.057125,[52 49] ; [10 20],[47.80152672 53.19847328] ; [14.19847328 15.80152672],0
a7,1,0.089733,2.879154,[62 40] ; [24  7],[65.95488722 36.04511278] ; [20.04511278 10.95488722],0
u1,1,0.103499,2.650781,[19 83] ; [ 2 29],[16.10526316 85.89473684] ; [ 4.89473684 26.10526316],0
b1,1,0.10785,2.58545,[53 49] ; [11 20],[49.08270677 52.91729323] ; [14.91729323 16.08270677],0
d4,1,0.155866,2.013883,[80 21] ; [20 10],[77.09923664 23.90076336] ; [22.90076336  7.09923664],0
d5,1,0.16288,1.94728,[74 27] ; [18 12],[70.93129771 30.06870229] ; [21.06870229  8.93129771],0
a2,1,0.203765,1.61518,[24 78] ; [ 4 27],[21.47368421 80.52631579] ; [ 6.52631579 24.47368421],0
b5,1,0.220835,1.498936,[62 40] ; [15 16],[59.05263158 42.94736842] ; [17.94736842 13.05263158],0
s5,1,0.238103,1.39179,[24 70] ; [11 19],[26.53225806 67.46774194] ; [ 8.46774194 21.53225806],0
s8,1,0.253208,1.305518,[42 59] ; [ 9 21],[39.32061069 61.67938931] ; [11.67938931 18.32061069],0
u2,1,0.26478,1.243593,[23 13] ; [6 7],[21.30612245 14.69387755] ; [7.69387755 5.30612245],0
s4,1,0.26722,1.230963,[22 78] ; [ 4 27],[19.84732824 80.15267176] ; [ 6.15267176 24.84732824],0
p12,1,0.292597,1.107633,[ 7 94] ; [ 4 27],[ 8.41666667 92.58333333] ; [ 2.58333333 28.41666667],0
n2,1,0.327912,0.957127,[29 14] ; [6 1],[30.1 12.9] ; [4.9 2.1],0
u3,1,0.375275,0.786123,[25 12] ; [7 6],[23.68 13.32] ; [8.32 4.68],0
v4,1,0.398589,0.71258,[90 12] ; [29  2],[91.26315789 10.73684211] ; [27.73684211  3.26315789],0
d3,1,0.414273,0.666504,[59 42] ; [15 15],[57.05343511 43.94656489] ; [16.94656489 13.05343511],0
r3,1,0.423082,0.641737,[91 11] ; [26  5],[89.72932331 12.27067669] ; [27.27067669  3.72932331],0
a4,1,0.437532,0.602746,[49 53] ; [12 18],[47.13636364 54.86363636] ; [13.86363636 16.13636364],0
b2,1,0.442423,0.589991,[21 46] ; [ 7 10],[22.33333333 44.66666667] ; [ 5.66666667 11.33333333],0
b3,1,0.442423,0.589991,[21 46] ; [ 7 10],[22.33333333 44.66666667] ; [ 5.66666667 11.33333333],0
p11,1,0.448595,0.5742,[58 44] ; [20 11],[59.81954887 42.18045113] ; [18.18045113 12.81954887],0
a5,1,0.457841,0.551168,[65 37] ; [22  9],[66.72180451 35.27819549] ; [20.27819549 10.72180451],0
v3,1,0.457864,0.551111,[35 58] ; [14 17],[36.75 56.25] ; [12.25 18.75],0
s3,1,0.467776,0.527225,[53 48] ; [13 16],[51.27692308 49.72307692] ; [14.72307692 14.27692308],0
n3,1,0.529885,0.394612,[27 12] ; [4 3],[26.2826087 12.7173913] ; [4.7173913 2.2826087],0
s1,1,0.549581,0.358069,[10 90] ; [ 2 29],[ 9.16030534 90.83969466] ; [ 2.83969466 28.16030534],0
s7,1,0.549631,0.357979,[42 53] ; [11 18],[40.60483871 54.39516129] ; [12.39516129 16.60483871],0
p1,1,0.552264,0.353277,[ 4 98] ; [ 2 29],[ 4.60150376 97.39849624] ; [ 1.39849624 29.60150376],0
d1,1,0.58888,0.292097,[55 47] ; [15 16],[53.68421053 48.31578947] ; [16.31578947 14.68421053],0
n4,1,0.59327,0.285267,[71 31] ; [20 11],[69.78947368 32.21052632] ; [21.21052632  9.78947368],0
v1,1,0.61,0.260175,[40 60] ; [14 17],[41.22137405 58.77862595] ; [12.77862595 18.22137405],0
a8,1,0.611225,0.258395,[11 87] ; [ 4 23],[11.76 86.24] ; [ 3.24 23.76],0
a6,1,0.62991,0.232183,[59 42] ; [19 11],[60.13740458 40.86259542] ; [17.86259542 12.13740458],0
n1,1,0.640738,0.217778,[20 22] ; [4 3],[20.57142857 21.42857143] ; [3.42857143 3.57142857],0
r4,1,0.645664,0.211411,[89 13] ; [28  3],[89.72932331 12.27067669] ; [27.27067669  3.72932331],0
a3,1,0.663679,0.189085,[65 36] ; [18 12],[63.99236641 37.00763359] ; [19.00763359 10.99236641],0
r2,1,0.704573,0.143758,[97  5] ; [28  2],[96.59090909  5.40909091] ; [28.40909091  1.59090909],0
s2,1,0.757309,0.095491,[47 54] ; [13 17],[46.25954198 54.74045802] ; [13.74045802 16.25954198],0
b4,1,0.767213,0.087629,[59 43] ; [17 14],[58.28571429 43.71428571] ; [17.71428571 13.28571429],0
u4,1,0.858447,0.031809,[ 4 98] ; [ 1 30],[ 3.83458647 98.16541353] ; [ 1.16541353 29.83458647],0
n6,1,0.867523,0.027824,[73 29] ; [21  9],[72.63636364 29.36363636] ; [21.36363636  8.63636364],0
s6,1,0.921626,0.00968,[61 39] ; [18 12],[60.76923077 39.23076923] ; [18.23076923 11.76923077],0
n5,1,0.987041,0.000264,[65 36] ; [20 11],[65.03787879 35.96212121] ; [19.96212121 11.03787879],0
