Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,23.13999,[4 7] ; [107  12],[9.39230769 1.60769231] ; [101.60769231  17.39230769],1
r1,1,0.002313,9.283093,[4 7] ; [93 26],[8.20769231 2.79230769] ; [88.79230769 30.20769231],0
v4,1,0.002316,9.280423,[8 3] ; [114   5],[10.32307692  0.67692308] ; [111.67692308   7.32307692],0
r3,1,0.002316,9.280197,[7 4] ; [110   9],[9.9 1.1] ; [107.1  11.9],0
s4,1,0.019126,5.489953,[3 8] ; [  8 111],[ 0.93076923 10.06923077] ; [ 10.06923077 108.93076923],0
a5,1,0.020195,5.394984,[5 6] ; [92 27],[8.20769231 2.79230769] ; [88.79230769 30.20769231],0
d3,1,0.024348,5.06966,[4 7] ; [83 36],[7.36153846 3.63846154] ; [79.63846154 39.36153846],0
p10,1,0.034903,4.449919,[6 5] ; [97 22],[8.71538462 2.28461538] ; [94.28461538 24.71538462],0
a6,1,0.045085,4.015473,[5 6] ; [88 31],[7.86923077 3.13076923] ; [85.13076923 33.86923077],0
u3,1,0.051247,3.800186,[1 5] ; [22 15],[3.20930233 2.79069767] ; [19.79069767 17.20930233],0
b4,1,0.056935,3.62449,[3 8] ; [68 51],[6.00769231 4.99230769] ; [64.99230769 54.00769231],0
a3,1,0.103705,2.64762,[5 6] ; [82 36],[7.41860465 3.58139535] ; [79.58139535 38.41860465],0
p11,1,0.10971,2.558389,[7 4] ; [99 20],[8.96923077 2.03076923] ; [97.03076923 21.96923077],0
a7,1,0.109909,2.555535,[6 5] ; [91 28],[8.20769231 2.79230769] ; [88.79230769 30.20769231],0
p4,1,0.113721,2.501728,[10  1] ; [81 38],[7.7 3.3] ; [83.3 35.7],0
u2,1,0.114096,2.496543,[1 5] ; [19 18],[2.79069767 3.20930233] ; [17.20930233 19.79069767],0
s8,1,0.149581,2.076522,[ 1 10] ; [35 84],[3.04615385 7.95384615] ; [32.95384615 86.04615385],0
b1,1,0.184691,1.759467,[7 4] ; [51 68],[4.90769231 6.09230769] ; [53.09230769 65.90769231],0
s1,1,0.227349,1.457371,[ 1 10] ; [  3 116],[ 0.33846154 10.66153846] ; [  3.66153846 115.33846154],0
d1,1,0.245666,1.347785,[4 7] ; [65 54],[5.83846154 5.16153846] ; [63.16153846 55.83846154],0
v3,1,0.274272,1.195257,[3 8] ; [51 64],[4.71428571 6.28571429] ; [49.28571429 65.71428571],0
d4,1,0.274311,1.19506,[7 4] ; [93 26],[8.46153846 2.53846154] ; [91.53846154 27.46153846],0
p5,1,0.289102,1.1238,[2 9] ; [ 10 108],[1.02325581 9.97674419] ; [ 10.97674419 107.02325581],0
a4,1,0.331141,0.94443,[6 5] ; [47 72],[4.48461538 6.51538462] ; [48.51538462 70.48461538],0
p2,1,0.338647,0.915547,[8 3] ; [100  19],[9.13846154 1.86153846] ; [98.86153846 20.13846154],0
a2,1,0.372459,0.795445,[ 1 10] ; [24 95],[2.11538462 8.88461538] ; [22.88461538 96.11538462],0
s3,1,0.420763,0.648184,[2 9] ; [35 83],[3.15503876 7.84496124] ; [33.84496124 84.15503876],0
n4,1,0.431134,0.619766,[8 3] ; [98 21],[8.96923077 2.03076923] ; [97.03076923 21.96923077],0
n6,1,0.439856,0.596657,[8 3] ; [97 21],[8.95348837 2.04651163] ; [96.04651163 21.95348837],0
v1,1,0.450299,0.569899,[5 6] ; [67 50],[6.1875 4.8125] ; [65.8125 51.1875],0
p12,1,0.459648,0.546752,[ 1 10] ; [  5 114],[ 0.50769231 10.49230769] ; [  5.49230769 113.50769231],0
n3,1,0.464069,0.536062,[2 1] ; [16  3],[2.45454545 0.54545455] ; [15.54545455  3.45454545],0
a8,1,0.465055,0.533701,[2 9] ; [11 91],[1.26548673 9.73451327] ; [11.73451327 90.26548673],0
b5,1,0.523572,0.406852,[5 6] ; [66 53],[6.00769231 4.99230769] ; [64.99230769 54.00769231],0
p9,1,0.528513,0.39725,[8 3] ; [96 23],[8.8 2.2] ; [95.2 23.8],0
v2,1,0.565542,0.330199,[5 5] ; [70 48],[5.859375 4.140625] ; [69.140625 48.859375],0
p8,1,0.578727,0.308296,[6 5] ; [75 44],[6.85384615 4.14615385] ; [74.14615385 44.85384615],0
u1,1,0.58774,0.293888,[ 1 10] ; [ 18 101],[1.60769231 9.39230769] ; [ 17.39230769 101.60769231],0
p1,1,0.681924,0.167968,[ 1 10] ; [ 16 103],[1.43846154 9.56153846] ; [ 15.56153846 103.43846154],0
d5,1,0.731182,0.118029,[9 2] ; [92 27],[8.54615385 2.45384615] ; [92.45384615 26.54615385],0
s2,1,0.777138,0.080118,[2 9] ; [26 93],[2.36923077 8.63076923] ; [25.63076923 93.36923077],0
d2,1,0.780248,0.077839,[4 7] ; [48 70],[4.43410853 6.56589147] ; [47.56589147 70.43410853],0
p7,1,0.880456,0.022618,[8 3] ; [89 30],[8.20769231 2.79230769] ; [88.79230769 30.20769231],0
s7,1,0.889274,0.019383,[3 7] ; [36 76],[3.19672131 6.80327869] ; [35.80327869 76.19672131],0
s5,1,0.937217,0.006204,[2 9] ; [20 96],[1.90551181 9.09448819] ; [20.09448819 95.90551181],0
b3,1,0.946798,0.004453,[3 4] ; [32 45],[2.91666667 4.08333333] ; [32.08333333 44.91666667],0
b2,1,0.946798,0.004453,[3 4] ; [32 45],[2.91666667 4.08333333] ; [32.08333333 44.91666667],0
n1,1,0.951655,0.003676,[1 2] ; [ 6 13],[0.95454545 2.04545455] ; [ 6.04545455 12.95454545],0
n5,1,0.97407,0.001057,[8 3] ; [86 33],[7.95384615 3.04615385] ; [86.04615385 32.95384615],0
p6,1,0.979611,0.000653,[4 7] ; [43 74],[4.0390625 6.9609375] ; [42.9609375 74.0390625],0
