Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.000298,13.083355,[52  2] ; [6 4],[48.9375  5.0625] ; [9.0625 0.9375],1
p7,1,0.000642,11.649057,[40 13] ; [2 8],[35.33333333 17.66666667] ; [6.66666667 3.33333333],1
n4,1,0.005845,7.597341,[47  7] ; [5 5],[43.875 10.125] ; [8.125 1.875],0
v3,1,0.006075,7.527852,[34 17] ; [2 8],[30.09836066 20.90163934] ; [5.90163934 4.09836066],0
p10,1,0.006575,7.385544,[46  7] ; [5 5],[42.9047619 10.0952381] ; [8.0952381 1.9047619],0
p2,1,0.020827,5.341235,[48  6] ; [6 4],[45.5625  8.4375] ; [8.4375 1.5625],0
v2,1,0.036378,4.379315,[39 14] ; [4 6],[36.17460317 16.82539683] ; [6.82539683 3.17460317],0
u1,1,0.037373,4.333346,[ 7 47] ; [4 6],[ 9.28125 44.71875] ; [1.71875 8.28125],0
p8,1,0.039487,4.239796,[35 19] ; [3 7],[32.0625 21.9375] ; [5.9375 4.0625],0
v1,1,0.052527,3.7589,[34 20] ; [3 7],[31.21875 22.78125] ; [5.78125 4.21875],0
p3,1,0.068504,3.318519,[33 21] ; [3 7],[30.375 23.625] ; [5.625 4.375],0
s7,1,0.091152,2.853911,[26 25] ; [8 2],[28.42622951 22.57377049] ; [5.57377049 4.42622951],0
r4,1,0.114496,2.491044,[48  6] ; [7 3],[46.40625  7.59375] ; [8.59375 1.40625],0
p9,1,0.121555,2.39717,[47  6] ; [7 3],[45.42857143  7.57142857] ; [8.57142857 1.42857143],0
a6,1,0.148252,2.090148,[30 24] ; [8 2],[32.0625 21.9375] ; [5.9375 4.0625],0
r1,1,0.178292,1.811801,[43 11] ; [6 4],[41.34375 12.65625] ; [7.65625 2.34375],0
s4,1,0.209512,1.574798,[ 4 50] ; [2 8],[ 5.0625 48.9375] ; [0.9375 9.0625],0
d4,1,0.242341,1.366927,[46  8] ; [7 3],[44.71875  9.28125] ; [8.28125 1.71875],0
d1,1,0.257404,1.282668,[37 17] ; [5 5],[35.4375 18.5625] ; [6.5625 3.4375],0
d5,1,0.294909,1.097075,[41 13] ; [6 4],[39.65625 14.34375] ; [7.34375 2.65625],0
n1,1,0.307741,1.040344,[4 5] ; [3 1],[4.84615385 4.15384615] ; [2.15384615 1.84615385],0
a2,1,0.407133,0.687157,[10 44] ; [3 7],[10.96875 43.03125] ; [2.03125 7.96875],0
b5,1,0.42574,0.634416,[25 29] ; [6 4],[26.15625 27.84375] ; [4.84375 5.15625],0
p4,1,0.44025,0.595632,[34 20] ; [5 5],[32.90625 21.09375] ; [6.09375 3.90625],0
b4,1,0.456409,0.554686,[31 23] ; [7 3],[32.0625 21.9375] ; [5.9375 4.0625],0
n5,1,0.518921,0.416038,[42 11] ; [7 3],[41.22222222 11.77777778] ; [7.77777778 2.22222222],0
n3,1,0.57077,0.321396,[9 2] ; [2 1],[8.64285714 2.35714286] ; [2.35714286 0.64285714],0
a5,1,0.593803,0.284444,[42 12] ; [7 3],[41.34375 12.65625] ; [7.65625 2.34375],0
d2,1,0.664482,0.188125,[31 23] ; [5 5],[30.375 23.625] ; [5.625 4.375],0
b1,1,0.6701,0.181485,[20 34] ; [3 7],[19.40625 34.59375] ; [3.59375 6.40625],0
n6,1,0.687454,0.161856,[46  8] ; [9 1],[46.40625  7.59375] ; [8.59375 1.40625],0
r2,1,0.703528,0.144828,[50  4] ; [8 1],[49.71428571  4.28571429] ; [8.28571429 0.71428571],0
a4,1,0.745805,0.10509,[24 30] ; [5 5],[24.46875 29.53125] ; [4.53125 5.46875],0
u2,1,0.793428,0.068571,[6 4] ; [1 1],[5.83333333 4.16666667] ; [1.16666667 0.83333333],0
u3,1,0.793428,0.068571,[6 4] ; [1 1],[5.83333333 4.16666667] ; [1.16666667 0.83333333],0
b2,1,0.830488,0.045829,[25 20] ; [2 2],[24.79591837 20.20408163] ; [2.20408163 1.79591837],0
b3,1,0.830488,0.045829,[25 20] ; [2 2],[24.79591837 20.20408163] ; [2.20408163 1.79591837],0
s2,1,0.8356,0.043067,[19 33] ; [4 6],[19.29032258 32.70967742] ; [3.70967742 6.29032258],0
p5,1,0.88804,0.01982,[ 6 46] ; [1 9],[ 5.87096774 46.12903226] ; [1.12903226 8.87096774],0
a3,1,0.912209,0.012156,[44 10] ; [8 2],[43.875 10.125] ; [8.125 1.875],0
d3,1,0.92603,0.00862,[37 17] ; [7 3],[37.125 16.875] ; [6.875 3.125],0
p6,1,0.92914,0.007908,[22 31] ; [4 6],[21.87301587 31.12698413] ; [4.12698413 5.87301587],0
a7,1,0.981214,0.000554,[38 16] ; [7 3],[37.96875 16.03125] ; [7.03125 2.96875],0
s3,1,0.981884,0.000516,[21 31] ; [4 6],[20.96774194 31.03225806] ; [4.03225806 5.96774194],0
s5,1,0.988186,0.000219,[11 39] ; [2 7],[11.01694915 38.98305085] ; [1.98305085 7.01694915],0
