Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.002604,9.065934,[2 4] ; [24  3],[4.72727273 1.27272727] ; [21.27272727  5.72727273],0
p9,1,0.004075,8.25,[1 5] ; [21  6],[4. 2.] ; [18.  9.],0
p2,1,0.016605,5.737654,[2 4] ; [22  5],[4.36363636 1.63636364] ; [19.63636364  7.36363636],0
p10,1,0.032135,4.591304,[2 4] ; [21  6],[4.18181818 1.81818182] ; [18.81818182  8.18181818],0
a5,1,0.039393,4.243827,[1 5] ; [17 10],[3.27272727 2.72727273] ; [14.72727273 12.27272727],0
b4,1,0.039393,4.243827,[1 5] ; [17 10],[3.27272727 2.72727273] ; [14.72727273 12.27272727],0
v3,1,0.088029,2.910053,[4 2] ; [ 8 19],[2.18181818 3.81818182] ; [ 9.81818182 17.18181818],0
s4,1,0.103604,2.649167,[3 3] ; [ 5 22],[1.45454545 4.54545455] ; [ 6.54545455 20.45454545],0
b1,1,0.117432,2.451235,[5 1] ; [13 14],[3.27272727 2.72727273] ; [14.72727273 12.27272727],0
a6,1,0.184075,1.764411,[2 4] ; [17 10],[3.45454545 2.54545455] ; [15.54545455 11.45454545],0
p1,1,0.228701,1.448925,[1 5] ; [ 1 26],[0.36363636 5.63636364] ; [ 1.63636364 25.36363636],0
s1,1,0.228701,1.448925,[1 5] ; [ 1 26],[0.36363636 5.63636364] ; [ 1.63636364 25.36363636],0
a7,1,0.324534,0.970588,[2 4] ; [15 12],[3.09090909 2.90909091] ; [13.90909091 13.09090909],0
d1,1,0.338352,0.916667,[1 5] ; [10 17],[2. 4.] ; [ 9. 18.],0
v2,1,0.411654,0.67402,[2 4] ; [14 13],[2.90909091 3.09090909] ; [13.09090909 13.90909091],0
a3,1,0.411654,0.67402,[2 4] ; [14 13],[2.90909091 3.09090909] ; [13.09090909 13.90909091],0
s5,1,0.421671,0.645652,[1 5] ; [ 9 18],[1.81818182 4.18181818] ; [ 8.18181818 18.81818182],0
p3,1,0.442695,0.589286,[3 3] ; [ 9 18],[2.18181818 3.81818182] ; [ 9.81818182 17.18181818],0
n5,1,0.442695,0.589286,[3 3] ; [18  9],[3.81818182 2.18181818] ; [17.18181818  9.81818182],0
r1,1,0.442695,0.589286,[3 3] ; [ 9 18],[2.18181818 3.81818182] ; [ 9.81818182 17.18181818],0
d3,1,0.442695,0.589286,[3 3] ; [18  9],[3.81818182 2.18181818] ; [17.18181818  9.81818182],0
a1,1,0.47546,0.509259,[1 5] ; [ 2 25],[0.54545455 5.45454545] ; [ 2.45454545 24.54545455],0
p8,1,0.509756,0.434568,[2 4] ; [13 14],[2.72727273 3.27272727] ; [12.27272727 14.72727273],0
p6,1,0.518992,0.415895,[1 5] ; [ 8 19],[1.63636364 4.36363636] ; [ 7.36363636 19.63636364],0
p7,1,0.556664,0.345513,[3 3] ; [17 10],[3.63636364 2.36363636] ; [16.36363636 10.63636364],0
d4,1,0.565659,0.33,[4 2] ; [21  6],[4.54545455 1.45454545] ; [20.45454545  6.54545455],0
s8,1,0.618402,0.24812,[2 4] ; [12 15],[2.54545455 3.45454545] ; [11.45454545 15.54545455],0
p5,1,0.632142,0.229167,[1 5] ; [ 7 20],[1.45454545 4.54545455] ; [ 6.54545455 20.45454545],0
u2,1,0.659118,0.194597,[3 1] ; [11  2],[3.29411765 0.70588235] ; [10.70588235  2.29411765],0
b3,1,0.695895,0.152778,[1 3] ; [ 3 15],[0.72727273 3.27272727] ; [ 3.27272727 14.72727273],0
b2,1,0.695895,0.152778,[1 3] ; [ 3 15],[0.72727273 3.27272727] ; [ 3.27272727 14.72727273],0
r4,1,0.736956,0.112821,[2 4] ; [11 16],[2.36363636 3.63636364] ; [10.63636364 16.36363636],0
v1,1,0.736956,0.112821,[2 4] ; [11 16],[2.36363636 3.63636364] ; [10.63636364 16.36363636],0
a8,1,0.797199,0.066036,[1 4] ; [ 4 22],[0.80645161 4.19354839] ; [ 4.19354839 21.80645161],0
s3,1,0.804748,0.061111,[3 3] ; [12 15],[2.72727273 3.27272727] ; [12.27272727 14.72727273],0
n4,1,0.858282,0.031884,[4 2] ; [19  8],[4.18181818 1.81818182] ; [18.81818182  8.18181818],0
d5,1,0.864547,0.029101,[4 2] ; [17 10],[3.81818182 2.18181818] ; [17.18181818  9.81818182],0
d2,1,0.864547,0.029101,[2 4] ; [10 17],[2.18181818 3.81818182] ; [ 9.81818182 17.18181818],0
b5,1,0.864547,0.029101,[4 2] ; [17 10],[3.81818182 2.18181818] ; [17.18181818  9.81818182],0
p4,1,0.864547,0.029101,[4 2] ; [17 10],[3.81818182 2.18181818] ; [17.18181818  9.81818182],0
a4,1,0.91528,0.011317,[1 5] ; [ 5 22],[1.09090909 4.90909091] ; [ 4.90909091 22.09090909],0
s2,1,0.934568,0.00674,[3 3] ; [13 14],[2.90909091 3.09090909] ; [13.09090909 13.90909091],0
s7,1,0.948429,0.004184,[2 3] ; [10 16],[1.93548387 3.06451613] ; [10.06451613 15.93548387],0
v4,1,1.0,0.0,[4 2] ; [18  9],[4. 2.] ; [18.  9.],0
n6,1,1.0,0.0,[4 2] ; [18  9],[4. 2.] ; [18.  9.],0
