Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.07215,3.233418,[2 6] ; [5 2],[3.73333333 4.26666667] ; [3.26666667 3.73333333],0
p8,1,0.07215,3.233418,[6 2] ; [2 5],[4.26666667 3.73333333] ; [3.73333333 3.26666667],0
s3,1,0.184708,1.759334,[7 1] ; [4 3],[5.86666667 2.13333333] ; [5.13333333 1.86666667],0
s6,1,0.204894,1.607143,[6 2] ; [3 4],[4.8 3.2] ; [4.2 2.8],0
s2,1,0.204894,1.607143,[6 2] ; [3 4],[4.8 3.2] ; [4.2 2.8],0
d4,1,0.310437,1.028815,[5 3] ; [6 1],[5.86666667 2.13333333] ; [5.13333333 1.86666667],0
s5,1,0.333998,0.933333,[2 6] ; [3 3],[2.85714286 5.14285714] ; [2.14285714 3.85714286],0
p6,1,0.398025,0.714286,[4 4] ; [2 5],[3.2 4.8] ; [2.8 4.2],0
p3,1,0.398025,0.714286,[4 4] ; [2 5],[3.2 4.8] ; [2.8 4.2],0
b2,1,0.407626,0.685714,[3 4] ; [1 4],[2.33333333 4.66666667] ; [1.66666667 3.33333333],0
b3,1,0.407626,0.685714,[3 4] ; [1 4],[2.33333333 4.66666667] ; [1.66666667 3.33333333],0
p10,1,0.437558,0.602679,[7 1] ; [5 2],[6.4 1.6] ; [5.6 1.4],0
a2,1,0.437558,0.602679,[1 7] ; [2 5],[1.6 6.4] ; [1.4 5.6],0
p5,1,0.437558,0.602679,[1 7] ; [2 5],[1.6 6.4] ; [1.4 5.6],0
p2,1,0.437558,0.602679,[7 1] ; [5 2],[6.4 1.6] ; [5.6 1.4],0
n4,1,0.437558,0.602679,[7 1] ; [5 2],[6.4 1.6] ; [5.6 1.4],0
r4,1,0.446798,0.578763,[5 3] ; [3 4],[4.26666667 3.73333333] ; [3.73333333 3.26666667],0
d1,1,0.446798,0.578763,[3 5] ; [4 3],[3.73333333 4.26666667] ; [3.26666667 3.73333333],0
b5,1,0.464214,0.535714,[6 2] ; [4 3],[5.33333333 2.66666667] ; [4.66666667 2.33333333],0
a4,1,0.464214,0.535714,[2 6] ; [3 4],[2.66666667 5.33333333] ; [2.33333333 4.66666667],0
a5,1,0.464214,0.535714,[6 2] ; [4 3],[5.33333333 2.66666667] ; [4.66666667 2.33333333],0
a6,1,0.464214,0.535714,[6 2] ; [4 3],[5.33333333 2.66666667] ; [4.66666667 2.33333333],0
v3,1,0.576999,0.311111,[2 5] ; [3 4],[2.5 4.5] ; [2.5 4.5],0
s4,1,0.604773,0.267857,[2 6] ; [1 6],[1.6 6.4] ; [1.4 5.6],0
n6,1,0.604773,0.267857,[6 2] ; [6 1],[6.4 1.6] ; [5.6 1.4],0
s7,1,0.604773,0.267857,[6 2] ; [6 1],[6.4 1.6] ; [5.6 1.4],0
u3,1,0.709388,0.138889,[2 1] ; [1 1],[1.8 1.2] ; [1.2 0.8],0
b4,1,0.714393,0.133929,[5 3] ; [5 2],[5.33333333 2.66666667] ; [4.66666667 2.33333333],0
a3,1,0.714393,0.133929,[5 3] ; [5 2],[5.33333333 2.66666667] ; [4.66666667 2.33333333],0
a7,1,0.714393,0.133929,[5 3] ; [5 2],[5.33333333 2.66666667] ; [4.66666667 2.33333333],0
v1,1,0.714393,0.133929,[3 5] ; [2 5],[2.66666667 5.33333333] ; [2.33333333 4.66666667],0
d3,1,0.714393,0.133929,[5 3] ; [5 2],[5.33333333 2.66666667] ; [4.66666667 2.33333333],0
d5,1,0.714393,0.133929,[5 3] ; [5 2],[5.33333333 2.66666667] ; [4.66666667 2.33333333],0
r1,1,0.714393,0.133929,[5 3] ; [5 2],[5.33333333 2.66666667] ; [4.66666667 2.33333333],0
n1,1,0.818971,0.052381,[3 2] ; [4 2],[3.18181818 1.81818182] ; [3.81818182 2.18181818],0
d2,1,0.832662,0.044643,[5 3] ; [4 3],[4.8 3.2] ; [4.2 2.8],0
p4,1,0.832662,0.044643,[5 3] ; [4 3],[4.8 3.2] ; [4.2 2.8],0
n2,1,0.886508,0.02037,[4 1] ; [5 1],[4.09090909 0.90909091] ; [4.90909091 1.09090909],0
n5,1,0.919154,0.010302,[7 1] ; [6 1],[6.93333333 1.06666667] ; [6.06666667 0.93333333],0
p9,1,0.919154,0.010302,[7 1] ; [6 1],[6.93333333 1.06666667] ; [6.06666667 0.93333333],0
p12,1,0.919154,0.010302,[1 7] ; [1 6],[1.06666667 6.93333333] ; [0.93333333 6.06666667],0
v2,1,1.0,0.0,[2 5] ; [2 5],[2. 5.] ; [2. 5.],0
n3,1,1.0,0.0,[2 3] ; [2 3],[2. 3.] ; [2. 3.],0
