Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.013625,6.086038,[ 8 52] ; [2 1],[ 9.52380952 50.47619048] ; [0.47619048 2.52380952],0
v4,1,0.209482,1.575,[54  6] ; [2 1],[53.33333333  6.66666667] ; [2.66666667 0.33333333],0
s2,1,0.296386,1.090385,[38 22] ; [1 2],[37.14285714 22.85714286] ; [1.85714286 1.14285714],0
s7,1,0.312907,1.018368,[35 21] ; [1 2],[34.16949153 21.83050847] ; [1.83050847 1.16949153],0
s3,1,0.393153,0.729167,[35 25] ; [1 2],[34.28571429 25.71428571] ; [1.71428571 1.28571429],0
v2,1,0.442918,0.58871,[26 33] ; [2 1],[26.64516129 32.35483871] ; [1.35483871 1.64516129],0
a4,1,0.462471,0.539909,[27 33] ; [2 1],[27.61904762 32.38095238] ; [1.38095238 1.61904762],0
n1,1,0.490279,0.475913,[10 12] ; [2 1],[10.56 11.44] ; [1.44 1.56],0
s8,1,0.57309,0.31754,[30 30] ; [1 2],[29.52380952 30.47619048] ; [1.47619048 1.52380952],0
a2,1,0.577586,0.310154,[12 48] ; [1 2],[12.38095238 47.61904762] ; [0.61904762 2.38095238],0
v1,1,0.611686,0.257727,[31 29] ; [2 1],[31.42857143 28.57142857] ; [1.57142857 1.42857143],0
a6,1,0.611686,0.257727,[31 29] ; [2 1],[31.42857143 28.57142857] ; [1.57142857 1.42857143],0
b4,1,0.732678,0.116667,[34 26] ; [2 1],[34.28571429 25.71428571] ; [1.71428571 1.28571429],0
a3,1,0.746236,0.104721,[45 15] ; [2 1],[44.76190476 15.23809524] ; [2.23809524 0.76190476],0
b3,1,0.753905,0.098279,[ 7 21] ; [1 2],[ 7.22580645 20.77419355] ; [0.77419355 2.22580645],0
b2,1,0.753905,0.098279,[ 7 21] ; [1 2],[ 7.22580645 20.77419355] ; [0.77419355 2.22580645],0
n6,1,0.774221,0.082288,[43 15] ; [2 1],[42.78688525 15.21311475] ; [2.21311475 0.78688525],0
n2,1,0.826403,0.0481,[16  6] ; [2 1],[15.84  6.16] ; [2.16 0.84],0
n3,1,0.826403,0.0481,[16  6] ; [2 1],[15.84  6.16] ; [2.16 0.84],0
s6,1,0.866392,0.028306,[42 17] ; [2 1],[41.87096774 17.12903226] ; [2.12903226 0.87096774],0
d3,1,0.872705,0.025671,[36 22] ; [2 1],[36.13114754 21.86885246] ; [1.86885246 1.13114754],0
a7,1,0.983908,0.000407,[39 20] ; [2 1],[39.01612903 19.98387097] ; [1.98387097 1.01612903],0
n5,1,0.983908,0.000407,[39 20] ; [2 1],[39.01612903 19.98387097] ; [1.98387097 1.01612903],0
v3,1,1.0,0.0,[20 40] ; [1 2],[20. 40.] ; [1. 2.],0
a5,1,1.0,0.0,[40 20] ; [2 1],[40. 20.] ; [2. 1.],0
