Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,0.001573,9.990639,[12 87] ; [7 9],[16.35652174 82.64347826] ; [ 2.64347826 13.35652174],0
p3,1,0.018887,5.511983,[22 77] ; [8 8],[25.82608696 73.17391304] ; [ 4.17391304 11.82608696],0
b3,1,0.034531,4.468235,[15 43] ; [5 3],[17.57575758 40.42424242] ; [2.42424242 5.57575758],0
b2,1,0.034531,4.468235,[15 43] ; [5 3],[17.57575758 40.42424242] ; [2.42424242 5.57575758],0
p4,1,0.035247,4.433176,[24 74] ; [8 8],[27.50877193 70.49122807] ; [ 4.49122807 11.50877193],0
p9,1,0.038228,4.294837,[52 45] ; [13  3],[55.79646018 41.20353982] ; [9.20353982 6.79646018],0
p7,1,0.03871,4.273547,[29 68] ; [9 7],[32.61946903 64.38053097] ; [ 5.38053097 10.61946903],0
v2,1,0.040964,4.177484,[30 62] ; [9 6],[33.53271028 58.46728972] ; [5.46728972 9.53271028],0
s6,1,0.051448,3.793628,[36 62] ; [10  6],[39.54385965 58.45614035] ; [6.45614035 9.54385965],0
r3,1,0.059701,3.54566,[71 28] ; [15  1],[74.03478261 24.96521739] ; [11.96521739  4.03478261],0
b5,1,0.10806,2.582362,[53 46] ; [12  4],[55.95652174 43.04347826] ; [9.04347826 6.95652174],0
r4,1,0.111558,2.532014,[60 39] ; [13  3],[62.84347826 36.15652174] ; [10.15652174  5.84347826],0
s7,1,0.115915,2.471665,[24 66] ; [7 8],[26.57142857 63.42857143] ; [ 4.42857143 10.57142857],0
u1,1,0.123969,2.366447,[ 7 92] ; [ 3 13],[ 8.60869565 90.39130435] ; [ 1.39130435 14.60869565],0
p2,1,0.124751,2.356637,[54 45] ; [12  4],[56.8173913 42.1826087] ; [9.1826087 6.8173913],0
s8,1,0.153823,2.033928,[21 78] ; [ 6 10],[23.24347826 75.75652174] ; [ 3.75652174 12.24347826],0
a4,1,0.177394,1.819319,[38 61] ; [9 7],[40.46086957 58.53913043] ; [6.53913043 9.46086957],0
d5,1,0.181996,1.78125,[63 35] ; [13  3],[65.33333333 32.66666667] ; [10.66666667  5.33333333],0
a6,1,0.228237,1.451816,[58 40] ; [12  4],[60.1754386 37.8245614] ; [9.8245614 6.1754386],0
r1,1,0.239278,1.38484,[64 34] ; [8 8],[61.89473684 36.10526316] ; [10.10526316  5.89473684],0
r2,1,0.25349,1.303967,[80 17] ; [15  1],[81.54867257 15.45132743] ; [13.45132743  2.54867257],0
v4,1,0.281054,1.161987,[73 24] ; [14  2],[74.68141593 22.31858407] ; [12.31858407  3.68141593],0
u2,1,0.307153,1.042879,[21 13] ; [5 1],[22.1 11.9] ; [3.9 2.1],0
p1,1,0.354479,0.857359,[ 6 92] ; [ 2 14],[ 6.87719298 91.12280702] ; [ 1.12280702 14.87719298],0
b4,1,0.359141,0.840894,[56 43] ; [11  5],[57.67826087 41.32173913] ; [9.32173913 6.67826087],0
n2,1,0.372355,0.795789,[28 17] ; [7 2],[29.16666667 15.83333333] ; [5.83333333 3.16666667],0
n3,1,0.390116,0.738579,[27 16] ; [7 2],[28.11538462 14.88461538] ; [5.88461538 3.11538462],0
v3,1,0.396286,0.719566,[21 70] ; [ 2 13],[19.74528302 71.25471698] ; [ 3.25471698 11.74528302],0
a7,1,0.441297,0.592908,[58 41] ; [11  5],[59.4 39.6] ; [9.6 6.4],0
d1,1,0.470172,0.521571,[40 59] ; [8 8],[41.32173913 57.67826087] ; [6.67826087 9.32173913],0
s5,1,0.485932,0.485522,[16 79] ; [3 9],[16.86915888 78.13084112] ; [2.13084112 9.86915888],0
d2,1,0.490294,0.475881,[40 58] ; [8 8],[41.26315789 56.73684211] ; [6.73684211 9.26315789],0
s2,1,0.517504,0.418865,[35 64] ; [7 9],[36.15652174 62.84347826] ; [ 5.84347826 10.15652174],0
a8,1,0.546356,0.363885,[12 82] ; [ 1 13],[11.31481481 82.68518519] ; [ 1.68518519 12.31481481],0
n4,1,0.623788,0.24058,[56 43] ; [8 8],[55.09565217 43.90434783] ; [8.90434783 7.09565217],0
u3,1,0.645962,0.211029,[21 14] ; [3 3],[20.48780488 14.51219512] ; [3.51219512 2.48780488],0
v1,1,0.670071,0.18152,[37 60] ; [7 9],[37.7699115 59.2300885] ; [6.2300885 9.7699115],0
p10,1,0.672824,0.178316,[43 54] ; [8 8],[43.77876106 53.22123894] ; [7.22123894 8.77876106],0
b1,1,0.678677,0.171619,[55 44] ; [8 8],[54.23478261 44.76521739] ; [8.76521739 7.23478261],0
p11,1,0.735038,0.114535,[45 54] ; [8 8],[45.62608696 53.37391304] ; [7.37391304 8.62608696],0
d3,1,0.781584,0.076871,[56 42] ; [8 7],[55.50442478 42.49557522] ; [8.49557522 6.50442478],0
a2,1,0.795891,0.066909,[16 83] ; [ 3 13],[16.35652174 82.64347826] ; [ 2.64347826 13.35652174],0
a5,1,0.800573,0.06381,[59 40] ; [9 7],[58.53913043 40.46086957] ; [9.46086957 6.53913043],0
s3,1,0.809973,0.057822,[49 49] ; [8 7],[49.43362832 48.56637168] ; [7.56637168 7.43362832],0
a3,1,0.827378,0.047552,[64 34] ; [10  6],[63.61403509 34.38596491] ; [10.38596491  5.61403509],0
n5,1,0.839495,0.041022,[43 55] ; [7 8],[43.36283186 54.63716814] ; [6.63716814 8.36283186],0
n1,1,0.951042,0.00377,[16 28] ; [3 5],[16.07692308 27.92307692] ; [2.92307692 5.07692308],0
d4,1,0.982349,0.000489,[73 24] ; [12  4],[72.96460177 24.03539823] ; [12.03539823  3.96460177],0
