Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.014047,6.032223,[6 6] ; [ 1 13],[3.23076923 8.76923077] ; [ 3.76923077 10.23076923],0
s8,1,0.014196,6.013636,[8 4] ; [ 3 12],[4.88888889 7.11111111] ; [6.11111111 8.88888889],0
n4,1,0.02278,5.185227,[10  2] ; [6 9],[7.11111111 4.88888889] ; [8.88888889 6.11111111],0
s2,1,0.03726,4.338492,[5 7] ; [ 1 13],[2.76923077 9.23076923] ; [ 3.23076923 10.76923077],0
a3,1,0.053824,3.718155,[5 7] ; [11  3],[7.38461538 4.61538462] ; [8.61538462 5.38461538],0
b5,1,0.068964,3.3075,[9 3] ; [6 9],[6.66666667 5.33333333] ; [8.33333333 6.66666667],0
p5,1,0.076309,3.141818,[4 8] ; [ 1 14],[2.22222222 9.77777778] ; [ 2.77777778 12.22222222],0
s5,1,0.076309,3.141818,[4 8] ; [ 1 14],[2.22222222 9.77777778] ; [ 2.77777778 12.22222222],0
p6,1,0.095045,2.786786,[5 7] ; [ 2 13],[3.11111111 8.88888889] ; [ 3.88888889 11.11111111],0
r4,1,0.096104,2.769034,[7 5] ; [ 4 11],[4.88888889 7.11111111] ; [6.11111111 8.88888889],0
v3,1,0.100348,2.7,[6 6] ; [ 3 12],[4. 8.] ; [ 5. 10.],0
p7,1,0.136519,2.216761,[9 3] ; [7 8],[7.11111111 4.88888889] ; [8.88888889 6.11111111],0
u3,1,0.136844,2.213095,[5 2] ; [1 3],[3.81818182 3.18181818] ; [2.18181818 1.81818182],0
r3,1,0.187039,1.740789,[10  2] ; [9 6],[8.44444444 3.55555556] ; [10.55555556  4.44444444],0
d2,1,0.22052,1.500987,[5 7] ; [ 3 12],[3.55555556 8.44444444] ; [ 4.44444444 10.55555556],0
a8,1,0.238271,1.390797,[3 9] ; [ 1 12],[ 1.92 10.08] ; [ 2.08 10.92],0
p11,1,0.246671,1.342059,[9 3] ; [8 7],[7.55555556 4.44444444] ; [9.44444444 5.55555556],0
a4,1,0.246671,1.342059,[3 9] ; [7 8],[4.44444444 7.55555556] ; [5.55555556 9.44444444],0
b3,1,0.263552,1.25,[2 7] ; [3 3],[3. 6.] ; [2. 4.],0
b2,1,0.263552,1.25,[2 7] ; [3 3],[3. 6.] ; [2. 4.],0
p10,1,0.275017,1.19155,[10  2] ; [9 5],[8.76923077 3.23076923] ; [10.23076923  3.76923077],0
n6,1,0.391153,0.735354,[8 4] ; [7 7],[6.92307692 5.07692308] ; [8.07692308 5.92307692],0
s4,1,0.411314,0.675,[ 2 10] ; [ 1 14],[ 1.33333333 10.66666667] ; [ 1.66666667 13.33333333],0
s1,1,0.411314,0.675,[ 2 10] ; [ 1 14],[ 1.33333333 10.66666667] ; [ 1.66666667 13.33333333],0
d5,1,0.411314,0.675,[9 3] ; [9 6],[8. 4.] ; [10.  5.],0
d4,1,0.432111,0.617143,[8 4] ; [12  3],[8.88888889 3.11111111] ; [11.11111111  3.88888889],0
v2,1,0.462325,0.54026,[6 6] ; [5 9],[5.07692308 6.92307692] ; [5.92307692 8.07692308],0
u2,1,0.477267,0.505102,[5 2] ; [2 2],[4.45454545 2.54545455] ; [2.54545455 1.45454545],0
n5,1,0.483522,0.490909,[8 4] ; [8 7],[7.11111111 4.88888889] ; [8.88888889 6.11111111],0
s7,1,0.536809,0.381485,[6 5] ; [5 7],[5.26086957 5.73913043] ; [5.73913043 6.26086957],0
d3,1,0.54659,0.363462,[7 5] ; [7 8],[6.22222222 5.77777778] ; [7.77777778 7.22222222],0
p8,1,0.603332,0.27,[6 6] ; [6 9],[5.33333333 6.66666667] ; [6.66666667 8.33333333],0
a7,1,0.603332,0.27,[6 6] ; [9 6],[6.66666667 5.33333333] ; [8.33333333 6.66666667],0
p9,1,0.618757,0.247619,[8 4] ; [8 6],[7.38461538 4.61538462] ; [8.61538462 5.38461538],0
n3,1,0.621014,0.244444,[1 2] ; [4 4],[1.36363636 1.63636364] ; [3.63636364 4.36363636],0
b1,1,0.65591,0.198529,[7 5] ; [10  5],[7.55555556 4.44444444] ; [9.44444444 5.55555556],0
p3,1,0.706197,0.142105,[4 8] ; [ 4 11],[3.55555556 8.44444444] ; [ 4.44444444 10.55555556],0
d1,1,0.706197,0.142105,[4 8] ; [ 4 11],[3.55555556 8.44444444] ; [ 4.44444444 10.55555556],0
a6,1,0.721501,0.127059,[4 8] ; [6 9],[4.44444444 7.55555556] ; [5.55555556 9.44444444],0
p4,1,0.86324,0.02967,[6 6] ; [8 7],[6.22222222 5.77777778] ; [7.77777778 7.22222222],0
u1,1,0.869482,0.027,[ 1 11] ; [ 1 14],[ 0.88888889 11.11111111] ; [ 1.11111111 13.88888889],0
p12,1,0.869482,0.027,[ 1 11] ; [ 1 14],[ 0.88888889 11.11111111] ; [ 1.11111111 13.88888889],0
p2,1,0.921775,0.009643,[9 3] ; [11  4],[8.88888889 3.11111111] ; [11.11111111  3.88888889],0
v4,1,0.93021,0.00767,[7 5] ; [9 6],[7.11111111 4.88888889] ; [8.88888889 6.11111111],0
a5,1,0.93021,0.00767,[7 5] ; [9 6],[7.11111111 4.88888889] ; [8.88888889 6.11111111],0
v1,1,1.0,0.0,[4 8] ; [ 5 10],[4. 8.] ; [ 5. 10.],0
b4,1,1.0,0.0,[8 4] ; [10  5],[8. 4.] ; [10.  5.],0
