Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.000244,13.458714,[22  2] ; [5 9],[17.05263158  6.94736842] ; [9.94736842 4.05263158],1
n6,1,0.000506,12.092194,[19  5] ; [ 3 11],[13.89473684 10.10526316] ; [8.10526316 5.89473684],1
p9,1,0.003758,8.397406,[19  4] ; [5 9],[14.91891892  8.08108108] ; [9.08108108 4.91891892],0
p10,1,0.009653,6.697784,[18  5] ; [5 9],[14.2972973  8.7027027] ; [8.7027027 5.2972973],0
p4,1,0.014447,5.982738,[15  9] ; [ 3 11],[11.36842105 12.63157895] ; [6.63157895 7.36842105],0
p8,1,0.038208,4.295748,[12 12] ; [ 2 11],[ 9.08108108 14.91891892] ; [4.91891892 8.08108108],0
r3,1,0.040369,4.202307,[20  3] ; [8 6],[17.40540541  5.59459459] ; [10.59459459  3.40540541],0
s8,1,0.040369,4.202296,[ 9 15] ; [ 1 13],[ 6.31578947 17.68421053] ; [ 3.68421053 10.31578947],0
d3,1,0.047544,3.92602,[18  6] ; [6 8],[15.15789474  8.84210526] ; [8.84210526 5.15789474],0
v4,1,0.047544,3.92602,[18  6] ; [6 8],[15.15789474  8.84210526] ; [8.84210526 5.15789474],0
v1,1,0.048001,3.909963,[11 13] ; [ 2 12],[ 8.21052632 15.78947368] ; [4.78947368 9.21052632],0
b4,1,0.048642,3.887649,[11 13] ; [11  3],[13.89473684 10.10526316] ; [8.10526316 5.89473684],0
p6,1,0.08266,3.011803,[ 8 16] ; [ 1 12],[ 5.83783784 18.16216216] ; [3.16216216 9.83783784],0
a4,1,0.117122,2.455385,[ 6 18] ; [7 7],[ 8.21052632 15.78947368] ; [4.78947368 9.21052632],0
s7,1,0.12289,2.380099,[ 7 15] ; [ 1 11],[ 5.17647059 16.82352941] ; [2.82352941 9.17647059],0
s6,1,0.125847,2.343004,[13 11] ; [ 4 10],[10.73684211 13.26315789] ; [6.26315789 7.73684211],0
p7,1,0.125847,2.343004,[13 11] ; [ 4 10],[10.73684211 13.26315789] ; [6.26315789 7.73684211],0
b1,1,0.178565,1.809524,[10 14] ; [9 5],[12. 12.] ; [7. 7.],0
n2,1,0.184708,1.759334,[7 4] ; [1 3],[5.86666667 5.13333333] ; [2.13333333 1.86666667],0
a8,1,0.196789,1.666046,[ 3 20] ; [4 9],[ 4.47222222 18.52777778] ; [ 2.52777778 10.47222222],0
s3,1,0.207717,1.587265,[ 4 19] ; [5 9],[ 5.59459459 17.40540541] ; [ 3.40540541 10.59459459],0
n1,1,0.217832,1.518595,[2 9] ; [2 2],[2.93333333 8.06666667] ; [1.06666667 2.93333333],0
a2,1,0.249342,1.326984,[ 2 22] ; [ 3 11],[ 3.15789474 20.84210526] ; [ 1.84210526 12.15789474],0
s5,1,0.26424,1.246404,[ 5 19] ; [ 1 13],[ 3.78947368 20.21052632] ; [ 2.21052632 11.78947368],0
u3,1,0.279642,1.168831,[6 5] ; [2 5],[4.88888889 6.11111111] ; [3.11111111 3.88888889],0
r4,1,0.303899,1.057005,[ 9 15] ; [ 3 11],[ 7.57894737 16.42105263] ; [4.42105263 9.57894737],0
p3,1,0.35092,0.870129,[ 7 17] ; [ 2 11],[ 5.83783784 18.16216216] ; [3.16216216 9.83783784],0
s4,1,0.402154,0.701876,[ 4 20] ; [ 1 13],[ 3.15789474 20.84210526] ; [ 1.84210526 12.15789474],0
n3,1,0.408961,0.681818,[8 3] ; [2 2],[7.33333333 3.66666667] ; [2.66666667 1.33333333],0
v3,1,0.434519,0.610714,[ 6 18] ; [ 2 12],[ 5.05263158 18.94736842] ; [ 2.94736842 11.05263158],0
d2,1,0.482367,0.493506,[ 6 18] ; [5 9],[ 6.94736842 17.05263158] ; [4.05263158 9.94736842],0
d5,1,0.482367,0.493506,[18  6] ; [9 5],[17.05263158  6.94736842] ; [9.94736842 4.05263158],0
n4,1,0.501206,0.452381,[13 11] ; [6 8],[12. 12.] ; [7. 7.],0
v2,1,0.50137,0.452036,[12 12] ; [5 8],[11.02702703 12.97297297] ; [5.97297297 7.02702703],0
a1,1,0.564113,0.332633,[ 2 22] ; [ 2 12],[ 2.52631579 21.47368421] ; [ 1.47368421 12.52631579],0
d1,1,0.575731,0.313187,[ 9 15] ; [ 4 10],[ 8.21052632 15.78947368] ; [4.78947368 9.21052632],0
d4,1,0.601297,0.273044,[17  7] ; [11  3],[17.68421053  6.31578947] ; [10.31578947  3.68421053],0
n5,1,0.618228,0.248366,[14 10] ; [7 7],[13.26315789 10.73684211] ; [7.73684211 6.26315789],0
a5,1,0.717269,0.131125,[14 10] ; [9 5],[14.52631579  9.47368421] ; [8.47368421 5.52631579],0
b5,1,0.717269,0.131125,[14 10] ; [9 5],[14.52631579  9.47368421] ; [8.47368421 5.52631579],0
r1,1,0.717269,0.131125,[10 14] ; [5 9],[ 9.47368421 14.52631579] ; [5.52631579 8.47368421],0
u2,1,0.73244,0.116883,[7 4] ; [5 2],[7.33333333 3.66666667] ; [4.66666667 2.33333333],0
a6,1,0.7445,0.106211,[15  9] ; [8 6],[14.52631579  9.47368421] ; [8.47368421 5.52631579],0
b2,1,0.768571,0.08658,[3 8] ; [3 6],[3.3 7.7] ; [2.7 6.3],0
b3,1,0.768571,0.08658,[3 8] ; [3 6],[3.3 7.7] ; [2.7 6.3],0
s2,1,0.803708,0.061778,[ 4 19] ; [ 2 12],[ 3.72972973 19.27027027] ; [ 2.27027027 11.72972973],0
u1,1,0.895556,0.017234,[ 2 22] ; [ 1 13],[ 1.89473684 22.10526316] ; [ 1.10526316 12.89473684],0
a3,1,0.9851,0.000349,[13 11] ; [7 6],[12.97297297 11.02702703] ; [7.02702703 5.97297297],0
