Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.027248,4.875,[21  6] ; [5 7],[18.  9.] ; [8. 4.],0
s4,1,0.186215,1.747312,[ 4 23] ; [4 8],[ 5.53846154 21.46153846] ; [2.46153846 9.53846154],0
b4,1,0.200037,1.642105,[12 15] ; [8 4],[13.84615385 13.15384615] ; [6.15384615 5.84615385],0
p4,1,0.220965,1.498095,[ 8 19] ; [6 6],[ 9.69230769 17.30769231] ; [4.30769231 7.69230769],0
p7,1,0.220965,1.498095,[ 8 19] ; [6 6],[ 9.69230769 17.30769231] ; [4.30769231 7.69230769],0
u2,1,0.226023,1.465714,[ 2 12] ; [2 3],[ 2.94736842 11.05263158] ; [1.05263158 3.94736842],0
p9,1,0.239123,1.385755,[14 12] ; [4 8],[12.31578947 13.68421053] ; [5.68421053 6.31578947],0
d2,1,0.239123,1.385755,[14 12] ; [4 8],[12.31578947 13.68421053] ; [5.68421053 6.31578947],0
n3,1,0.248213,1.333333,[5 7] ; [3 1],[6. 6.] ; [2. 2.],0
d5,1,0.284307,1.146384,[14 13] ; [4 8],[12.46153846 14.53846154] ; [5.53846154 6.46153846],0
s5,1,0.290136,1.11899,[ 3 23] ; [3 9],[ 4.10526316 21.89473684] ; [ 1.89473684 10.10526316],0
p10,1,0.336819,0.922502,[13 13] ; [4 8],[11.63157895 14.36842105] ; [5.36842105 6.63157895],0
d1,1,0.344254,0.894524,[11 16] ; [3 9],[ 9.69230769 17.30769231] ; [4.30769231 7.69230769],0
s7,1,0.405521,0.691893,[ 6 20] ; [4 7],[ 7.02702703 18.97297297] ; [2.97297297 8.02702703],0
s8,1,0.415842,0.662037,[ 5 22] ; [ 1 11],[ 4.15384615 22.84615385] ; [ 1.84615385 10.15384615],0
p11,1,0.423187,0.641447,[12 15] ; [7 5],[13.15384615 13.84615385] ; [5.84615385 6.15384615],0
a5,1,0.423187,0.641447,[12 15] ; [7 5],[13.15384615 13.84615385] ; [5.84615385 6.15384615],0
p8,1,0.444284,0.585193,[ 4 23] ; [3 9],[ 4.84615385 22.15384615] ; [2.15384615 9.84615385],0
n1,1,0.490168,0.476157,[7 5] ; [2 3],[6.35294118 5.64705882] ; [2.64705882 2.35294118],0
s6,1,0.510416,0.433215,[ 8 18] ; [5 7],[ 8.89473684 17.10526316] ; [4.10526316 7.89473684],0
b3,1,0.524967,0.404125,[11 12] ; [2 4],[10.31034483 12.68965517] ; [2.68965517 3.31034483],0
b2,1,0.524967,0.404125,[11 12] ; [2 4],[10.31034483 12.68965517] ; [2.68965517 3.31034483],0
v2,1,0.55336,0.351331,[ 9 17] ; [3 9],[ 8.21052632 17.78947368] ; [3.78947368 8.21052632],0
a3,1,0.556982,0.344956,[13 14] ; [7 5],[13.84615385 13.15384615] ; [6.15384615 5.84615385],0
b1,1,0.590438,0.289661,[16 11] ; [6 6],[15.23076923 11.76923077] ; [6.76923077 5.23076923],0
d4,1,0.602773,0.270833,[18  9] ; [9 3],[18.69230769  8.30769231] ; [8.30769231 3.69230769],0
p3,1,0.616573,0.250714,[ 9 18] ; [5 7],[ 9.69230769 17.30769231] ; [4.30769231 7.69230769],0
r4,1,0.643615,0.214046,[ 5 22] ; [3 9],[ 5.53846154 21.46153846] ; [2.46153846 9.53846154],0
n6,1,0.657553,0.196509,[15 11] ; [6 6],[14.36842105 11.63157895] ; [6.63157895 5.36842105],0
a4,1,0.675319,0.175443,[ 9 17] ; [5 7],[ 9.57894737 16.42105263] ; [4.42105263 7.57894737],0
b5,1,0.748053,0.103175,[12 15] ; [6 6],[12.46153846 14.53846154] ; [5.53846154 6.46153846],0
s2,1,0.766822,0.087933,[ 8 19] ; [3 9],[ 7.61538462 19.38461538] ; [3.38461538 8.61538462],0
v1,1,0.766822,0.087933,[ 8 19] ; [3 9],[ 7.61538462 19.38461538] ; [3.38461538 8.61538462],0
r1,1,0.783867,0.075231,[10 17] ; [5 7],[10.38461538 16.61538462] ; [4.61538462 7.38461538],0
a6,1,0.817085,0.053498,[ 8 19] ; [4 8],[ 8.30769231 18.69230769] ; [3.69230769 8.30769231],0
d3,1,0.823894,0.049524,[10 17] ; [4 8],[ 9.69230769 17.30769231] ; [4.30769231 7.69230769],0
r2,1,0.825309,0.048718,[14 12] ; [6 6],[13.68421053 12.31578947] ; [6.31578947 5.68421053],0
s3,1,0.850962,0.035303,[10 16] ; [5 7],[10.26315789 15.73684211] ; [4.73684211 7.26315789],0
p2,1,0.850962,0.035303,[10 16] ; [5 7],[10.26315789 15.73684211] ; [4.73684211 7.26315789],0
p1,1,0.882392,0.021886,[ 4 23] ; [ 2 10],[ 4.15384615 22.84615385] ; [ 1.84615385 10.15384615],0
r3,1,0.914958,0.011404,[13 14] ; [6 6],[13.15384615 13.84615385] ; [5.84615385 6.15384615],0
u3,1,0.946375,0.004524,[ 3 11] ; [1 4],[ 2.94736842 11.05263158] ; [1.05263158 3.94736842],0
n2,1,0.949272,0.004048,[5 7] ; [2 3],[4.94117647 7.05882353] ; [2.05882353 2.94117647],0
p6,1,0.958926,0.002652,[ 4 21] ; [ 2 10],[ 4.05405405 20.94594595] ; [ 1.94594595 10.05405405],0
v3,1,0.980628,0.00059,[ 5 22] ; [2 9],[ 4.97368421 22.02631579] ; [2.02631579 8.97368421],0
